"gardenid","birdid","arrivalt","nworms","birdt"
"garden1",1,6.49,53,"blackbird"
"garden1",2,6.32,54,"blackbird"
"garden1",3,7.15,52,"blackbird"
"garden1",4,6.03,51,"wren"
"garden1",5,6.38,51,"wren"
"garden1",6,5.47,55,"blackbird"
"garden1",7,6.41,53,"blackbird"
"garden1",8,6.43,53,"blackbird"
"garden1",9,8.61,53,"blackbird"
"garden1",10,6.99,52,"blackbird"
"garden2",11,6.88,54,"blackbird"
"garden2",12,7.98,49,"blackbird"
"garden2",13,7.48,50,"blackbird"
"garden2",14,8.75,47,"blackbird"
"garden2",15,7.78,50,"blackbird"
"garden2",16,7.05,53,"blackbird"
"garden2",17,6.81,51,"blackbird"
"garden2",18,6.77,52,"blackbird"
"garden2",19,7.94,49,"blackbird"
"garden2",20,6.96,52,"blackbird"
"garden3",21,5.99,19,"blackbird"
"garden3",22,5.55,20,"blackbird"
"garden3",23,6.09,17,"wren"
"garden3",24,4.89,22,"blackbird"
"garden3",25,4.16,21,"blackbird"
"garden3",26,4.88,21,"wren"
"garden3",27,4.76,22,"blackbird"
"garden3",28,5.37,21,"blackbird"
"garden3",29,3.75,24,"blackbird"
"garden3",30,2.99,25,"blackbird"
"garden4",32,5.71,15,"wren"
"garden4",36,6.56,19,"wren"
"garden4",38,5.19,21,"wren"
"garden4",39,5.66,16,"blackbird"
"garden4",40,6.16,37,"blackbird"
"garden5",41,6.44,61,"blackbird"
"garden5",42,8.75,57,"blackbird"
"garden5",43,8.58,57,"blackbird"
"garden5",44,7.98,58,"blackbird"
"garden5",45,8.17,59,"blackbird"
"garden5",46,5.96,60,"wren"
"garden5",47,7.24,59,"blackbird"
"garden5",48,7.1,57,"wren"
"garden5",49,6.7,59,"wren"
"garden5",50,6.14,60,"blackbird"
"garden6",51,6.2,38,"wren"
"garden6",52,5.88,39,"wren"
"garden6",53,7.66,38,"blackbird"
"garden6",54,8.05,35,"blackbird"
"garden6",55,5.75,41,"blackbird"
"garden6",56,5.47,43,"blackbird"
"garden6",57,6.43,41,"blackbird"
"garden6",58,7.71,35,"blackbird"
"garden6",59,6.54,39,"blackbird"
"garden6",60,7.78,38,"blackbird"
"garden7",61,7.71,26,"wren"
"garden7",62,6.48,33,"blackbird"
"garden7",63,7.71,27,"blackbird"
"garden7",64,7.12,32,"blackbird"
"garden7",65,5.03,40,"blackbird"
"garden7",66,6.85,33,"blackbird"
"garden7",67,5.83,34,"wren"
"garden7",68,6.62,31,"wren"
"garden7",69,8.23,26,"blackbird"
"garden7",70,9.08,16,"wren"
"garden8",71,5.4,34,"blackbird"
"garden8",72,7.03,28,"blackbird"
"garden8",73,5.02,37,"blackbird"
"garden8",74,8.06,27,"blackbird"
"garden8",75,7.49,25,"wren"
"garden8",76,5.23,38,"blackbird"
"garden8",77,6.99,28,"blackbird"
"garden8",78,5.96,33,"blackbird"
"garden8",79,7.27,28,"blackbird"
"garden8",80,6.4,32,"blackbird"
"garden9",81,6.44,67,"blackbird"
"garden9",82,9.07,63,"wren"
"garden9",83,7.02,68,"blackbird"
"garden9",84,5.27,68,"blackbird"
"garden9",85,7.87,68,"blackbird"
"garden9",86,7.66,64,"wren"
"garden9",87,7.03,67,"blackbird"
"garden9",88,7.13,65,"wren"
"garden9",89,7.78,68,"blackbird"
"garden9",90,6.7,65,"wren"
"garden10",91,6.93,42,"wren"
"garden10",92,4.83,48,"blackbird"
"garden10",93,6.57,47,"blackbird"
"garden10",94,5.94,44,"wren"
"garden10",95,6.46,46,"blackbird"
"garden10",96,7.42,46,"blackbird"
"garden10",97,5.28,46,"blackbird"
"garden10",98,4.55,45,"wren"
"garden10",99,5.18,46,"wren"
"garden10",100,5.28,47,"wren"
"garden11",101,5.18,41,"wren"
"garden11",102,5,40,"blackbird"
"garden11",103,7.53,37,"wren"
"garden11",104,6.04,42,"blackbird"
"garden11",105,5.74,39,"wren"
"garden11",106,5.75,38,"wren"
"garden11",107,5.59,39,"wren"
"garden11",108,6.67,40,"wren"
"garden11",109,4.24,40,"wren"
"garden11",110,6.1,40,"blackbird"
"garden12",111,4.82,19,"blackbird"
"garden12",112,7.67,2,"blackbird"
"garden12",113,5.46,15,"wren"
"garden12",114,6.13,12,"blackbird"
"garden12",115,5.97,11,"blackbird"
"garden12",116,7.17,4,"blackbird"
"garden12",117,7.2,5,"blackbird"
"garden12",118,6.85,5,"wren"
"garden12",119,6.88,5,"wren"
"garden12",120,6.74,6,"blackbird"
