sub_nr,exercise_pday_start,exercise_pday_1month,app_group
sub1,15,37,yes
sub2,14,31,yes
sub3,15,35,yes
sub4,15,32,yes
sub5,12,30,yes
sub6,15,30,yes
sub7,15,27,yes
sub8,14,26,yes
sub9,13,30,yes
sub10,12,31,yes
sub11,9,34,yes
sub12,8,28,yes
sub13,10,28,yes
sub14,23,34,yes
sub15,8,24,yes
sub16,17,32,yes
sub17,13,28,yes
sub18,8,26,yes
sub19,18,31,yes
sub20,12,38,yes
sub21,16,32,yes
sub22,20,37,yes
sub23,15,40,yes
sub24,12,26,yes
sub25,15,33,yes
sub26,24,35,yes
sub27,17,32,yes
sub28,14,31,yes
sub29,20,41,yes
sub30,20,38,yes
sub31,11,18,no
sub32,14,11,no
sub33,17,16,no
sub34,20,15,no
sub35,12,12,no
sub36,15,17,no
sub37,13,18,no
sub38,9,11,no
sub39,19,14,no
sub40,16,15,no
sub41,18,23,no
sub42,21,16,no
sub43,9,23,no
sub44,18,19,no
sub45,16,18,no
sub46,15,17,no
sub47,12,10,no
sub48,20,23,no
sub49,12,11,no
sub50,17,17,no
sub51,8,14,no
sub52,12,14,no
sub53,13,22,no
sub54,12,9,no
sub55,16,17,no
sub56,8,4,no
sub57,13,17,no
sub58,15,16,no
sub59,16,12,no
sub60,19,17,no
