purch_rating,price,ppt,condition
51,5,ppt_1,item_only
43,10,ppt_1,item_only
42,15,ppt_1,item_only
35,20,ppt_1,item_only
33,25,ppt_1,item_only
38,30,ppt_1,item_only
49,35,ppt_1,item_only
60,40,ppt_1,item_only
45,45,ppt_1,item_only
70,50,ppt_1,item_only
38,55,ppt_1,item_only
34,60,ppt_1,item_only
42,65,ppt_1,item_only
52,70,ppt_1,item_only
60,75,ppt_1,item_only
54,80,ppt_1,item_only
65,85,ppt_1,item_only
74,90,ppt_1,item_only
51,95,ppt_1,item_only
88,100,ppt_1,item_only
55,5,ppt_2,item_only
84,10,ppt_2,item_only
59,15,ppt_2,item_only
53,20,ppt_2,item_only
54,25,ppt_2,item_only
54,30,ppt_2,item_only
57,35,ppt_2,item_only
69,40,ppt_2,item_only
65,45,ppt_2,item_only
62,50,ppt_2,item_only
56,55,ppt_2,item_only
51,60,ppt_2,item_only
92,65,ppt_2,item_only
73,70,ppt_2,item_only
67,75,ppt_2,item_only
89,80,ppt_2,item_only
69,85,ppt_2,item_only
88,90,ppt_2,item_only
62,95,ppt_2,item_only
46,100,ppt_2,item_only
36,5,ppt_3,item_only
38,10,ppt_3,item_only
25,15,ppt_3,item_only
59,20,ppt_3,item_only
56,25,ppt_3,item_only
41,30,ppt_3,item_only
49,35,ppt_3,item_only
59,40,ppt_3,item_only
19,45,ppt_3,item_only
56,50,ppt_3,item_only
42,55,ppt_3,item_only
62,60,ppt_3,item_only
58,65,ppt_3,item_only
62,70,ppt_3,item_only
63,75,ppt_3,item_only
68,80,ppt_3,item_only
45,85,ppt_3,item_only
59,90,ppt_3,item_only
78,95,ppt_3,item_only
65,100,ppt_3,item_only
46,5,ppt_4,item_only
52,10,ppt_4,item_only
46,15,ppt_4,item_only
56,20,ppt_4,item_only
34,25,ppt_4,item_only
54,30,ppt_4,item_only
66,35,ppt_4,item_only
63,40,ppt_4,item_only
52,45,ppt_4,item_only
39,50,ppt_4,item_only
30,55,ppt_4,item_only
51,60,ppt_4,item_only
81,65,ppt_4,item_only
57,70,ppt_4,item_only
93,75,ppt_4,item_only
59,80,ppt_4,item_only
71,85,ppt_4,item_only
61,90,ppt_4,item_only
52,95,ppt_4,item_only
81,100,ppt_4,item_only
42,5,ppt_5,item_only
44,10,ppt_5,item_only
18,15,ppt_5,item_only
20,20,ppt_5,item_only
50,25,ppt_5,item_only
61,30,ppt_5,item_only
67,35,ppt_5,item_only
59,40,ppt_5,item_only
31,45,ppt_5,item_only
62,50,ppt_5,item_only
55,55,ppt_5,item_only
53,60,ppt_5,item_only
64,65,ppt_5,item_only
69,70,ppt_5,item_only
38,75,ppt_5,item_only
63,80,ppt_5,item_only
41,85,ppt_5,item_only
42,90,ppt_5,item_only
71,95,ppt_5,item_only
65,100,ppt_5,item_only
21,5,ppt_6,item_only
46,10,ppt_6,item_only
22,15,ppt_6,item_only
39,20,ppt_6,item_only
40,25,ppt_6,item_only
42,30,ppt_6,item_only
39,35,ppt_6,item_only
16,40,ppt_6,item_only
46,45,ppt_6,item_only
53,50,ppt_6,item_only
41,55,ppt_6,item_only
53,60,ppt_6,item_only
46,65,ppt_6,item_only
72,70,ppt_6,item_only
51,75,ppt_6,item_only
44,80,ppt_6,item_only
79,85,ppt_6,item_only
68,90,ppt_6,item_only
67,95,ppt_6,item_only
77,100,ppt_6,item_only
50,5,ppt_7,item_only
58,10,ppt_7,item_only
56,15,ppt_7,item_only
34,20,ppt_7,item_only
37,25,ppt_7,item_only
66,30,ppt_7,item_only
58,35,ppt_7,item_only
44,40,ppt_7,item_only
45,45,ppt_7,item_only
69,50,ppt_7,item_only
55,55,ppt_7,item_only
71,60,ppt_7,item_only
39,65,ppt_7,item_only
33,70,ppt_7,item_only
43,75,ppt_7,item_only
69,80,ppt_7,item_only
56,85,ppt_7,item_only
71,90,ppt_7,item_only
70,95,ppt_7,item_only
54,100,ppt_7,item_only
56,5,ppt_8,item_only
47,10,ppt_8,item_only
56,15,ppt_8,item_only
51,20,ppt_8,item_only
55,25,ppt_8,item_only
41,30,ppt_8,item_only
34,35,ppt_8,item_only
49,40,ppt_8,item_only
62,45,ppt_8,item_only
71,50,ppt_8,item_only
85,55,ppt_8,item_only
72,60,ppt_8,item_only
68,65,ppt_8,item_only
56,70,ppt_8,item_only
88,75,ppt_8,item_only
83,80,ppt_8,item_only
77,85,ppt_8,item_only
87,90,ppt_8,item_only
64,95,ppt_8,item_only
80,100,ppt_8,item_only
49,5,ppt_9,item_only
44,10,ppt_9,item_only
43,15,ppt_9,item_only
54,20,ppt_9,item_only
42,25,ppt_9,item_only
-0,30,ppt_9,item_only
44,35,ppt_9,item_only
52,40,ppt_9,item_only
49,45,ppt_9,item_only
70,50,ppt_9,item_only
65,55,ppt_9,item_only
45,60,ppt_9,item_only
46,65,ppt_9,item_only
45,70,ppt_9,item_only
50,75,ppt_9,item_only
52,80,ppt_9,item_only
67,85,ppt_9,item_only
55,90,ppt_9,item_only
69,95,ppt_9,item_only
39,100,ppt_9,item_only
43,5,ppt_10,item_only
24,10,ppt_10,item_only
45,15,ppt_10,item_only
41,20,ppt_10,item_only
39,25,ppt_10,item_only
