q_irritability,q_hunger,ppt
17,30,N1p1
19,27,N1p1
19,29,N1p1
20,33,N1p1
24,14,N1p1
30,28,N1p2
42,44,N1p2
29,27,N1p2
40,56,N1p2
15,8,N1p2
36,40,N1p3
36,43,N1p3
42,50,N1p3
41,44,N1p3
29,39,N1p3
21,29,N1p4
27,67,N1p4
32,27,N1p4
39,51,N1p4
36,59,N1p4
14,43,N1p5
12,43,N1p5
30,64,N1p5
22,60,N1p5
15,53,N1p5
20,30,N1p6
15,58,N1p6
19,37,N1p6
35,70,N1p6
18,72,N1p6
32,52,N1p7
58,79,N1p7
38,50,N1p7
45,69,N1p7
43,65,N1p7
40,58,N1p8
31,53,N1p8
29,49,N1p8
44,69,N1p8
27,56,N1p8
23,49,N1p9
34,60,N1p9
27,53,N1p9
13,39,N1p9
32,55,N1p9
22,71,N1p10
34,56,N1p10
28,63,N1p10
30,64,N1p10
36,77,N1p10
31,76,N1p11
28,73,N1p11
46,79,N1p11
55,89,N1p11
56,87,N1p11
52,78,N1p12
52,98,N1p12
43,87,N1p12
42,80,N1p12
44,51,N1p12
37,51,N3p1
24,37,N3p1
37,52,N3p1
18,32,N3p1
36,43,N3p1
35,32,N3p2
19,28,N3p2
35,30,N3p2
34,41,N3p2
27,38,N3p2
22,34,N3p3
43,49,N3p3
29,38,N3p3
30,43,N3p3
43,53,N3p3
26,32,N3p4
31,48,N3p4
32,46,N3p4
39,45,N3p4
41,59,N3p4
27,45,N3p5
20,23,N3p5
29,48,N3p5
41,58,N3p5
28,34,N3p5
14,41,N3p6
11,43,N3p6
9,44,N3p6
20,50,N3p6
16,45,N3p6
38,63,N3p7
37,68,N3p7
41,63,N3p7
39,55,N3p7
48,36,N3p7
55,76,N3p8
26,39,N3p8
57,65,N3p8
63,73,N3p8
55,61,N3p8
0,8,N5p1
8,14,N5p1
6,28,N5p1
21,31,N5p1
32,40,N5p1
14,41,N5p2
17,5,N5p2
21,27,N5p2
22,16,N5p2
27,44,N5p2
25,39,N5p3
30,42,N5p3
15,28,N5p3
44,64,N5p3
24,32,N5p3
11,47,N5p4
14,24,N5p4
15,48,N5p4
17,41,N5p4
13,29,N5p4
33,58,N5p5
31,38,N5p5
38,53,N5p5
25,31,N5p5
17,27,N5p5
22,47,N5p6
29,51,N5p6
34,57,N5p6
24,45,N5p6
35,55,N5p6
52,61,N5p7
33,58,N5p7
25,52,N5p7
31,52,N5p7
20,47,N5p7
39,56,N5p8
44,63,N5p8
37,80,N5p8
27,58,N5p8
31,52,N5p8
22,73,N5p9
30,73,N5p9
26,67,N5p9
37,81,N5p9
25,61,N5p9
1,10,N7p1
25,49,N7p1
16,39,N7p1
18,40,N7p1
25,42,N7p1
28,34,N7p2
35,48,N7p2
8,22,N7p2
19,37,N7p2
27,35,N7p2
38,47,N7p3
39,41,N7p3
34,56,N7p3
31,46,N7p3
22,15,N7p3
30,49,N7p4
36,59,N7p4
32,59,N7p4
0,25,N7p4
10,28,N7p4
27,39,N7p5
27,37,N7p5
28,38,N7p5
40,54,N7p5
31,42,N7p5
55,61,N7p6
36,51,N7p6
57,63,N7p6
21,39,N7p6
41,53,N7p6
17,21,N7p7
13,40,N7p7
22,58,N7p7
23,50,N7p7
21,46,N7p7
5,37,N7p8
27,53,N7p8
32,58,N7p8
10,45,N7p8
9,51,N7p8
43,62,N7p9
32,44,N7p9
35,64,N7p9
42,40,N7p9
35,59,N7p9
5,16,N9p1
18,43,N9p1
12,26,N9p1
1,12,N9p1
21,42,N9p1
23,38,N9p2
30,36,N9p2
21,20,N9p2
22,29,N9p2
29,28,N9p2
18,44,N9p3
9,29,N9p3
19,29,N9p3
5,14,N9p3
17,32,N9p3
28,51,N9p4
28,44,N9p4
28,45,N9p4
37,46,N9p4
31,29,N9p4
21,43,N9p5
24,48,N9p5
42,67,N9p5
26,46,N9p5
27,28,N9p5
40,50,N9p6
34,48,N9p6
51,69,N9p6
31,59,N9p6
36,62,N9p6
16,49,N9p7
21,48,N9p7
22,50,N9p7
25,64,N9p7
20,53,N9p7
16,46,N9p8
28,58,N9p8
46,71,N9p8
38,67,N9p8
22,51,N9p8
