Educ,Skill,Salary
17,0.53,15.281730912501825
14,-0.03,33.99818506710177
17,1.18,39.21128855045052
14,-0.06,23.237862151415907
20,1.5,52.381762501137615
17,1.23,32.81472384867828
16,0.58,56.34401486678216
19,1.14,38.05051522531149
15,0.81,81.09611542795665
14,-0.08,37.32762890709958
15,0.4,43.67723265092711
16,-1.13,15.229574261790379
10,0.03,19.692650749740647
15,0.39,47.171145244866835
22,1.26,34.99743405129314
18,1.34,48.595456752913705
18,-0.19,54.01709437567217
14,-0.15,66.45660878967621
18,-0.58,20.621540988606558
17,-0.87,29.019397235157626
9,-0.27,23.047644050956254
16,0.14,36.40193717934247
13,-1,45.46143027446084
19,-0.91,47.54388001366809
20,0.55,36.527611899997396
17,0.51,39.57728125980067
10,-0.9,30.6244564760733
15,0.12,35.672329731846695
11,-0.41,40.37650122901821
14,1.93,39.90080050701303
17,0.63,44.86381040111094
18,-1.08,40.488696504899124
19,0.53,29.07157600516024
12,-0.08,55.06069284299561
20,-0.22,49.464679460125296
12,-0.2,34.099228323486514
20,0.52,38.93211711769618
14,0.25,42.026620369150386
14,-0.44,71.22725460393681
16,-0.19,27.772747637677643
15,0.77,62.73023148314384
14,-2.11,39.40662796409754
13,-0.68,42.38261043800413
13,-0.88,56.06476680141573
17,0.96,38.603002933975176
18,1.39,44.587543192510104
13,-0.04,39.52165865234927
13,0.3,48.384473114145734
14,-0.81,40.66602639655681
20,1.13,57.993005147382455
20,1.34,50.42382386790547
12,-2.06,38.003672050391245
22,0,46.939993050991575
15,-0.16,37.55019786084156
16,-0.58,31.238513561525703
17,-1.05,41.99490793623283
14,-1.01,48.66886047785255
16,1,49.240521145016984
8,-1.6,17.130499830298522
18,0.16,36.40860869104256
14,-1.39,39.67522437715884
16,0.87,47.07129963663935
15,-0.56,21.33802441218321
11,-0.5,33.10901350804501
19,0.76,47.23218086110074
15,-0.42,36.792624316770265
14,-1.74,26.42579910812951
16,-0.39,34.336874587428404
14,0.06,45.24301135683532
15,0.4,38.720354724294026
18,1.25,31.5648855534112
13,0.08,39.254936425971316
11,-1.18,34.0109402040697
17,0.73,13.15304179132292
12,0.04,35.91224974116376
17,0.87,53.58278007991575
14,-1.09,24.3124599989347
16,-1.65,31.279585478280264
13,-0.4,39.67848941673328
17,0.93,30.986941108061394
18,0.25,61.437846082678575
16,-0.95,33.64076031757301
19,-0.57,35.765537710189264
15,0.3,22.434693419395707
15,-0.59,20.860669818917646
16,-1.46,34.29873395269299
13,-0.34,31.03881915498645
13,-0.86,28.811512075587537
18,-0.3,35.33894690843507
11,-0.42,21.90699119059041
10,-1.51,22.085965942551855
14,2.43,52.362667379877166
18,0.22,48.09672035836911
13,-1.75,28.215040941971104
19,0.75,38.327984168261594
13,-1.03,27.50541763318718
14,1.48,60.83049069947489
18,0.51,17.794863676650017
14,0.44,32.071551965002826
17,-0.67,16.738611978986086
18,0.68,31.717831669188776
16,-0.39,26.65926528485273
17,-0.62,30.372852590520168
12,-0.82,45.52471012105498
19,0.5,31.047718603367542
19,1.57,49.357783332125344
16,1.26,36.19812518699842
17,0.96,42.766281884285704
11,-0.28,23.965886032590774
15,0.66,48.32536445836384
19,0.71,51.841556837669515
17,0.91,42.87989086592527
16,0.09,47.0217506872567
14,0.3,24.51563964843367
16,1.03,37.04233622149606
12,0.04,31.74954700828828
14,-1.17,28.270446757200148
15,-0.9,7.885167216613116
17,-0.62,50.13708860679445
16,0.18,34.061441499545275
17,0.67,30.0912395885629
12,0.35,23.385848357703097
12,-2.37,33.53874249900907
15,-1.39,51.987656195382506
13,0.53,20.706481839823592
18,0.21,22.548978687331353
17,1.16,43.05173940076014
18,-1.33,28.560535535560916
20,-0.21,40.345080689969826
20,0.66,49.381012577524075
14,-0.15,41.92278756441018
13,-0.59,27.877778829793115
18,-0.38,31.77158127855195
17,0.91,50.99036269211373
15,1.75,40.972349754515555
12,-0,63.283499585180074
21,0.12,55.895598455066896
20,2.58,43.44423940901103
24,1.63,46.01734520627266
12,-1.22,13.92577376620818
14,-0.5,42.591988654790484
17,-0.88,10.470264904066632
16,-0.15,32.883935724447504
19,-0.25,41.15972307313203
14,-0.97,27.930982590191043
19,0.4,53.631812454404994
12,-0.8,14.455825074548148
15,-0.18,54.201461426570276
13,-0.83,45.59697611744711
17,-0.48,40.97476381572213
16,0.61,32.78614611797637
17,0.78,46.8326343508102
16,-0.5,41.32065776015319
19,0.89,58.33200711114447
12,-0.06,47.00243595310405
12,0.67,33.18200849003382
14,0.18,37.84237032401337
15,0.94,30.443740792926945
14,1.04,44.807690283932054
20,0.9,49.25334300187953
16,1.39,39.588698481276765
17,-0.98,43.67769765237164
11,-0.16,45.91052684968836
10,-1.75,23.38814698645156
18,1.02,47.32341030085191
11,0.16,44.57508003487601
13,0.31,37.21458360383162
9,-0.52,30.826293611122352
13,-0.22,23.76192311736193
15,-1.32,43.925046688760574
23,2.53,61.66612068126963
16,1.28,48.54511004871451
15,-0.17,58.74804075604948
15,0.42,36.116165850290315
10,-0.19,41.529715247431554
20,0.95,62.3464270341891
15,0.1,41.07462027427847
24,2.17,51.15732109168658
12,-0.12,26.591683002504645
15,-0.29,38.41518824558231
13,-2.56,29.193410300298133
15,-0.98,42.00063717530409
18,-0.2,27.737423675706225
15,-0.58,36.73756242222314
12,0.33,39.88867433437577
17,-0.23,36.089009730319326
16,1.09,47.48708561992689
17,0.97,49.202117224590666
18,1.84,32.83416807588554
12,-0.71,37.264797798142794
17,1.87,78.09276471267097
17,-1.28,37.888979869660666
6,-1.35,13.90738470483861
17,0.1,48.249390806477905
18,1.34,46.84218134076725
12,-0.27,25.833239393096633
15,1.02,19.831063686629104
14,0.73,53.95199114113546
13,-0.73,27.991102752865746
14,0.67,43.25810569725252
15,-1.38,23.387413151165404
20,0.05,19.88356492852531
15,0.43,42.65360442933018
15,-0.12,41.22806428549849
13,-0.48,47.140839452379225
12,-1.11,30.73100974020253
18,1.22,35.02075712609458
13,1.04,27.934306687946435
16,1.17,42.246760174495755
13,-0.89,19.540997009874385
18,0.33,33.513090694813435
12,0.18,29.052209469895345
21,1.15,41.08506893967969
19,-0.92,39.66249022726573
21,0.46,53.98989241354754
14,-1.33,27.88282020286644
18,-0.16,32.92399805688454
20,-0.23,40.191235076334735
10,-1.21,31.03536560193112
18,-0.73,34.942190192252255
13,0.31,34.6870878365818
15,1.07,39.0874910852547
18,0.77,46.69839609129782
11,-0.63,20.801304926135597
17,-0.49,38.36015497066627
19,2.31,50.16220096701876
16,0.49,66.19401637537656
11,-0.94,46.38713738489739
20,1.64,32.065602717170094
18,-0.3,22.070380432865832
16,-0.15,53.6500459595973
19,-0.64,46.50492621022093
21,-0.24,53.005165386891555
13,-0.54,30.147937356736424
15,-0.5,40.83977079676493
19,1.2,36.734102226694205
17,0.12,44.54944191995498
17,-0.46,38.944480662259195
16,0.55,41.879442815826906
22,0.66,30.729898639702242
13,0.4,26.360883565895367
25,0.1,33.22987364369419
16,-0.48,60.20516311676272
17,1.21,40.238338483568434
15,0.43,50.1021298864478
13,-0.59,28.018414811095376
15,0.68,50.02710894706511
15,0.64,29.317465358034198
19,-0.16,55.056504203798426
14,-0.57,25.2769977815178
15,-0.96,43.923674209207704
15,-0.72,46.577458416028406
14,-0.95,32.01194026058972
19,0.58,48.32138344763444
19,-0.12,57.579846413435426
14,-1.44,31.41541255476897
16,-0.34,51.86206896623135
18,0.24,28.890044895988524
12,0.18,39.82898195794526
15,0.34,42.41393652874534
16,0.68,66.40939162986923
19,0.71,52.35364730566692
13,-1.16,37.58788213839284
14,0.81,60.61927361839715
