ID,age,gender,handedness,lab_session,participation_order,first_condition,visualcue_attempt1,visualcue_attempt2,visualcue_attempt3,visualcue_attempt4,visualcue_attempt5,auditorycue_attempt1,auditorycue_attempt2,auditorycue_attempt3,auditorycue_attempt4,auditorycue_attempt5
R_3h5Q6P4tu6Ig6sW,18,Female,Right,Monday_PM,Partner_First,Visual_First,27,NA,14,14.5,19,NA,NA,NA,NA,NA
R_3NIhNT7bRUFmnD3,18,Female,Right,Monday_PM,Partner_First,Visual_First,27,NA,14,14.5,19,NA,NA,1,25,NA
R_2rMlgBdyCS7GLVM,19,Female,Right,Monday_PM,Partner_First,Auditory_First,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R_11hVfVo9fXbskcK,18,Female,Right,Monday_PM,Partner_First,Visual_First,17,23,21,19,24,NA,NA,NA,19,23
R_DwQzJwPpJpt0vDz,18,Female,Right,Monday_PM,Partner_First,Visual_First,19,14,12,10,16,4,16,14,10,6
R_10GATnCU0TGWxJE,17,Female,Right,Monday_PM,Myself_First,Visual_First,10.5,7.5,7.5,13,12,3,7,13,7,9
R_1DOOJ10ZGmj694C,18,Female,Right,Monday_PM,Myself_First,Visual_First,15,8,14,10,13,1,13,10,24,22
R_1JWxx2fuBJtUw93,17,Female,Right,Monday_PM,Partner_First,Auditory_First,15,2,7,16,11,22,4,11,5,20
R_2RQASQllkpyLy,45,Male,Right,Monday_PM,Myself_First,Visual_First,26,3,19,13,10,23,19,14,15,21
R_2ZD1l2TN0JURVyB,21,Male,Left,Monday_PM,Partner_First,Visual_First,20.9,19.5,18,18.5,15,6,16.5,10,1.4,11
R_1EWLNZYQSjYP09s,25,Female,Right,Tuesday_AM,Myself_First,Visual_First,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R_3s5fgYKeRYmPDbe,19,Male,Right,Monday_PM,Myself_First,Auditory_First,25,17,18,13,12,24.5,26,30,26,23.5
R_V2wHj7lQIcHMrGV,19,Female,Right,Monday_PM,Partner_First,NA,20,14,19,13,5,29,NA,7,21,2
R_3hDqQxws8dmNyuP,19,Female,Right,Monday_PM,Partner_First,Visual_First,12,16,10,8,7,15,25,10,8,7
R_1dtRkdrMWARLt9g,18,Female,Right,Monday_PM,Myself_First,Visual_First,17,25,16,20,26,18,5,8,20,17
R_W1iHywhE0DJlyvL,18,Female,Right,Monday_PM,Myself_First,Visual_First,18,15,20,19,20,NA,NA,NA,NA,NA
R_1EZQ1BYjStCRQAI,19,Male,Right,Monday_PM,Partner_First,Auditory_First,21.5,16,14,22,15,NA,NA,NA,NA,20
R_25S1HjaDSGu5kCH,19,Female,Right,Monday_PM,Myself_First,Auditory_First,26,29,29,NA,16,22,NA,NA,20,NA
R_1Q5YcwqL1wSWxV9,17,Male,Right,Monday_PM,Myself_First,Visual_First,NA,29,NA,NA,NA,4,4,9,NA,10
R_1IS3A325g9J5NL9,20,Female,Right,Monday_PM,Myself_First,Visual_First,2,21,17,16,10,NA,16,19,21.5,0
R_1PaUWw2gS5HTQwh,19,Female,Right,Monday_PM,Myself_First,Visual_First,18,17,9,8.8,8,14,0.5,0,15,11
R_XSdyOE0azEHtsv7,17,Female,Right,Monday_PM,Myself_First,Visual_First,NA,21.5,6,NA,23.5,NA,NA,NA,NA,NA
R_3EFM2EVebKdIM47,41,Female,Right,Monday_PM,Partner_First,NA,9,NA,18,20,10,12,NA,NA,NA,5
R_1C4r2Uuv2VLsbyO,19,Male,Right,Monday_PM,Myself_First,Visual_First,15.9,5.5,10,5,10,NA,13.5,16,21.75,13
R_XLKNOLBMmRc1KKd,18,Female,Right,Monday_PM,Partner_First,Visual_First,15,10,17,5,19,8,12,0,30,25
R_11dvT7Mj8qVw0C2,19,Male,Right,Monday_PM,Myself_First,Auditory_First,20.8,11,NA,11.5,23.3,5.5,6.5,NA,NA,NA
R_3JlMm845nbxUx1I,28,Male,Right,Monday_PM,Myself_First,Visual_First,14,14,11,13,14,14,27,14,29,3
R_33ffv7sEEY0LhOy,18,Female,Right,Monday_PM,Myself_First,Visual_First,20.5,16,18,12,13,NA,24,NA,18.8,15.5
R_7QAdYDij2s5lA3f,20,Male,Left,Monday_PM,Partner_First,NA,4,4,9,NA,10,NA,15,12,10,5
R_3IW8cBHCiui8sce,18,Female,Right,Monday_PM,Partner_First,Visual_First,6,NA,5,6,17,4,NA,10,NA,7
R_3FPYX7ICn1gbe1T,17,Female,Right,Monday_PM,Myself_First,Visual_First,16,16,11,7,10,NA,NA,NA,4,10
R_2vYSWzM1pBgAENc,18,Female,Right,Monday_PM,Partner_First,Visual_First,22,18,14,16,10.5,28,NA,18.5,19,NA
R_217FW4mE7Db7HXz,18,Male,Right,Monday_PM,Partner_First,Auditory_First,9,9.5,10,5.5,9,14,17,7.5,3,27
R_3Lc2WPNiVzvnfIy,18,Female,Right,Monday_PM,Myself_First,Visual_First,NA,8,14,15,6,17,17,18,NA,9
R_2Y3WvyT1uAnVd2S,18,Female,Right,Monday_PM,Partner_First,NA,7,15,13,3,6,27.5,14,13,NA,4
R_3DvdD9VBTIt5Vu2,17,Female,Right,Monday_PM,Partner_First,NA,NA,15.5,22,15.5,26.5,25.5,NA,8,30,NA
R_2BzI2G84UY6RiDb,19,Female,Right,Monday_PM,Partner_First,Visual_First,26,13.5,17,8,7,21,19.5,NA,15,1
R_3EiawGVRZ58XZbr,17,Male,Right,Monday_PM,Myself_First,Auditory_First,23,12,12.5,8,27.5,22,NA,NA,NA,NA
R_r11ndujuDXatWet,19,Female,Right,Monday_PM,Myself_First,Auditory_First,16,5,15.5,6,14,5,NA,NA,NA,6
R_2fs002tebgSIWYg,17,Male,Right,Monday_PM,Partner_First,Auditory_First,21,14,19,11,14,14,27,14,29,3
R_24wLhGUEbyOqSu9,19,Female,Right,Monday_PM,Partner_First,Visual_First,20,24.3,23.6,25.6,11.8,NA,NA,NA,NA,12.5
R_1BVojuk0tw9CCl2,18,Female,Right,Monday_PM,Myself_First,Auditory_First,21,NA,NA,NA,NA,22,NA,NA,NA,NA
R_7ZMrYZI7fmDSsjT,19,Female,Right,Monday_PM,Partner_First,Visual_First,21,NA,NA,NA,NA,22,NA,NA,NA,NA
R_2RWVGMWur3Wwa3A,21,Prefer not to say,Right,Monday_PM,Partner_First,Visual_First,10.5,20,16,22,17,NA,6,10,10,2
R_6m85oB0FeJYIRot,18,Female,Right,Tuesday_AM,Myself_First,Auditory_First,18,25,17,11,15,30,25,15,26,30
R_BFnwMc4Vp9uSfuN,19,Female,Right,Tuesday_AM,Partner_First,NA,28,8,29.5,14,10,16,15,29,6,24.5
R_1DAso37nu9qccSu,NA,Female,Right,Tuesday_AM,Partner_First,Auditory_First,14,13,6,14,15,17,NA,19,16.5,26.5
R_3nAyiAJibclROKF,18,Female,Right,Tuesday_AM,Myself_First,Visual_First,21,14,18,12,13,13,12,17,16,15
R_264npoSO4WSeA9k,18,Female,Right,Tuesday_AM,Partner_First,NA,21,14,18,12,13,13,12,17,16,15
R_PYja62yvZYMZpnP,20,Female,Right,Tuesday_AM,Myself_First,Auditory_First,14,13,6,14,15,17,NA,19,16.5,26.5
R_3dPPtbj8lb9QFKb,18,Female,Right,Tuesday_AM,Partner_First,Auditory_First,3,13,16,14,10,19,30,17,30,2
R_wRx2VwUfgDqVAPv,20,Female,Right,Tuesday_AM,Myself_First,Visual_First,10.5,11.5,14,1,12,28,22,NA,28,0
