pseudonym,birthmonth,n_sibling,spicy,spicy_num,eye_colour,distance_born,outlook,ampm,sleepqual,procrast,multitask,fav_color,catdog,threewords
noodle_horse,january,2,medium,3,blue,191,-22,9.5,38,22,57,green,both,NA
zmjjkk,october,0,mild,2,brown,8300,80,0,50,80,80,blue,both,"good,nice,well done"
NA,april,11,extreme,6,brown,6700,100,10,NA,100,NA,red,cat,i am sleepy
boogereater,may,0,hot,4,grey,7000,-39,1.8,52,45,53,pink,cat,hungry hungry hungry
gabby,january,1,mild,2,hazel,626,38,5,50,77,77,pink,dog,sociable loud fun
NA,may,0,medium,3,blue,39,97,1.1,16,34,51,blue,both,empathetic senstive driven
NA,february,1,medium,3,brown,NA,32,2.8,52,40,49,blue,dog,NA
1,may,0,hot,4,brown,10000,0,2.4,74,54,47,blue,both,啊！
NA,september,1,medium,3,green,70,24,3.2,57,24,72,green,both,NA
papillon,november,1,medium,3,blue,74,35,2.5,50,80,71,yellow,dog,emotional bubbly kind
phin,june,1,mild,2,brown,8.346,41,0.8,55,54,76,purple,cat,"short, funny, thoughtful"
meow,december,3,medium,3,brown,17000,0,1.1,49,51,54,purple,cat,"meow, chaotic, hungry"
xzq,january,2,mild,2,hazel,2500,29,1.1,53,76,NA,black,dog,"realistic, melancholic"
NA,january,1,medium,3,brown,400,100,5,52,70,50,blue,dog,NA
mj,january,1,extreme,6,blue,0,100,0,NA,98,65,red,both,chill and that
arlis,september,0,mild,2,blue,5230,-25,1,49,29,52,pink,dog,"cute, fun, passionate"
red panda,january,0,mild,2,green,46,-10,1.6,62,77,54,red,cat,NA
meooooow,april,1,very hot,5,brown,6733,-28,0,5,85,60,purple,both,dehydrated caffeinated mushroom
NA,march,4,medium,3,green,1.7,-56,0,NA,29,62,purple,cat,italian stallion
NA,july,2,hot,4,green,72,94,2.8,21,19,73,green,dog,talkative fun optimistic
wazzy,july,1,mild,2,blue,106,-46,0,29,100,73,pink,cat,NA
kamo,january,1,mild,2,brown,8011,50,2.7,57,63,75,blue,cat,sleepy bored hungry
oren,october,1,hot,4,brown,7488,-22,0,9,79,40,pink,both,"introverted, pessimistic, awkward"
giselle,june,2,mild,2,blue,1723,74,1,70,75,30,orange,both,"calm, tired, friendly"
bartlett,april,0,mild,2,hazel,290,18,10,45,47,66,red,both,tired excited caffienated
NA,august,1,hot,4,green,5,0,10,50,71,50,blue,cat,NA
lily,december,1,mild,2,green,2550,-34,0.5,39,77,57,black,cat,"tall
blonde
"
dawg,april,21,extreme,6,other,6769,-100,10,NA,NA,3,other,cat,hopefully an artist
NA,november,NA,mild,2,brown,9131,-40,0.5,53,58,28,purple,neither,NA
123,june,1,mild,2,other,9532,-10,7.6,74,13,53,blue,cat,idk
NA,december,0,medium,3,brown,8000,-24,2.5,58,73,39,blue,both,"introverted，friendly, lonely"
NA,march,1,medium,3,brown,6907,23,4.2,100,50,71,pink,neither,"motorcycle, hidden food spots, and maybe tall"
millie,august,1,medium,3,brown,973,30,4.9,62,74,48,yellow,dog,"funny, energetic, stressed"
NA,april,1,medium,3,blue,606,50,3.5,90,35,78,pink,dog,NA
lulu,march,1,mild,2,brown,10934,27,5.9,60,23,64,pink,dog,"sensitive, funny, joyful"
NA,may,0,medium,3,blue,0,-26,8,95,83,21,pink,neither,"empathetic
caring
sporty"
mrg,january,4,mild,2,blue,700,-50,5,72,80,62,pink,cat,"funny, skinny, leng"
rhy,september,3,mild,2,blue,550,32,6.7,62,100,75,red,cat,nervous and scared
ash,june,1,medium,3,brown,6731,30,3.8,72,55,91,yellow,cat,"curious, sleepy, homesick"
pumpkin,july,1,mild,2,blue,12,80,0.2,67,100,66,other,both,"unorganised 
fun 
social"
NA,march,1,mild,2,other,12800,0,5,44,31,81,purple,dog,lazy
hwen,june,2,mild,2,blue,1700,10,7.5,81,7,100,green,cat,"book-y, language-y, history-y"
clara,february,3,mild,2,brown,7.4,-60,6.4,50,21,11,other,both,"creative, caring, introverted"
NA,may,0,medium,3,brown,307,28,0,43,74,72,green,both,happy fun and thoughtful
sundit,may,8,mild,2,brown,0,-18,1.6,85,91,79,red,cat,NA
noxvale,october,1,mild,2,brown,2300,17,0,77,100,56,other,dog,"curious
adaptable
willing"
feefivefoofum,october,1,hot,4,blue,74,-63,0.6,63,100,65,pink,both,"sociable 
friendly
silly 
"
natalie,march,3,medium,3,brown,7574,80,5,70,80,40,pink,both,"fun
smart
committed"
clear,august,2,medium,3,brown,8320,14,10,87,81,39,blue,cat,"friendly, enthusiastic, music"
m,february,1,mild,2,brown,9615,-10,6.2,55,26,37,other,neither,"careful, sometimes creative, introvert"
x,july,0,mild,2,other,6400,-50,0,10,66,12,blue,cat,human alive breathing
sealio,may,1,mild,2,blue,24,-4,0.8,95,76,60,red,cat,"sleepy, opinionated, empathetic"
georja,october,2,medium,3,blue,549,80,5,76,79,50,red,dog,"loud, talkative, friendly"
NA,july,2,mild,2,green,2414,15,2.4,68,13,94,green,both,"smart, pretty, cool"
alex,september,1,medium,3,brown,3425,94,2.9,59,43,75,red,cat,"funny, hilarious, chatty"
toasted fish,may,1,mild,2,blue,0,0,0,64,100,38,pink,dog,sweet selfless emotionally intelligent
cat,march,1,medium,3,blue,245,-65,3.5,60,20,52,red,cat,NA
b,april,7,mild,2,hazel,689,80,0,46,73,63,purple,cat,"happy, funny, kind"
ppls,october,1,hot,4,brown,2.067,29,2.5,42,53,54,red,both,"creative, funny and ambitious"
douglas,august,2,medium,3,blue,62.6,91,1.6,63,89,53,green,dog,charismatic joyous ponderous
alan reet,december,2,medium,3,grey,650,-34,1,50,50,66,orange,both,decent white boy
sopa,february,1,mild,2,brown,0,80,1,72,90,47,green,both,"curious, easy going, empathetic"
alolmelia,july,2,medium,3,brown,334,71,1.2,61,89,78,pink,neither,"kind, thoughtful, open minded"
albert,february,1,mild,2,brown,2414,51,5,62,39,53,red,both,"funny, pretty, smart!"
lydia,february,2,mild,2,brown,11810,50,7.2,75,49,63,pink,dog,"spontaneous, optimistic, thoughtful"
lilblondebish,august,1,mild,2,blue,5,59,7.5,50,21,51,other,both,"bubbly, kind, tired"
azalea,november,0,mild,2,brown,8100,10,1.7,52,20,34,blue,cat,sleepy empathic warm
dawg,july,2,medium,3,blue,78,5,0,49,99,30,pink,cat,"energetic, funny, loud"
buzz,february,1,medium,3,brown,0,55,0,NA,36,29,pink,both,"handsome, smart, maternal"
bowes,september,0,mild,2,brown,660,30,4,52,34,17,blue,dog,"kind, generous and perceptive"
NA,february,1,medium,3,other,9000,35,3.1,88,64,51,pink,both,naughty talkative
poseidon olympus,march,2,hot,4,green,1500,10,2,69,40,100,purple,both,"fun, social, intelligent 
"
bigitalianstallion,april,6,medium,3,green,5.5,-11,2,45,75,80,orange,dog,"tall, dark, handsome"
double,july,1,mild,2,brown,30,-33,2.1,27,100,11,green,cat,procrastinator lazy confused
myoo,march,1,anti-spice,1,brown,9250,35,5,64,74,56,pink,dog,mostly moderately happy
NA,june,3,mild,2,brown,0,9,8.4,52,52,41,red,dog,NA
zawa,june,1,hot,4,blue,1700,73,3.1,65,87,81,blue,cat,sports food curious
ndb,october,1,medium,3,brown,2.338,15,5.1,61,31,30,green,cat,optimistic. curious. kind.
betty,june,1,mild,2,blue,569,50,5,58,68,50,green,cat,"bubbly, kind, enthusiastic"
idontknow,january,1,mild,2,blue,5890,50,5,52,49,28,pink,dog,"kind, cooperative, silly"
juhani,june,1,medium,3,green,3000,39,7,65,100,70,pink,dog,NA
NA,october,2,medium,3,other,10000,59,5,90,33,77,black,cat,NA
NA,december,2,mild,2,brown,8730,-100,2.5,51,17,58,blue,dog,crazy about dogs
monty,january,3,mild,2,brown,44,84,0.5,51,94,32,red,cat,"friendly, empathetic, respectful"
NA,june,1,medium,3,brown,9520,-10,2,40,29,40,pink,cat,NA
astrid,december,1,mild,2,brown,4987,21,4.4,68,53,64,green,both,"loving, moving, learning"
NA,august,2,hot,4,brown,534,92,5,20,93,76,blue,cat,"uni student, broke, tired"
mittens,may,0,very hot,5,brown,9752,63,0,100,100,50,purple,cat,hungry sleepy jolly
amt,october,2,mild,2,blue,386,77,0,12,100,88,blue,cat,"funny, sociable, chatty"
NA,november,0,hot,4,brown,2625,0,5,28,51,26,purple,cat,resilient optimistic responsible
NA,june,1,mild,2,other,9070,48,1.9,90,31,56,blue,dog,optimistic friendly lovely
pasta,january,1,medium,3,hazel,1345,20,3.4,21,59,51,green,dog,"ambitious, friendly, talkative"
doug,december,1,medium,3,blue,367,68,4,80,30,100,yellow,dog,outgoing. adventurous. warm.
unicorn,may,1,medium,3,blue,510,10,1.7,32,64,65,pink,dog,ew no way
isra,august,5,hot,4,brown,1050,45,1,54,50,36,purple,cat,"trustworthy, empath, perfectionist"
dg,may,2,mild,2,blue,1901,55,7,73,42,51,blue,dog,"hardworking , caring , fashionable"
perrytheplatypus,march,2,mild,2,brown,600,-35,5,26,66,50,blue,dog,"crazy, entertaining, confusing"
dougal,march,2,mild,2,brown,9576,73,2,63,67,63,blue,dog,"funny, optimistic, courageous"
chicken&rice,february,2,anti-spice,1,brown,2227,100,3,50,21,71,blue,dog,"outgoing, adventurous, competitive."
hamish,march,2,hot,4,hazel,9030,35,2.9,54,87,14,blue,dog,"female, blond, 170cm"
joeyjojojrshabadoo,october,2,mild,2,brown,50,8,2.5,45,85,35,purple,both,not sure
pink,march,1,extreme,6,brown,4700,0,5,31,78,52,green,dog,pink purple blue
ama,may,1,anti-spice,1,other,9031,0,1.8,59,81,32,pink,both,NA
dumpy,september,1,medium,3,brown,5,-15,5.8,62,38,61,green,dog,NA
trottertoes,june,2,medium,3,grey,149.66,31,2.5,69,77,50,blue,cat,calm happy sleepy
spread,october,3,medium,3,blue,600,0,2,58,75,61,green,dog,NA
heyheyyy,october,2,medium,3,brown,9719,5,2.6,52,40,12,other,both,NA
abyss,october,1,mild,2,brown,9002,50,2.5,29,68,79,pink,both,"extroverted
friendly
cute"
krusty,october,1,medium,3,brown,30,50,6.5,51,58,63,green,both,funny smart fit
calista,june,0,anti-spice,1,brown,9198,23,10,59,86,53,blue,both,"joy
efforts 
energetic"
frankie 5,october,1,hot,4,blue,48.28,28,0,54,46,100,red,cat,"talkative, funny, friendly"
louise,february,1,medium,3,green,74,50,2.6,65,79,50,pink,dog,NA
sofi,december,2,very hot,5,other,12.178,40,10,61,49,69,black,cat,"funny, creative, curious"
happydestraction,may,2,medium,3,green,6007,50,5,70,85,71,purple,dog,"tenacious, fun, colourful"
NA,april,0,mild,2,brown,8900,-32,2,58,10,61,pink,dog,NA
arasaka,september,2,medium,3,blue,761,56,4,59,74,53,other,cat,cool woke nerd
NA,september,0,mild,2,blue,330,-76,7.5,65,30,25,pink,dog,NA
sue denim,september,5,hot,4,brown,6868,35,1.9,25,91,85,purple,cat,"reasonable, dramatic, caring"
chillguy,july,0,very hot,5,brown,273,45,4.2,85,29,86,green,both,funny handsome and chill
NA,july,1,mild,2,blue,21,67,9.3,29,80,50,pink,neither,NA
no1freudfan🡆,july,1,medium,3,blue,534,30,5.5,70,35,60,purple,cat,"curious, empathetic, personable"
NA,march,2,hot,4,brown,534,-13,6.6,52,65,74,green,dog,NA
adrenaladies,august,2,medium,3,brown,657,100,0.8,24,60,89,purple,dog,"loving, friendly & musical"
ducky,september,2,mild,2,brown,410,-16,0,9,67,51,red,cat,"curious, friendly, emo"
hail,december,2,medium,3,brown,367,62,2.5,58,69,53,purple,dog,NA
platypus,may,4,very hot,5,blue,1816,50,5,68,25,95,purple,both,curious free spirit
NA,july,1,mild,2,blue,627,12,2.8,42,43,31,purple,cat,"indecisive, inquisitive, random"
h,march,2,mild,2,green,603.5,80,1,15,50,80,green,dog,NA
key.stone.swimmer,june,3,medium,3,brown,58.1,33,2.6,26,48,78,purple,cat,"inquisitive, analytical, conscientious."
NA,august,2,medium,3,brown,620,21,5,79,68,52,red,cat,"creative, kind, empathetic"
