"Movie","Genre","RottenTomatoes"
"Pride & Glory","Crime",34
"All About Steve","Comedy",6
"Ghosts of Girlfriends Past","Comedy",27
"Ocean's 13","Thriller",70
"Colombiana","Action",28
"Valentine's Day","Comedy",17
"Indiana Jones and the Kingdom of the Crystal Skull","Action",77
"Drive","Thriller",93
"The Princess and the Frog","Animation",84
"Don't Be Afraid Of The Dark","Horror",59
"Land of the Lost","Drama",26
"Hall Pass","Comedy",35
"Just Wright","Comedy",45
"Meet the Spartans","Comedy",2
"27 Dresses","Comedy",40
"Zookeeper","Comedy",14
"Yes Man","Comedy",43
"Aliens in the Attic","Adventure",30
"The Cabin in the Woods","Horror",92
"There Will Be Blood","Drama",91
"Gnomeo and Juliet","Animation",56
"Zodiac","Thriller",89
"The Artist","Drama",97
"Hannah Montana: The Movie","Comedy",44
"The Heartbreak Kid","Comedy",30
