ID,score,hours,motivation
ID101,7,2,-1.311375135
ID102,23,12,-0.235371382
ID103,17,4,0.723443843
ID104,6,2,0.457106281
ID105,12,2,0.297303743
ID106,24,12,1.320039983
ID107,11,3,0.105540698
ID108,23,8,0.616908818
ID109,25,10,0.563641306
ID110,15,9,0.116194201
ID111,19,6,0.435799276
ID112,11,0,-0.704125492
ID113,14,4,0.084233693
ID114,6,2,-0.917195542
ID115,7,0,0.307957246
ID116,25,13,-0.192757372
ID117,9,2,1.277425973
ID118,14,7,-0.459094935
ID119,21,8,0.350571256
ID120,1,1,-2.39803239
ID121,12,10,-0.246024884
ID122,29,13,0.936513893
ID123,20,12,-0.203410874
ID124,20,6,-1.1622261
ID125,19,11,1.447882013
ID126,25,14,-0.69347199
ID127,22,15,-0.725432497
ID128,25,11,0.212075723
ID129,11,5,-1.268761125
ID130,9,2,0.542334301
ID131,15,4,0.979127903
ID132,24,15,-0.60824397
ID133,10,0,0.659522828
ID134,31,8,-0.60824397
ID135,22,15,-1.268761125
ID136,20,13,-2.557834928
ID137,31,12,-1.215493612
ID138,16,11,-2.78155848
ID139,16,4,0.510373793
ID140,23,15,1.213504958
ID141,7,2,0.254689733
ID142,22,11,-0.160796864
ID143,30,14,-0.43778793
ID144,12,2,-1.662940717
ID145,7,2,1.096316431
ID146,16,6,0.254689733
ID147,5,2,-1.705554727
ID148,14,9,-0.800007015
ID149,30,12,-0.629550975
ID150,7,4,-1.023730567
ID151,11,4,0.531680798
ID152,16,5,-0.277985392
ID153,16,9,-1.183533105
ID154,3,3,0.052273186
ID155,11,4,0.851285873
ID156,26,10,0.116194201
ID157,28,13,0.861939376
ID158,11,4,-2.27019036
ID159,13,6,0.989781406
ID160,18,2,0.350571256
ID161,13,5,0.339917753
ID162,26,7,-0.533669452
ID163,25,14,0.595601813
ID164,4,1,0.776711356
ID165,5,0,1.575724044
ID166,19,9,-1.087651582
ID167,20,13,-0.618897472
ID168,8,2,0.552987803
ID169,6,1,0.531680798
ID170,20,9,0.829978868
ID171,20,9,1.352000491
ID172,13,2,1.767487089
ID173,22,8,-0.65085798
ID174,8,5,-1.822743255
ID175,25,15,1.341346988
ID176,31,13,1.639645059
ID177,19,10,0.414492271
ID178,3,3,0.457106281
ID179,20,11,0.457106281
ID180,7,10,-0.576283462
ID181,2,2,0.222729226
ID182,13,5,-1.045037572
ID183,5,3,0.521027296
ID184,9,6,-0.309945899
ID185,16,7,-0.139489859
ID186,10,4,-0.56562996
ID187,17,12,0.244036231
ID188,18,3,-1.481831175
ID189,24,9,1.021741913
ID190,27,14,0.798018361
ID191,5,0,0.318610748
ID192,1,0,-0.725432497
ID193,18,2,1.160237446
ID194,20,8,0.137501206
ID195,18,15,-1.29006813
ID196,22,8,1.373307496
ID197,19,9,-1.087651582
ID198,29,10,-1.481831175
ID199,8,3,0.339917753
