grade,class,self_concept,child
5.14,1,1.54,1
5.3,1,3.62,2
3.91,1,-0.65,3
4.48,1,-0.93,4
5,1,0.28,5
5.32,1,2.36,6
4.7,1,1.67,7
4.54,1,-2.5,8
4.72,1,-1.7,9
4.72,1,0.78,10
5.27,2,-0.63,11
5.85,2,2.6,12
5.18,2,-2.64,13
5.02,2,-4.46,14
5.37,2,-1.98,15
5.32,2,-2.07,16
5.96,2,0.87,17
5.67,2,1.66,18
5.85,2,3.16,19
6.16,2,2.45,20
5.98,3,0.86,21
6.06,3,1.55,22
5.37,3,0.08,23
5.81,3,0.39,24
5.69,3,2.15,25
5.46,3,-0.48,26
6.1,3,3.19,27
5.83,3,-0.11,28
5.45,3,0.99,29
6.57,3,2.6,30
5.55,4,0.37,31
5.39,4,1.18,32
5.03,4,-2.1,33
5.12,4,-1.57,34
5.36,4,-1.42,35
5.98,4,1.19,36
5.03,4,-0.66,37
4.71,4,-0.88,38
5.68,4,1.43,39
5.16,4,0.55,40
5.57,5,-3.93,41
5.6,5,-2.3,42
6.08,5,-0.46,43
5.34,5,-4.46,44
5.68,5,-1.25,45
5.73,5,-1.65,46
5.47,5,-1.78,47
6.47,5,0.37,48
5.7,5,-2.04,49
5.73,5,-2.56,50
5.42,6,1.49,51
5.2,6,-0.08,52
4.92,6,1.91,53
4.99,6,2.04,54
4.69,6,-1.85,55
5.32,6,1.82,56
4.53,6,-0.44,57
5.16,6,1.81,58
5.28,6,1.32,59
5.1,6,-0.51,60
5.34,7,3.24,61
4.41,7,2,62
4.37,7,-0.01,63
3.98,7,-1.38,64
5.93,7,6.83,65
4.62,7,3.51,66
4.82,7,1.83,67
4.93,7,0.96,68
4.98,7,4.55,69
5.06,7,2.82,70
8.37,8,1.91,71
8.24,8,0.96,72
8.46,8,3.95,73
7.74,8,-1.06,74
7.82,8,-1.15,75
8.33,8,1.16,76
7.73,8,0.96,77
7.67,8,-1.24,78
8.39,8,1.73,79
7.69,8,-0.56,80
7.37,9,-6.43,81
7.73,9,-5.55,82
8.29,9,-4.31,83
7.87,9,-3.64,84
7.53,9,-4.8,85
8.12,9,-4.97,86
7.83,9,-4.48,87
8.56,9,-5.92,88
8.25,9,-5.37,89
7.84,9,-6.32,90
7.95,10,-3.17,91
7.64,10,-5.15,92
8.66,10,-0.97,93
8.05,10,-3.48,94
8,10,-4.04,95
8.2,10,-1.23,96
8.09,10,-3.74,97
7.31,10,-5.18,98
8.85,10,-1.36,99
7.86,10,-4.13,100
8.76,11,-2.25,101
8.24,11,-4.99,102
8.72,11,-5.78,103
7.98,11,-6.54,104
7.97,11,-4.72,105
7.6,11,-5.01,106
7.5,11,-6.21,107
8.29,11,-4.74,108
8.49,11,-5.55,109
7.66,11,-7.16,110
3.54,12,-2.33,111
3.83,12,-1.17,112
4.13,12,0.11,113
4.12,12,-1.59,114
3.6,12,-3.59,115
3.87,12,0.24,116
3.48,12,-2.93,117
4.62,12,1.42,118
4.05,12,-3.91,119
4.44,12,1.44,120
4.56,13,-3.35,121
4.69,13,-3.91,122
4.38,13,-2.94,123
5.01,13,-1.44,124
5.38,13,0.33,125
4.76,13,-1.92,126
5.7,13,-0.08,127
4.41,13,-3.03,128
4.79,13,-1.82,129
5.01,13,-0.34,130
5.76,14,-3.5,131
6.19,14,1.32,132
6.89,14,3.74,133
6.44,14,1.44,134
6.26,14,0.06,135
6.82,14,4.22,136
5.42,14,-5.21,137
6.09,14,1.22,138
6.74,14,3.11,139
5.8,14,0.07,140
7.04,15,-2.58,141
6.61,15,-3.59,142
6.92,15,-3.38,143
6.92,15,-2.07,144
6.51,15,-3.5,145
7.34,15,-3.83,146
6.58,15,-3.56,147
6.9,15,-1.69,148
6.52,15,-5.14,149
7.11,15,-1.1,150
4.87,16,3.15,151
4.26,16,0.13,152
4.38,16,-1.59,153
4.31,16,0.73,154
4.37,16,0.5,155
4.51,16,2.61,156
4.22,16,0.35,157
4.43,16,2.28,158
3.94,16,-1.17,159
4.45,16,-0.13,160
7.15,17,3.18,161
6.84,17,1.98,162
6.12,17,-1.44,163
6.78,17,1.9,164
6.17,17,1.35,165
6.38,17,1.58,166
7.72,17,6.9,167
6.84,17,5.2,168
6.64,17,2.9,169
6.39,17,0.63,170
7.29,18,-1.91,171
6.69,18,-1.94,172
7.8,18,0.22,173
7.29,18,-1.42,174
7.81,18,-0.41,175
7.85,18,-2.36,176
6.43,18,-2.35,177
6.47,18,-2.08,178
6.75,18,-3.72,179
8.08,18,-2.51,180
4.37,19,0.05,181
4.64,19,0.23,182
4.82,19,3.49,183
5.4,19,2.99,184
4.66,19,0.54,185
4.67,19,1.49,186
4.76,19,2.7,187
4.27,19,0.13,188
4.47,19,-0.05,189
4.72,19,1.59,190
5.71,20,-2.28,191
6.06,20,-0.33,192
6.22,20,-0.18,193
6.66,20,0.15,194
6.44,20,1.94,195
5.84,20,-1.03,196
6.42,20,0.46,197
5.54,20,-2.34,198
6.88,20,0.02,199
6.4,20,0.47,200
