toy_type,year,toy,hrs_week,R_AGE
Barbie,1959,Summer,4.0429000719588,8
Barbie,1959,Nikki,2.36110393119165,6
Barbie,1959,Barbie,4.02481397597953,8
Barbie,1959,Midge,4.96932843802219,8
Barbie,1959,Teresa,3.37405504058897,6
Barbie,1959,Ken,4.56100381728242,8
Farm Animals,1955,Horse,5.41124016652594,1
Farm Animals,1955,Sheep,3.86139726218211,2
Farm Animals,1955,Chicken,5.28880733773623,2
Farm Animals,1955,Rooster,3.12610391387345,3
Farm Animals,1955,Dog,5.27898075858866,0
Farm Animals,1955,Pig,4.58547279209236,2
Farm Animals,1955,Cow,3.79738218026857,2
Farm Animals,1955,Sheep 2,2.80480066620028,2
Furby,1998,Furby Party Rockers,3.84288596291221,9
Furby,1998,Purple Furby,5.42302871042578,10
Furby,1998,Red Furby,3.50172524988782,10
Furby,1998,Teal Furby,2.98528687792028,6
Furby,1998,Tangerine-Tango Furby,3.22873134758631,8
Furby,1998,Blue Furby,4.93892206222191,12
Furby,1998,White Furby,3.51949304598773,8
Furby,1998,Yellow Furby,3.15498451235068,9
G.I.Joe,1964,Rapid Fire,3.70754007071986,9
G.I.Joe,1964,Skydive,4.25856016426853,13
G.I.Joe,1964,Salvo,3.88880404581007,8
G.I.Joe,1964,Major Storm,3.71346721040811,11
G.I.Joe,1964,Rampart,2.46149219747377,9
G.I.Joe,1964,Drop Zone,2.44387088126747,11
G.I.Joe,1964,Pathfinder,4.54417973265226,12
G.I.Joe,1964,Cold Front,4.28060091182662,8
Lego Minifigures,1979,Emmet,2.9571423662201,5
Lego Minifigures,1979,Pirate,3.47039978896801,2
Lego Minifigures,1979,Batman,4.67726247134454,4
Lego Minifigures,1979,Policeman,3.63853174881005,6
Lego Minifigures,1979,Zombie,4.73203733072662,5
Lego Minifigures,1979,Classic Space Astronaut,2.72650365939303,6
Lego Minifigures,1979,Knight,4.00874156116443,3
Minecraft,2011,Jesse,3.73417681480138,8
Minecraft,2011,Axel,3.61370056880772,6
Minecraft,2011,Ivor,3.50217585169014,7
Minecraft,2011,Olivia,3.84920389439693,10
Minecraft,2011,Reuben,4.34324726622011,10
Minecraft,2011,Petra,3.48575598654715,6
Minecraft,2011,Lukas,3.96977177840846,9
My Little Pony,1982,Spike the Dragon,4.44766584241565,6
My Little Pony,1982,Twilight Sparkle,2.99340370580926,5
My Little Pony,1982,Pinkie Pie,5.62060965216855,4
My Little Pony,1982,Fluttershy,5.26965329080706,3
My Little Pony,1982,Rainbow Dash,5.12391572124242,2
My Little Pony,1982,Rarity,4.48939142029472,4
My Little Pony,1982,Applejack,4.84248376313538,6
Peppa Pig,2004,Mummy Pig,3.67633102248799,9
Peppa Pig,2004,Gerald Giraffe,4.68959657957732,7
Peppa Pig,2004,Granny Pig,2.40408462162335,6
Peppa Pig,2004,Danny Dog,4.42572346827141,7
Peppa Pig,2004,Grandpa Pig,4.67107372410206,7
Peppa Pig,2004,Peppa Pig,4.38902907128545,6
Peppa Pig,2004,George Pig,6.0155416760087,8
Peppa Pig,2004,Daddy Pig,4.37866206509152,8
Playmobil,1975,Playmobil 4,3.92184733137021,6
Playmobil,1975,Playmobil 6,1.74169586242937,4
Playmobil,1975,Playmobil 5,3.65073719640885,7
Playmobil,1975,Playmobil 3,3.48267967182475,5
Playmobil,1975,Playmobil 2,2.91756636520863,4
Playmobil,1975,Playmobil 1,4.32941007299964,6
Polly Pocket,1983,LILA.,4.58531132457325,10
Polly Pocket,1983,GWEN AND GRISELLE.,2.69165101448849,8
Polly Pocket,1983,SHANI,4.10655775874542,9
Polly Pocket,1983,GRANDMA<U+00A0>POCKET.,2.5813132438623,7
Polly Pocket,1983,POLLY POCKET.,3.43403150979906,8
Polly Pocket,1983,NICOLAS,3.90233806410717,9
Power Rangers,1993,Blue Ranger,1.93025652375991,6
Power Rangers,1993,Red Ranger,3.55833138113888,5
Power Rangers,1993,Green Ranger,4.58562558534028,7
Power Rangers,1993,Black Ranger,4.24363877298176,8
Power Rangers,1993,Yellow Ranger,4.59678115155208,7
Power Rangers,1993,Pink Ninja Ranger,3.87995928602095,9
Rugrats,1991,Phil,4.65828096393164,6
Rugrats,1991,Susie,4.88104028818312,7
Rugrats,1991,Lil,5.6519984790595,8
Rugrats,1991,Tommy,4.17428811411567,7
Rugrats,1991,Chuckle,4.98321085488347,8
Rugrats,1991,Angelica,2.74413250193296,5
Rugrats,1991,Kimi,4.74255052784368,7
Scooby Doo,1969,Daphne Blake,3.36001118532757,12
Scooby Doo,1969,Velma Dinkley,5.21138919161606,14
Scooby Doo,1969,Scrappy-Doo,4.71116326022022,13
Scooby Doo,1969,Fred Jones,6.46252211409212,15
Scooby Doo,1969,Scooby-Doo,3.96862594504615,12
Scooby Doo,1969,Shaggy Rogers,4.10512464987343,12
Sock Puppets,1901,Sock Paper Scissors,4.365970650787,13
Sock Puppets,1901,Sock and Roll,3.10042760938564,1
Sock Puppets,1901,London Sock Exchange,4.3663808104172,15
Star Wars,1977,Luke Skywalker,4.00601074598928,10
Star Wars,1977,Boba Fett,3.71807521838072,10
Star Wars,1977,Jabba The Hutt.,3.23360601997978,8
Star Wars,1977,Kylo Ren,5.6976340685188,10
Star Wars,1977,Darth Vader,3.0092808548983,8
Star Wars,1977,Yoda,4.84173534454886,12
Star Wars,1977,Chewbacca,5.58640018968795,11
Stretch Armstrong,1976,Wingspan,3.47693558360996,8
Stretch Armstrong,1976,Stretch Monster,3.92083634421861,8
Stretch Armstrong,1976,Quick Charge,3.58242026382065,6
Stretch Armstrong,1976,Erika Violette,4.30487780447769,8
Stretch Armstrong,1976,Stretch Armstrong,1.70109456363622,4
SuperZings,2018,Coolizer,3.90248242377636,7
SuperZings,2018,Pow Corn,2.76583394992787,4
SuperZings,2018,Mr. C,4.66960267745663,7
SuperZings,2018,Wondershine,3.90676797516597,7
SuperZings,2018,Ace,6.27612056631615,5
SuperZings,2018,Mad Pop,3.27525552766943,7
Teenage Mutant Ninja Turtles,1990,Michelangelo,4.07427280551311,3
Teenage Mutant Ninja Turtles,1990,Raphael,4.87148686588259,5
Teenage Mutant Ninja Turtles,1990,Splinter,5.71423333026475,6
Teenage Mutant Ninja Turtles,1990,Leonardo,4.41510210381395,3
Teenage Mutant Ninja Turtles,1990,Donatello,6.7713820861761,4
Toy Story,1996,Slinky,4.88191880133221,10
Toy Story,1996,Bo Peep,5.16199951732311,11
