status,difficulty,monkeyID,solved
subordinate,easy,Seunghoo,1
subordinate,easy,Seunghoo,0
subordinate,difficult,Seunghoo,0
subordinate,easy,Seunghoo,1
subordinate,difficult,Seunghoo,0
subordinate,easy,Seunghoo,1
subordinate,easy,Seunghoo,1
subordinate,easy,Seunghoo,1
subordinate,difficult,Seunghoo,0
adolescent,difficult,Jayson,0
adolescent,easy,Jayson,1
adolescent,difficult,Jayson,0
adolescent,easy,Jayson,1
adolescent,easy,Jayson,1
adolescent,easy,Jayson,0
adolescent,difficult,Jayson,0
adolescent,difficult,Jayson,0
adolescent,difficult,Jayson,0
adolescent,easy,Jayson,0
subordinate,difficult,Micah,0
subordinate,difficult,Micah,1
subordinate,difficult,Micah,1
subordinate,easy,Micah,1
subordinate,difficult,Micah,0
subordinate,easy,Micah,0
subordinate,difficult,Micah,0
subordinate,easy,Micah,0
subordinate,easy,Micah,0
subordinate,easy,Micah,1
dominant,difficult,Jaarallah,0
dominant,difficult,Jaarallah,1
dominant,difficult,Jaarallah,0
dominant,easy,Jaarallah,1
dominant,easy,Jaarallah,0
dominant,easy,Jaarallah,0
dominant,easy,Jaarallah,0
dominant,easy,Jaarallah,1
dominant,difficult,Jaarallah,0
dominant,difficult,Jaarallah,0
dominant,easy,Jaarallah,1
dominant,difficult,Gienry,1
dominant,difficult,Gienry,1
dominant,easy,Gienry,0
dominant,easy,Gienry,1
dominant,difficult,Gienry,0
dominant,difficult,Gienry,1
dominant,easy,Gienry,1
dominant,difficult,Gienry,1
dominant,easy,Gienry,1
dominant,easy,Gienry,1
dominant,easy,Gienry,0
adolescent,easy,Celestina,0
adolescent,difficult,Celestina,0
adolescent,difficult,Celestina,1
adolescent,difficult,Celestina,0
adolescent,easy,Celestina,0
adolescent,difficult,Robert,0
adolescent,difficult,Robert,0
adolescent,easy,Robert,0
adolescent,easy,Robert,1
adolescent,difficult,Robert,0
adolescent,easy,Robert,0
adolescent,difficult,Robert,1
dominant,easy,Jashjaun,1
dominant,easy,Jashjaun,1
dominant,difficult,Jashjaun,1
dominant,difficult,Jashjaun,1
dominant,easy,Jashjaun,0
dominant,easy,Jashjaun,1
dominant,easy,Aliyya,1
dominant,easy,Aliyya,1
dominant,easy,Aliyya,1
dominant,difficult,Aliyya,1
dominant,difficult,Aliyya,1
dominant,easy,Aliyya,1
dominant,difficult,Aliyya,1
adolescent,difficult,Van,1
adolescent,easy,Van,0
adolescent,difficult,Van,1
adolescent,easy,Van,1
adolescent,easy,Van,1
adolescent,easy,Van,1
adolescent,easy,Van,0
adolescent,easy,Van,1
adolescent,difficult,Van,1
adolescent,easy,Van,1
dominant,difficult,Sierra,0
dominant,difficult,Sierra,1
dominant,difficult,Sierra,1
dominant,easy,Sierra,1
dominant,difficult,Sierra,0
dominant,difficult,Sierra,1
dominant,easy,Billy,0
dominant,difficult,Billy,0
dominant,easy,Billy,0
dominant,difficult,Billy,0
dominant,easy,Billy,0
dominant,difficult,Billy,0
dominant,easy,Billy,1
subordinate,easy,David,1
subordinate,difficult,David,0
subordinate,easy,David,1
subordinate,difficult,David,1
subordinate,easy,David,0
subordinate,easy,David,0
subordinate,difficult,David,1
