chimp,age,enclosure,aggression
chimp-a,18,S,7.491905033589837
chimp-b,16,S,7.454160570662424
chimp-c,18,S,9.019490246715833
chimp-d,13,S,9.414381045386941
chimp-e,21,S,7.655999310871779
chimp-f,29,S,2.8070392378491102
chimp-g,28,S,3.9274798596584706
chimp-h,17,S,8.370525632789292
chimp-i,17,S,8.11365602551037
chimp-j,14,S,9.137469647482881
chimp-k,24,S,7.07618154419932
chimp-l,15,S,8.132776053666229
chimp-m,17,S,7.5989357916175075
chimp-n,18,L,12.111288821609184
chimp-o,16,L,12.19186710606052
chimp-p,18,L,10.25222908974894
chimp-q,13,L,12.931077568859203
chimp-r,21,L,8.277493389811026
chimp-s,29,L,6.108750499095501
chimp-t,28,L,6.702099912239922
chimp-u,17,L,10.395483126097286
chimp-v,17,L,11.44437787922988
chimp-w,14,L,12.114599939008157
chimp-x,24,L,7.477796365163344
chimp-y,15,L,12.275980346819152
chimp-z,17,L,12.916955956257874
