participant,trialnumber,RT
1,1,392.8
1,2,383.8
1,3,389.1
1,4,387
1,5,390.9
1,6,390.4
1,7,385.7
1,8,390.2
1,9,391.2
1,10,383.3
1,11,388.9
1,12,386.7
1,13,384.3
1,14,391.9
1,15,387.5
1,16,381.6
1,17,390.8
1,18,388.5
1,19,384.9
1,20,390
1,21,390.4
1,22,381.9
1,23,386.3
1,24,383.6
1,25,380.9
1,26,379.1
1,27,387
1,28,389
1,29,388.9
1,30,384.1
1,31,380.7
1,32,379.9
1,33,387.6
1,34,388.4
1,35,384.7
1,36,384.9
1,37,378.1
1,38,385.1
1,39,385.3
1,40,390.3
1,41,379.3
1,42,386.8
1,43,380.2
1,44,386.5
1,45,382
1,46,389.4
1,47,385.8
1,48,384.6
1,49,378.2
1,50,379.9
1,51,381.4
1,52,382.9
1,53,385.1
1,54,379.6
1,55,375
1,56,385.3
1,57,384
1,58,380
1,59,385.1
1,60,380.2
1,61,377.3
1,62,375.6
1,63,379.7
1,64,384.9
1,65,378.1
1,66,381.7
1,67,377.9
1,68,384.5
1,69,386.1
1,70,384
1,71,379.6
1,72,379.1
1,73,382.7
1,74,380.9
1,75,375.5
1,76,376.5
1,77,373.1
1,78,380.6
1,79,376.9
1,80,380
1,81,376.3
1,82,378
1,83,380.7
1,84,369.6
1,85,373.9
1,86,381.6
1,87,382.2
1,88,382.3
1,89,381.5
1,90,372.4
1,91,379.3
1,92,376.6
1,93,376.4
1,94,376.7
1,95,367.9
1,96,378.6
1,97,373.4
1,98,378.9
1,99,374.5
1,100,368.8
2,1,388.4
2,2,397.4
2,3,396.2
2,4,413.4
2,5,419.5
2,6,421.8
2,7,425.9
2,8,433
2,9,444.7
2,10,439.2
2,11,444.6
2,12,456.2
2,13,461.3
2,14,465.9
2,15,471.6
2,16,479.6
2,17,481.6
2,18,494.5
2,19,501.9
2,20,504.4
2,21,504.3
2,22,513.7
2,23,515.3
2,24,528.9
2,25,534.1
2,26,530.9
2,27,545
2,28,550.1
2,29,553.5
2,30,561.6
2,31,567.4
2,32,571
2,33,570.4
2,34,583.8
2,35,594.9
2,36,595.7
2,37,600.8
2,38,609.1
2,39,617.2
2,40,617.2
2,41,628.6
2,42,632.8
2,43,638.1
2,44,648.3
2,45,646.8
2,46,648
2,47,654.6
2,48,660.2
2,49,667.5
2,50,675
2,51,685.6
2,52,683.3
2,53,694
2,54,691
2,55,702.6
2,56,708.5
2,57,717.2
2,58,723.2
2,59,722.4
2,60,739
2,61,739.2
2,62,747.6
2,63,746.6
2,64,760.1
2,65,767.7
2,66,770.2
2,67,770.3
2,68,782.4
2,69,789
2,70,796.4
2,71,792.4
2,72,803.3
2,73,807.1
2,74,816
2,75,820.2
2,76,826.8
2,77,833.3
2,78,843
2,79,846.9
2,80,845.4
2,81,855.4
2,82,859
2,83,870.4
2,84,868.8
2,85,879.9
2,86,882.9
2,87,885.1
2,88,900.6
2,89,899.3
2,90,909.5
2,91,911.4
2,92,916.7
2,93,924.7
2,94,932.7
2,95,935.5
2,96,939.9
2,97,946.2
2,98,952.5
2,99,961.3
2,100,962
3,1,389.2
