"emot_dysreg","crq","int","schoolid","sleep"
0.93,1.92,"Treatment","school1","<8hr"
0.76,1.65,"Treatment","school1","<8hr"
1.65,3.56,"Treatment","school1","<8hr"
1.67,1.45,"Treatment","school1","8hr+"
1.39,0.81,"Treatment","school1","<8hr"
1.56,2.71,"Treatment","school1","<8hr"
1.69,3.01,"Treatment","school1","<8hr"
1.41,1.61,"Treatment","school1","<8hr"
1.91,2.17,"Treatment","school1","<8hr"
1.94,2.28,"Treatment","school2","8hr+"
3.84,2.67,"Treatment","school2","8hr+"
1.51,1.98,"Treatment","school2","8hr+"
2.38,2.66,"Treatment","school2","<8hr"
1.35,1.33,"Treatment","school2","<8hr"
1.87,3.53,"Treatment","school2","<8hr"
1.16,2.71,"Treatment","school2","<8hr"
1.69,2.71,"Treatment","school2","<8hr"
3.58,3.48,"Control","school3","<8hr"
2.22,4.17,"Control","school3","<8hr"
2.92,2.32,"Control","school3","<8hr"
3.05,1.88,"Control","school3","8hr+"
4.02,1.7,"Control","school3","<8hr"
3,3.37,"Control","school3","8hr+"
2.16,3.45,"Control","school3","8hr+"
2.84,3.2,"Control","school3","<8hr"
3.65,2.61,"Control","school3","8hr+"
3.49,0.98,"Control","school3","<8hr"
2.41,3.51,"Control","school4","<8hr"
3.28,1.91,"Control","school4","<8hr"
2.15,2.37,"Control","school4","<8hr"
-0.81,4.75,"Control","school4","<8hr"
3.27,1.47,"Control","school4","<8hr"
2.92,2.44,"Control","school4","<8hr"
2.61,2.47,"Control","school4","<8hr"
0.95,5.19,"Control","school4","8hr+"
3.02,1.57,"Control","school4","8hr+"
5.11,0.82,"Treatment","school5","<8hr"
3.37,2.11,"Treatment","school5","<8hr"
2.52,4.01,"Treatment","school5","<8hr"
1.77,3.34,"Treatment","school5","<8hr"
1.84,2.95,"Treatment","school5","<8hr"
2.4,2.96,"Treatment","school5","<8hr"
2.07,2.09,"Treatment","school5","<8hr"
2.54,4.21,"Treatment","school5","<8hr"
1.9,2.96,"Treatment","school5","<8hr"
1.01,4.28,"Control","school6","<8hr"
3.02,1.84,"Control","school6","8hr+"
0.85,3.6,"Control","school6","8hr+"
2.12,2.7,"Control","school6","<8hr"
5.24,2.18,"Control","school6","<8hr"
3.03,1.61,"Control","school6","<8hr"
2.25,2.62,"Control","school6","<8hr"
0.43,4.44,"Control","school6","<8hr"
2.17,3.05,"Control","school6","<8hr"
4.11,2.74,"Control","school6","<8hr"
2.13,3.4,"Treatment","school7","<8hr"
1.78,1.49,"Treatment","school7","<8hr"
0.53,4.46,"Treatment","school7","8hr+"
1.29,2.49,"Treatment","school7","<8hr"
3.61,1.42,"Treatment","school7","<8hr"
0.46,4.17,"Treatment","school7","<8hr"
1.74,4.24,"Treatment","school7","<8hr"
2.25,1.25,"Treatment","school7","<8hr"
2.16,1.96,"Treatment","school7","<8hr"
4.07,3.48,"Control","school8","<8hr"
4.15,1.92,"Control","school8","<8hr"
3.21,2.43,"Control","school8","<8hr"
5,0.59,"Control","school8","<8hr"
3.9,2.6,"Control","school8","<8hr"
2.09,3.02,"Control","school8","<8hr"
3.98,1.89,"Control","school8","<8hr"
3.05,2.94,"Control","school8","8hr+"
5.2,1.53,"Control","school8","<8hr"
3,3.82,"Control","school8","<8hr"
2.5,2.87,"Treatment","school9","8hr+"
1.93,4.05,"Treatment","school9","8hr+"
1.76,2.76,"Treatment","school9","8hr+"
1.34,3.17,"Treatment","school9","<8hr"
0.98,3.34,"Treatment","school9","8hr+"
1.04,1.84,"Treatment","school9","<8hr"
1.69,2.41,"Treatment","school9","<8hr"
2.45,3.62,"Treatment","school9","<8hr"
2.92,3,"Treatment","school9","<8hr"
2.06,1.9,"Treatment","school9","<8hr"
4.03,1.93,"Control","school10","8hr+"
2.03,4,"Control","school10","<8hr"
3.38,2.22,"Control","school10","<8hr"
3.41,2.81,"Control","school10","<8hr"
3.31,2.57,"Control","school10","<8hr"
4.36,2.01,"Control","school10","<8hr"
3.8,2.85,"Control","school11","<8hr"
5.49,1.57,"Control","school11","<8hr"
3.13,2.79,"Control","school11","<8hr"
4,2.14,"Control","school11","8hr+"
5.17,1.12,"Control","school11","<8hr"
1.72,3.19,"Control","school11","<8hr"
3.18,3.71,"Control","school11","8hr+"
2.06,2.89,"Control","school11","<8hr"
1.86,2.88,"Control","school11","<8hr"
2.2,2.37,"Treatment","school12","<8hr"
2.37,3.26,"Treatment","school12","<8hr"
1.65,3.25,"Treatment","school12","<8hr"
1.33,2.33,"Treatment","school12","<8hr"
1.97,1.5,"Treatment","school12","<8hr"
2.76,2.52,"Treatment","school12","<8hr"
2.42,3.36,"Treatment","school12","8hr+"
1.22,3.91,"Treatment","school12","<8hr"
2.29,0.51,"Treatment","school12","<8hr"
2.89,2.31,"Treatment","school12","<8hr"
2.99,1.93,"Control","school13","<8hr"
2.89,3.13,"Control","school13","<8hr"
2.85,3.84,"Control","school13","<8hr"
2.77,3.65,"Control","school13","<8hr"
3.27,2.36,"Control","school13","8hr+"
1.98,4.77,"Control","school13","<8hr"
3.81,2.23,"Control","school13","<8hr"
3.7,1.68,"Control","school13","<8hr"
2.05,1.13,"Treatment","school14","8hr+"
1.84,4.19,"Treatment","school14","<8hr"
1.06,2.38,"Treatment","school14","<8hr"
2.29,1.95,"Treatment","school14","8hr+"
2.09,2.35,"Treatment","school14","<8hr"
1.5,2.01,"Treatment","school14","<8hr"
3.06,2.67,"Treatment","school14","<8hr"
2.58,2.45,"Treatment","school14","8hr+"
2.12,2.9,"Treatment","school14","<8hr"
2.72,2.73,"Treatment","school14","<8hr"
1.81,1.63,"Treatment","school15","8hr+"
2.45,2.1,"Treatment","school15","<8hr"
1.36,3.5,"Treatment","school15","<8hr"
1.5,3.49,"Treatment","school15","8hr+"
4.61,1.2,"Treatment","school15","<8hr"
2.54,0.48,"Treatment","school15","8hr+"
2.5,1.76,"Treatment","school15","<8hr"
2.12,2.62,"Treatment","school16","<8hr"
3.16,2.68,"Treatment","school16","<8hr"
2.61,3.16,"Treatment","school16","<8hr"
2.4,2.33,"Treatment","school16","<8hr"
2.13,2.94,"Treatment","school16","<8hr"
3.39,1.07,"Treatment","school16","<8hr"
2.71,3.74,"Treatment","school16","<8hr"
1.23,4.1,"Treatment","school16","<8hr"
3.16,1.9,"Control","school17","8hr+"
1.55,3.9,"Control","school17","<8hr"
1.52,1.18,"Control","school17","8hr+"
4.46,2.12,"Control","school17","<8hr"
2.45,3.17,"Control","school17","<8hr"
3.91,1.78,"Control","school17","<8hr"
3.86,3.61,"Control","school17","<8hr"
3.36,4.95,"Control","school17","<8hr"
2.31,3.44,"Control","school17","<8hr"
0.46,1.42,"Treatment","school18","8hr+"
0.1,1.94,"Treatment","school18","<8hr"
1.67,3.41,"Treatment","school18","8hr+"
1.51,2.73,"Treatment","school18","<8hr"
2.14,1.94,"Treatment","school19","8hr+"
2.49,1.69,"Treatment","school19","<8hr"
2.8,2.65,"Treatment","school19","<8hr"
2.27,3.03,"Treatment","school19","<8hr"
3.33,2.04,"Treatment","school19","8hr+"
1.02,3.48,"Treatment","school19","<8hr"
0.08,4.78,"Treatment","school19","<8hr"
3.34,1.18,"Treatment","school19","<8hr"
2.58,1.96,"Treatment","school19","<8hr"
2.53,1.19,"Treatment","school19","8hr+"
1.88,2.98,"Control","school20","8hr+"
2.55,3.01,"Control","school20","<8hr"
0.14,5.33,"Control","school20","8hr+"
3.1,2.98,"Control","school20","<8hr"
2.61,1.81,"Control","school20","<8hr"
4.64,1.81,"Control","school20","8hr+"
1.07,3.27,"Control","school20","<8hr"
2.99,1.36,"Control","school20","<8hr"
2.63,3.05,"Control","school20","8hr+"
