day,condition,ppt_id,lifesat
1,journal,j1,36.649236216387244
2,journal,j1,33.79963054739717
3,journal,j1,44.22735799689236
4,journal,j1,25.307143706639145
5,journal,j1,42.4414399402872
6,journal,j1,45.198837946265144
7,journal,j1,34.23055861466875
1,journal,j2,22.52007698542697
2,journal,j2,40.48085518911005
3,journal,j2,34.706523850474916
4,journal,j2,43.5344575248636
5,journal,j2,41.14735184133772
6,journal,j2,44.404556492785645
7,journal,j2,42.507176377674455
1,journal,j3,51.75872107450409
2,journal,j3,44.285368132021105
3,journal,j3,41.95785021165881
4,journal,j3,43.62418823794915
5,journal,j3,37.51468671981151
6,journal,j3,42.99015931402554
7,journal,j3,45.620122505790206
1,journal,j4,27.797340863972458
2,journal,j4,27.57750455394936
3,journal,j4,18.828106967072195
4,journal,j4,26.046932988345702
5,journal,j4,42.918474622003075
6,journal,j4,35.9151616533199
7,journal,j4,44.62251493163909
1,journal,j5,33.67459600997069
2,journal,j5,35.540319068922244
3,journal,j5,35.57994608321435
4,journal,j5,30.156589684479503
5,journal,j5,32.88710932660787
6,journal,j5,50.70346816869457
7,journal,j5,35.709892257827825
1,journal,j6,44.311744612254586
2,journal,j6,31.128275645675824
3,journal,j6,26.275955118787348
4,journal,j6,36.61090086499732
5,journal,j6,44.66839937565335
6,journal,j6,46.467281399876626
7,journal,j6,50.21716884983715
1,journal,j7,29.556099389455383
2,journal,j7,52.79753370516072
3,journal,j7,37.17636580560712
4,journal,j7,42.87665647288197
5,journal,j7,45.533584874117416
6,journal,j7,38.26238885102309
7,journal,j7,31.86510270792499
1,journal,j8,31.698487451064537
2,journal,j8,35.63269143721723
3,journal,j8,30.41651814927333
4,journal,j8,30.856568035450845
5,journal,j8,38.87191544145561
6,journal,j8,36.66540668086183
7,journal,j8,40.67691089759997
1,journal,j9,47.41070659348059
2,journal,j9,42.943330618769714
3,journal,j9,56.644668251985216
4,journal,j9,54.084676358429384
5,journal,j9,56.34233193472327
6,journal,j9,42.33299693795372
7,journal,j9,57.19300314037051
1,journal,j10,25.08352490066142
2,journal,j10,32.569156427800884
3,journal,j10,28.18770466400969
4,journal,j10,23.825506577524102
5,journal,j10,48.315487659679306
6,journal,j10,34.22935100921924
7,journal,j10,37.0086815523249
1,journal,j11,36.14394727082641
2,journal,j11,41.32441217975091
3,journal,j11,49.11425665467242
4,journal,j11,50.18613659533948
5,journal,j11,33.79188488244046
6,journal,j11,33.34804045083648
7,journal,j11,33.02656950654706
1,journal,j12,34.35285693519267
2,journal,j12,53.99481827495128
3,journal,j12,43.014695285123665
4,journal,j12,38.56585963638412
5,journal,j12,40.59059162499804
6,journal,j12,51.11951242395615
7,journal,j12,46.8865154913927
1,journal,j13,31.769782095828806
2,journal,j13,29.78120345474002
3,journal,j13,29.706677385589856
4,journal,j13,47.55653989475138
5,journal,j13,41.5786724854901
6,journal,j13,48.50912999542522
7,journal,j13,34.69253005140408
1,journal,j14,27.7166068301568
2,journal,j14,24.29785130661398
3,journal,j14,29.497391480362744
4,journal,j14,34.37386361549334
5,journal,j14,40.22697055144387
6,journal,j14,36.10717400529054
7,journal,j14,36.058618447143644
1,journal,j15,53.82921770322758
2,journal,j15,53.92517940500926
3,journal,j15,48.3480506673264
4,journal,j15,43.664080234285734
5,journal,j15,56.26186126300649
6,journal,j15,50.318260604569225
7,journal,j15,60.2314020050651
1,journal,j16,19.704334040063785
2,journal,j16,16.65889906779137
3,journal,j16,26.631550728533057
4,journal,j16,20.066372823906807
5,journal,j16,28.417736108029096
6,journal,j16,15
7,journal,j16,15.483626242138078
1,journal,j17,45.262117859289354
2,journal,j17,43.727264063298854
3,journal,j17,47.52290264139034
4,journal,j17,30.994924269124585
5,journal,j17,50.7339118401201
6,journal,j17,51.25522642018624
7,journal,j17,50.84947740921322
1,journal,j18,40.837411945998014
2,journal,j18,49.27933184271369
3,journal,j18,28.73948458210372
4,journal,j18,34.49549622346813
5,journal,j18,40.97565574029743
6,journal,j18,34.35390770772713
7,journal,j18,40.23934180742748
1,meditate,m1,39.02392338096662
2,meditate,m1,40.903192190462036
3,meditate,m1,54.68539302576982
4,meditate,m1,49.49306048327297
5,meditate,m1,59.23234360442707
6,meditate,m1,62.08237016518531
7,meditate,m1,60.9239410684981
1,meditate,m2,33.43918165743382
2,meditate,m2,45.52885252479687
3,meditate,m2,46.44176281541995
4,meditate,m2,38.50858890660406
5,meditate,m2,54.330312228381814
6,meditate,m2,50.85124861818959
7,meditate,m2,59.14377014185612
1,meditate,m3,39.145761342508195
2,meditate,m3,37.79391692464159
3,meditate,m3,54.65400510083086
4,meditate,m3,50.11390735429836
5,meditate,m3,54.12900404869946
6,meditate,m3,63.98123788307962
7,meditate,m3,58.64453992537977
1,meditate,m4,38.08732852054851
2,meditate,m4,52.800450861109326
3,meditate,m4,48.8739510842145
4,meditate,m4,58.42658813521177
5,meditate,m4,43.71756448893221
6,meditate,m4,51.82381344062123
7,meditate,m4,54.54464876315969
1,meditate,m5,48.61865144817713
2,meditate,m5,48.769866143856106
3,meditate,m5,58.25479975029279
4,meditate,m5,46.26914522354826
5,meditate,m5,55.95616107236094
6,meditate,m5,59.15830687607144
7,meditate,m5,65.34948891708089
1,meditate,m6,45.004124483846674
