x,x2,y
1,c,-0.3989060749992064
1,c,0.740517292107055
1,c,1.2817342828189187
1,c,0.1904595218792019
1,c,0.7975383125396571
1,b,0.8940778875850852
1,a,-0.23680750984275678
1,b,1.5083030686886167
1,c,1.846928333297514
1,b,1.3458503372616102
1,b,0.9852545356985977
1,b,0.08927295570767058
1,b,0.5272615671775005
1,a,-0.7465248552396684
1,c,-0.27825240731914325
1,c,-0.5706536810247795
1,c,0.928748175283016
1,c,0.35819697966912223
1,a,-0.7176599027731618
1,a,-0.23801248066857494
2,a,1.4381648458919962
2,b,3.3495952662869053
2,c,2.4958959247728267
2,a,1.0258979778875208
2,c,5.7806433565989845
2,a,-0.035131981961986636
2,b,4.056958268583695
2,a,0.5649287450753527
2,a,2.4896038719640328
2,b,1.889772980917156
2,c,0.4070496403630365
2,c,0.9084567847218896
2,b,2.2097655801708402
2,a,-2.332346463976386
2,a,4.231574040621201
2,b,3.672825383465012
2,c,-1.0770150175069753
2,a,-2.336039507284386
2,b,2.9752764491137773
2,b,3.6091292904876084
3,a,4.2756623910434755
3,a,2.595986430168227
3,a,1.3379316262576673
3,a,2.9509567207449545
3,b,0.2868709395794089
3,b,0.867408251890714
3,b,7.825031781252703
3,b,0.5321551666056794
3,b,2.2802931634412738
3,b,-0.3192951878407402
3,c,7.301280351191137
3,b,1.667834703933746
3,b,5.599810865991021
3,c,4.643483792590362
3,c,-1.1437698255793576
3,b,3.72755678171443
3,b,0.896743954936394
3,a,-5.466728494033614
3,a,4.914056921132225
3,c,3.6847353150678592
4,b,-0.6185026669244591
4,c,-5.660949327458401
4,a,-0.09909560291221409
4,c,6.117108144823774
4,b,5.449169303754239
4,c,1.9113779971444478
4,a,-4.4668550337606865
4,a,7.09042970807198
4,b,7.241999483915139
4,a,5.1173159631538425
4,a,-1.137456608169364
4,c,4.72794156138966
4,a,-0.650455121406349
4,b,1.4420854994533696
4,a,-2.5420242002755353
4,a,3.8018894520673747
4,b,1.1744934294537206
4,a,5.879475911743526
4,a,5.747938611834698
4,b,-0.02478323948749095
5,c,10.496466349486015
5,b,10.672628578046172
5,b,1.3837564441708778
5,a,5.5517497516945
5,a,-1.4868283150351957
5,c,-0.7348068308623721
5,c,-7.685387667146696
5,b,9.297183773798443
5,a,4.5101704452478195
5,c,5.254147402085808
5,b,-0.8599951298453097
5,a,-4.339459919488869
5,a,7.678825473037639
5,c,-4.931705938853316
5,c,2.8885173960952586
5,a,-1.0735870061097121
5,a,1.653288563785563
5,c,1.4280894780495315
5,a,11.780318907635
5,c,0.40943550316672317
