"student_id","study_location","accommodation","pss_score","weekday_sleep","weekend_sleep","total_sleep"
"S001","library","private",30,5.39,6.32,5.66
"S002","home","halls",19,6.65,8.35,7.14
"S003","library","private",22,7.05,7.63,7.21
"S004","library","halls",27,6.33,8.3,6.89
"S005","home","private",20,6.12,8.69,6.85
"S006","library","private",21,8.38,9.36,8.66
"S007","home","halls",21,7.39,9.67,8.04
"S008","home","halls",23,6.51,6.84,6.6
"S009","library","private",21,6.76,6.9,6.8
"S010","home","halls",22,7.19,8.45,7.55
"S011","library","halls",24,6.55,9.22,7.32
"S012","library","halls",24,5.71,5.87,5.76
"S013","library","private",22,6.42,7.86,6.83
"S014","home","private",16,9.13,10.33,9.48
"S015","home","private",20,7.5,8.32,7.73
"S016","library","private",17,7.33,8.44,7.65
"S017","library","private",8,7.37,8.27,7.63
"S018","library","halls",28,6.79,8.25,7.21
"S019","library","private",10,7.52,9.73,8.15
"S020","home","halls",26,5.03,6.97,5.58
"S021","library","private",19,5.72,6.94,6.07
"S022","library","private",17,4.94,5.72,5.16
"S023","home","private",21,6.54,7.11,6.7
"S024","library","private",20,7.69,9.48,8.2
"S025","home","halls",23,6.25,9,7.04
"S026","home","private",24,7.36,8.03,7.55
"S027","home","halls",24,7.86,8.61,8.07
"S028","library","private",11,7.69,9.4,8.18
"S029","library","private",15,5.67,7.6,6.22
"S030","home","private",24,6.75,7.37,6.93
"S031","library","halls",24,7.64,8.85,7.99
"S032","library","private",15,6.42,7.86,6.83
"S033","library","private",18,6.58,8.48,7.12
"S034","library","private",18,7.38,9.65,8.03
"S035","home","halls",21,5.41,6.61,5.75
"S036","home","halls",26,6.29,6.54,6.36
"S037","home","halls",27,5.1,5.05,5.09
"S038","library","halls",18,6.59,9.17,7.32
"S039","library","private",17,7.14,7.15,7.14
"S040","library","private",26,5.89,6.92,6.18
"S041","home","private",19,7.21,8.96,7.71
"S042","home","halls",16,7.09,9.02,7.64
"S043","library","private",25,6.37,7.8,6.78
"S044","library","halls",27,8.22,9.53,8.6
"S045","library","private",23,5.62,6.42,5.85
"S046","library","private",14,6.02,7.31,6.39
"S047","library","halls",23,7.39,8.53,7.72
"S048","library","private",16,7.32,8.41,7.63
"S049","home","halls",31,6.51,7.71,6.85
"S050","home","private",12,7.52,7.87,7.62
"S051","home","halls",27,6.47,7.23,6.69
"S052","library","private",22,6.95,7.15,7.01
"S053","home","halls",28,5.04,5.25,5.1
"S054","home","halls",23,8.36,9.46,8.68
"S055","home","private",19,7.12,7.2,7.15
"S056","library","halls",16,7.94,9.8,8.47
"S057","library","halls",28,7.1,9.65,7.83
"S058","home","halls",23,8.25,9.96,8.74
"S059","library","private",18,6.56,8.13,7.01
"S060","home","private",23,7.24,8.47,7.59
"S061","library","private",14,7.38,8.48,7.69
"S062","home","halls",19,6.86,8.77,7.41
"S063","home","halls",23,7.21,8.08,7.46
"S064","library","private",5,7.36,9.64,8.01
"S065","library","private",23,7.46,8.58,7.78
"S066","library","halls",25,6.84,7.53,7.04
"S067","library","halls",21,8.42,10.31,8.96
"S068","library","halls",23,7.25,9.62,7.93
"S069","library","halls",20,6.89,8.13,7.24
"S070","library","halls",22,6.62,7.4,6.84
"S071","home","private",27,7.02,8.06,7.32
"S072","home","halls",20,7.91,9.18,8.27
"S073","home","halls",24,6.64,7.6,6.91
"S074","home","private",22,7.09,9.02,7.64
"S075","home","private",15,6.88,8.48,7.34
"S076","home","halls",22,8.18,10.19,8.75
"S077","library","halls",20,6.29,8.6,6.95
"S078","home","halls",25,7.2,8.33,7.52
"S079","home","private",12,7.73,8.52,7.96
"S080","library","private",17,6.91,6.83,6.89
"S081","library","private",19,7.92,7.79,7.88
"S082","library","private",20,8.09,7.89,8.04
"S083","home","halls",27,6.71,7.64,6.98
"S084","home","private",18,7.21,9.75,7.94
"S085","library","private",18,6.3,8.13,6.82
"S086","library","halls",22,6.68,8.79,7.28
"S087","library","halls",19,7.99,9.48,8.42
"S088","home","halls",17,5.52,6.6,5.82
"S089","home","private",22,5.48,6.87,5.88
"S090","home","private",24,5.39,6.3,5.65
"S091","library","private",18,7.3,8.77,7.72
"S092","library","halls",27,7.81,8.5,8.01
"S093","home","private",22,6.49,7.34,6.73
"S094","library","private",19,7.13,8.59,7.55
"S095","home","halls",23,5.84,7.15,6.21
"S096","library","halls",22,5.74,7.02,6.11
"S097","home","private",14,7.76,8.62,8
"S098","library","private",22,5.88,7.45,6.33
"S099","library","private",17,7.75,8.72,8.02
"S100","library","private",12,7.32,9.19,7.85
"S101","library","halls",17,7.49,8.87,7.88
"S102","home","private",19,6.33,6.83,6.47
"S103","home","private",20,6.4,7.35,6.67
"S104","library","halls",22,6.8,6.83,6.81
"S105","home","halls",23,6.02,7.3,6.39
"S106","library","private",24,5.52,5.87,5.62
"S107","library","halls",27,6.67,7.14,6.8
"S108","home","private",15,6.62,7.98,7.01
"S109","library","halls",19,7.8,9.69,8.34
"S110","home","private",14,8.17,10.49,8.84
"S111","library","halls",22,8.26,8.72,8.4
"S112","home","halls",18,6.51,8.42,7.06
"S113","home","halls",22,6.54,8.37,7.06
"S114","library","private",12,6.33,7.28,6.6
"S115","home","private",24,5.74,7.41,6.21
"S116","home","private",22,7.2,9.99,8
"S117","library","private",19,6.42,8.82,7.1
"S118","home","private",18,5.79,7.46,6.27
"S119","library","halls",28,6.38,7.46,6.69
"S120","home","halls",26,5.9,6.05,5.94
