"age","outdoor_time","social_int","routine","wellbeing","location","steps_k"
28,12,13,1,36,"rural",21.6
56,5,15,1,41,"rural",12.3
25,19,11,1,35,"rural",49.8
60,25,15,0,35,"rural",NA
19,9,18,1,32,"rural",48.1
34,18,13,1,34,"rural",67.3
41,17,19,1,39,"rural",1.9
41,11,12,1,43,"rural",50.9
35,12,13,0,35,"rural",NA
53,13,15,1,37,"rural",35.5
62,26,7,0,35,"rural",68.1
30,22,10,0,36,"rural",94.4
22,10,7,1,33,"rural",6.6
38,33,12,0,33,"rural",NA
39,29,14,1,45,"rural",110.6
19,23,17,0,26,"rural",60
51,15,16,0,39,"rural",NA
66,17,16,1,34,"rural",0
58,22,10,1,39,"rural",71.9
47,22,9,0,33,"rural",NA
32,19,10,0,33,"rural",59.9
32,23,18,1,33,"rural",NA
25,26,12,0,31,"rural",NA
38,18,9,1,33,"rural",28.8
69,2,19,0,39,"rural",5.9
27,26,19,0,35,"rural",51.2
53,17,16,0,31,"rural",NA
56,16,12,0,31,"rural",NA
40,15,16,1,33,"rural",42.8
30,29,9,0,36,"rural",NA
62,12,16,0,38,"rural",16.5
53,10,14,0,29,"rural",67
59,18,16,1,29,"rural",21.2
68,18,6,1,37,"rural",83.3
63,10,16,1,32,"rural",23.9
42,17,12,1,34,"rural",22.5
19,21,12,1,41,"rural",NA
60,7,14,0,33,"rural",11.1
34,20,20,0,39,"rural",NA
49,30,9,1,33,"rural",NA
50,19,18,1,35,"rural",14.4
32,17,13,1,32,"rural",80.6
46,8,16,1,35,"rural",4.2
54,23,12,1,39,"rural",64.3
21,22,12,0,32,"rural",NA
50,19,11,1,35,"rural",46
28,9,6,0,32,"rural",19.8
43,16,20,1,35,"rural",0.1
60,12,10,1,38,"rural",61.2
47,24,15,0,27,"rural",53.5
48,13,10,1,35,"rural",11.6
50,23,8,0,32,"rural",NA
58,31,16,1,30,"rural",46.6
63,12,15,1,35,"rural",63.3
21,15,5,0,31,"rural",50.3
27,1,11,1,38,"rural",NA
41,27,7,0,28,"rural",NA
35,19,17,0,26,"rural",66.1
53,35,14,1,35,"rural",24.4
44,5,7,1,35,"rural",15.1
26,19,17,1,34,"rural",NA
44,25,11,0,26,"rural",66.6
56,23,12,1,33,"rural",NA
22,24,11,0,34,"rural",NA
69,17,12,1,31,"rural",NA
25,26,14,1,41,"rural",NA
51,20,18,0,37,"rural",7.9
22,17,5,0,30,"rural",61.5
18,18,9,1,33,"rural",NA
43,9,9,1,32,"rural",NA
24,24,7,0,35,"rural",NA
63,10,21,1,41,"rural",24.3
23,29,5,1,36,"rural",NA
47,14,9,1,33,"rural",NA
30,10,4,1,36,"rural",29.7
46,19,19,1,28,"rural",34.8
63,15,10,1,35,"rural",NA
36,19,16,0,22,"rural",51.6
19,7,21,0,39,"rural",40
35,13,14,1,41,"rural",32.6
50,18,8,1,32,"rural",NA
42,9,11,0,39,"rural",9.2
30,20,13,0,33,"rural",42.1
65,30,12,1,35,"rural",NA
39,10,7,0,27,"rural",NA
28,11,11,0,27,"rural",5.9
66,24,15,0,36,"rural",32.1
22,19,17,1,34,"rural",7.2
33,4,10,0,32,"rural",29.7
58,12,16,0,35,"rural",0.9
63,23,7,1,34,"rural",NA
27,13,7,1,34,"rural",48.8
19,29,15,1,34,"rural",76.8
36,16,11,1,33,"rural",NA
44,14,8,0,29,"rural",14.6
42,33,10,1,39,"rural",19.1
18,17,11,1,29,"rural",40
21,9,7,1,32,"rural",NA
43,22,15,1,32,"rural",26.6
45,24,11,1,34,"rural",93.2
66,12,6,0,26,"city",59.7
43,15,7,1,35,"city",28.4
30,8,16,1,42,"suburb",56.7
53,17,8,1,42,"suburb",48.7
19,21,12,0,33,"suburb",63.9
33,30,17,0,43,"city",NA
67,19,21,0,43,"suburb",76.9
56,20,15,0,46,"suburb",16.6
23,26,19,1,59,"city",NA
31,25,9,1,45,"city",95.4
42,17,10,0,36,"suburb",35.3
64,9,11,1,35,"suburb",NA
24,23,15,0,48,"city",24.7
20,9,12,0,32,"city",NA
68,14,12,0,41,"suburb",NA
55,8,13,0,28,"suburb",NA
38,30,12,0,36,"city",NA
22,16,11,1,39,"suburb",NA
41,12,13,0,42,"city",NA
50,29,11,1,42,"city",NA
25,18,16,0,35,"suburb",54.3
59,27,14,0,42,"suburb",76.3
56,9,6,1,32,"city",80.2
40,26,7,0,35,"city",44.2
38,27,8,1,46,"city",87.8
39,28,11,1,49,"suburb",65.6
21,7,5,1,30,"suburb",3.3
36,16,10,1,30,"suburb",53.5
66,21,8,1,36,"suburb",NA
44,20,10,0,29,"suburb",NA
18,28,4,0,32,"city",71.6
29,21,18,1,41,"city",NA
69,22,18,1,34,"city",NA
60,19,9,0,34,"suburb",30.6
47,23,7,0,36,"city",78.2
48,22,16,1,38,"city",69.7
44,29,14,1,42,"city",89.6
44,7,10,1,34,"city",15
54,23,14,0,42,"city",41.1
37,11,19,0,43,"suburb",84
58,31,14,0,41,"suburb",89.9
52,21,9,0,38,"suburb",70
70,21,10,1,40,"suburb",39.3
52,19,17,1,43,"city",37
42,18,12,0,37,"city",15.3
57,11,8,0,32,"city",NA
46,11,9,0,32,"city",NA
21,18,14,1,43,"suburb",NA
21,34,13,1,48,"suburb",35.1
31,21,13,0,35,"city",33.6
34,29,11,1,50,"suburb",61.1
63,18,6,0,33,"city",28.2
23,18,13,1,39,"suburb",NA
41,18,13,1,40,"city",NA
45,15,7,1,36,"city",2.9
28,17,14,0,36,"suburb",15.4
31,6,12,0,33,"city",41.2
52,13,9,1,32,"suburb",50
69,11,4,0,31,"suburb",15.6
64,20,10,0,34,"city",33.7
56,14,12,1,41,"suburb",29.2
54,14,15,1,39,"city",NA
22,22,11,1,47,"city",80.1
65,23,13,1,41,"suburb",62.3
62,31,3,1,37,"city",49.2
30,26,13,0,47,"city",73
24,18,18,1,47,"city",44.7
36,26,12,1,41,"city",89.6
35,10,20,1,46,"city",NA
26,27,7,0,36,"city",101.3
44,7,15,1,34,"city",57.2
34,31,10,1,43,"suburb",79.2
36,25,18,0,47,"suburb",NA
61,23,12,1,39,"city",111.3
40,12,13,0,34,"city",NA
21,9,24,1,35,"suburb",NA
39,22,9,0,34,"suburb",NA
43,11,8,1,36,"city",11.1
57,14,6,1,41,"city",28
38,15,11,1,38,"suburb",36.9
51,17,13,1,38,"city",NA
21,25,8,0,33,"city",42
54,14,8,1,40,"city",14.5
68,23,10,0,45,"city",61.8
37,24,7,1,36,"suburb",NA
60,7,8,0,30,"suburb",26.1
40,18,12,1,42,"city",34.3
46,16,17,0,43,"suburb",25.7
41,16,12,1,39,"city",NA
31,18,11,1,39,"city",29.4
32,17,11,1,39,"suburb",NA
67,13,13,0,33,"city",NA
38,21,16,1,45,"suburb",NA
22,10,12,0,33,"city",NA
66,22,12,1,43,"city",78.2
42,10,11,0,34,"suburb",75.9
56,32,7,1,41,"city",58.6
26,10,10,0,32,"suburb",56.4
25,23,12,1,43,"city",22.6
36,22,15,0,40,"city",72.1
