work_flex,commute,jobsat
24,39,19
22,30,19
24,44,24
17,33,14
21,29,17
20,23,18
22,39,17
21,32,20
21,44,16
13,31,10
22,44,18
20,47,20
22,32,20
19,28,16
18,29,12
19,18,18
17,36,14
24,41,22
19,34,18
20,22,16
20,35,17
20,23,19
21,34,20
19,41,15
18,46,18
22,36,18
22,35,21
26,47,24
18,17,16
25,46,24
22,45,20
21,41,18
18,14,15
16,28,13
24,52,19
24,58,21
24,51,21
25,51,22
13,45,5
23,43,20
17,26,15
25,23,23
24,36,23
17,28,15
28,49,26
17,32,12
21,36,19
14,13,9
26,54,24
24,40,23
23,41,21
17,34,12
22,19,18
20,24,14
25,51,28
18,30,14
16,16,11
25,56,26
26,44,25
24,37,22
15,35,6
21,40,20
21,47,20
16,11,12
22,31,19
16,27,12
18,21,11
24,36,25
23,53,22
21,26,17
20,39,14
26,42,25
23,36,21
26,54,27
25,36,24
13,12,9
13,3,10
16,27,12
16,15,17
25,55,21
25,47,24
21,35,20
23,47,20
31,54,32
20,42,16
23,37,18
24,48,20
24,38,23
17,26,11
24,54,24
20,42,16
12,17,6
24,28,25
17,19,13
22,48,19
12,6,8
17,53,9
23,56,20
19,28,17
22,47,18
