"child_id","school_id","BNT60","schoolyear","mlhome"
"ID11","SC1",11,1,"1"
"ID11","SC1",10,2,"1"
"ID11","SC1",12,3,"1"
"ID11","SC1",12,4,"1"
"ID11","SC1",9,5,"1"
"ID12","SC1",7,1,"1"
"ID12","SC1",10,2,"1"
"ID12","SC1",9,3,"1"
"ID12","SC1",6,4,"1"
"ID12","SC1",7,5,"1"
"ID13","SC1",8,1,"1"
"ID13","SC1",18,2,"1"
"ID13","SC1",34,3,"1"
"ID13","SC1",35,4,"1"
"ID13","SC1",44,5,"1"
"ID14","SC1",6,1,"1"
"ID14","SC1",19,2,"1"
"ID14","SC1",26,3,"1"
"ID14","SC1",34,4,"1"
"ID14","SC1",40,5,"1"
"ID15","SC1",10,1,"1"
"ID15","SC1",13,2,"1"
"ID15","SC1",15,3,"1"
"ID15","SC1",18,4,"1"
"ID15","SC1",25,5,"1"
"ID16","SC1",10,1,"1"
"ID16","SC1",5,2,"1"
"ID16","SC1",17,3,"1"
"ID16","SC1",21,4,"1"
"ID16","SC1",23,5,"1"
"ID17","SC1",5,1,"1"
"ID17","SC1",6,2,"1"
"ID17","SC1",8,3,"1"
"ID17","SC1",10,4,"1"
"ID17","SC1",6,5,"1"
"ID18","SC1",13,1,"1"
"ID18","SC1",16,2,"1"
"ID18","SC1",17,3,"1"
"ID18","SC1",27,4,"1"
"ID18","SC1",32,5,"1"
"ID19","SC1",12,1,"1"
"ID19","SC1",15,2,"1"
"ID19","SC1",21,3,"1"
"ID19","SC1",22,4,"1"
"ID19","SC1",32,5,"1"
"ID21","SC2",12,1,"0"
"ID21","SC2",15,2,"0"
"ID21","SC2",19,3,"0"
"ID21","SC2",20,4,"0"
"ID21","SC2",23,5,"0"
"ID22","SC2",19,1,"0"
"ID22","SC2",24,2,"0"
"ID22","SC2",34,3,"0"
"ID22","SC2",40,4,"0"
"ID22","SC2",54,5,"0"
"ID23","SC2",15,1,"0"
"ID23","SC2",23,2,"0"
"ID23","SC2",32,3,"0"
