x,x2,y
3.355491274036467,c,6.7964464528089925
1.8060623947530985,d,0.4552647680111903
3.3871093140915036,c,2.129951728869248
3.4805556954815984,c,5.586198129427032
1.083138776011765,b,4.533395894655227
3.6128438357263803,a,6.975910694593678
1.9881230322644114,d,7.0505121668434505
3.33269876614213,d,4.642176558357853
2.8661480890586972,b,1.2928354283191834
2.462243029847741,d,3.89476206452424
4.2563239904120564,c,2.530559401769708
1.1740685990080237,c,0.9110132968364519
4.496072333306074,b,1.6788501906774798
3.853333668783307,c,1.7867108576228783
4.863772831857204,d,3.40624517471532
4.6853574980050325,a,5.742731044202711
4.65679635014385,d,2.9205011002467907
3.4733804930001497,d,8.518916062790973
2.988267087377608,d,0.692139996139836
4.539931450039148,d,8.586742236968849
4.035278016701341,b,6.272156228055433
4.621875267475843,d,4.6831920137215075
3.920309340581298,c,1.9979767040236414
2.148230521939695,d,4.284330455454984
4.442325801588595,b,6.150135762961071
4.881564814597368,d,2.4218873801142213
1.1484955996274948,a,1.3616726419404823
3.4744402691721916,b,2.916377619182647
2.4380764858797193,b,4.4737856250178245
2.569883664138615,a,7.129823062891561
1.592242380604148,a,2.174652214156294
3.0339931957423687,a,2.1469622064463385
3.4623532639816403,c,5.730173232653006
3.514926228672266,d,5.296673131890575
4.411134307272732,b,3.4660389124359563
1.37065012101084,c,0.4316363289138857
2.4015796473249793,a,2.2229385023101047
1.3174218591302633,c,8.5848855811624
4.821910265833139,b,5.584193758935005
2.4454909209161997,c,6.586977771887481
4.88841755874455,a,3.011043528516117
4.122815660201013,a,7.471232751372714
4.0444203382357955,b,2.5241910310465716
4.9004589123651385,a,8.924837854320364
1.0273286625742912,d,4.126110643282743
2.915631244890392,a,2.5175513750735607
3.316807991825044,c,5.551903082952424
1.1864012908190489,a,10.35017493071244
4.973525419831276,b,13.596266055173144
3.1355991698801517,d,3.0761276777011024
4.745668810792267,d,1.4818870696439712
2.7178327972069383,d,5.90264150889853
4.599159888923168,b,2.907379471823606
4.381263708695769,a,4.156820671471802
2.855932328850031,b,4.3848363636769045
3.110842440277338,c,2.1839946905738525
3.0458247615024447,a,3.4913315595286263
1.2707508075982332,b,0.9092272520300196
4.883662882260978,b,4.572023470635784
3.309057919308543,a,2.6416715924354506
4.242553087882698,d,2.9497147310453924
1.8475473383441567,b,3.7307893861880417
2.815776522271335,b,1.3429413324744954
2.5158293964341283,a,1.1659906908346944
1.7338572144508362,c,8.623325001282563
1.994274102151394,c,1.5049971595459855
2.960622191429138,d,2.4839182893461733
4.175487037748098,a,2.3092593351120194
2.8371435590088367,a,6.188760684159502
2.2003797329962254,d,1.7196799121498803
4.6310492139309645,b,6.567479403611957
4.129609488882124,b,5.435490296548627
4.970860947854817,d,1.5388745720411894
2.4918356807902455,c,2.0086966178314345
3.7754334630444646,a,1.8914360049072165
2.212763698771596,b,1.4367331031683515
3.756140248849988,a,11.191295770752198
1.1044179648160934,b,0.7516369514423151
4.07621393352747,a,6.213263118715565
4.564000898972154,b,6.726816258962819
1.0246959682554007,a,4.213013524245695
1.7600133046507835,b,5.618791718332796
3.362413396127522,c,0.8798867538042993
1.8949470818042755,c,5.146197158858777
2.0805840119719505,b,1.4135402625766675
3.3555649388581514,a,5.84177779514058
2.563341725617647,d,4.6958581351740305
4.48247635923326,c,2.2817108819384644
4.382291357964277,d,9.775199382423972
4.575218314304948,d,6.206337162204795
3.708871454000473,c,3.346302542649196
4.800005491822958,d,3.162852356613191
1.0185600696131587,a,0.42530255898659963
2.949346087872982,a,1.3808815262160654
2.3714327896013856,c,8.119498005339093
2.55641080904752,d,1.8338925727307935
2.1205788515508175,b,1.8391327775292254
3.894011937081814,c,2.9261430235929664
1.5851058522239327,c,0.37563606066642463
4.697731696069241,c,4.659033433009617
