ppt,task,condition,group,score
ppt_01,task_01,A,1,8.8
ppt_01,task_02,A,1,8.8
ppt_01,task_03,A,1,6.4
ppt_01,task_04,A,1,9.1
ppt_01,task_05,A,1,7.5
ppt_01,task_06,B,1,7.2
ppt_01,task_07,B,1,12
ppt_01,task_08,B,1,9.6
ppt_01,task_09,B,1,11
ppt_01,task_10,B,1,8.6
ppt_02,task_01,A,2,18.1
ppt_02,task_02,A,2,17.7
ppt_02,task_03,A,2,16.3
ppt_02,task_04,A,2,17.1
ppt_02,task_05,A,2,16.3
ppt_02,task_06,B,2,15.4
ppt_02,task_07,B,2,21.6
ppt_02,task_08,B,2,16.3
ppt_02,task_09,B,2,17.5
ppt_02,task_10,B,2,16.5
ppt_03,task_01,A,1,14.7
ppt_03,task_02,A,1,13
ppt_03,task_03,A,1,12.9
ppt_03,task_04,A,1,15.4
ppt_03,task_05,A,1,12.9
ppt_03,task_06,B,1,14.1
ppt_03,task_07,B,1,20
ppt_03,task_08,B,1,15.6
ppt_03,task_09,B,1,17.3
ppt_03,task_10,B,1,14.8
ppt_04,task_01,A,2,6.2
ppt_04,task_02,A,2,6.1
ppt_04,task_03,A,2,5.8
ppt_04,task_04,A,2,7.4
ppt_04,task_05,A,2,7.9
ppt_04,task_06,B,2,5.8
ppt_04,task_07,B,2,11
ppt_04,task_08,B,2,9.4
ppt_04,task_09,B,2,8.8
ppt_04,task_10,B,2,7.6
ppt_05,task_01,A,1,6.1
ppt_05,task_02,A,1,7.1
ppt_05,task_03,A,1,2.8
ppt_05,task_04,A,1,6.7
ppt_05,task_05,A,1,3.8
ppt_05,task_06,B,1,4.2
ppt_05,task_07,B,1,9.1
ppt_05,task_08,B,1,5.6
ppt_05,task_09,B,1,7.1
ppt_05,task_10,B,1,5.7
ppt_06,task_01,A,2,10.1
ppt_06,task_02,A,2,9.1
ppt_06,task_03,A,2,9.8
ppt_06,task_04,A,2,8.5
ppt_06,task_05,A,2,10.7
ppt_06,task_06,B,2,8.4
ppt_06,task_07,B,2,13.2
ppt_06,task_08,B,2,11.9
ppt_06,task_09,B,2,13.6
ppt_06,task_10,B,2,8.1
ppt_07,task_01,A,1,10.5
ppt_07,task_02,A,1,9.7
ppt_07,task_03,A,1,7.2
ppt_07,task_04,A,1,9.9
ppt_07,task_05,A,1,8.6
ppt_07,task_06,B,1,9
ppt_07,task_07,B,1,14.9
ppt_07,task_08,B,1,13.2
ppt_07,task_09,B,1,12.4
ppt_07,task_10,B,1,10.5
ppt_08,task_01,A,2,19.1
ppt_08,task_02,A,2,19.3
ppt_08,task_03,A,2,16.3
ppt_08,task_04,A,2,19.1
ppt_08,task_05,A,2,18.7
ppt_08,task_06,B,2,22.1
ppt_08,task_07,B,2,26.4
ppt_08,task_08,B,2,23.5
ppt_08,task_09,B,2,26.2
ppt_08,task_10,B,2,22.8
ppt_09,task_01,A,1,11.2
ppt_09,task_02,A,1,10.9
ppt_09,task_03,A,1,8.6
ppt_09,task_04,A,1,9.8
ppt_09,task_05,A,1,9.7
ppt_09,task_06,B,1,11.7
ppt_09,task_07,B,1,17.1
ppt_09,task_08,B,1,16.7
ppt_09,task_09,B,1,17
ppt_09,task_10,B,1,14.9
ppt_10,task_01,A,2,14.4
ppt_10,task_02,A,2,15.6
ppt_10,task_03,A,2,11.9
ppt_10,task_04,A,2,15.2
ppt_10,task_05,A,2,13.9
ppt_10,task_06,B,2,11.9
ppt_10,task_07,B,2,17.8
ppt_10,task_08,B,2,14.8
ppt_10,task_09,B,2,15.1
ppt_10,task_10,B,2,14.8
ppt_11,task_01,B,1,10.6
ppt_11,task_02,B,1,13.9
ppt_11,task_03,B,1,9.9
ppt_11,task_04,B,1,14.2
ppt_11,task_05,B,1,13.9
ppt_11,task_06,A,1,9.3
ppt_11,task_07,A,1,11
ppt_11,task_08,A,1,8.9
ppt_11,task_09,A,1,12
ppt_11,task_10,A,1,9.7
ppt_12,task_01,B,2,8.9
ppt_12,task_02,B,2,9.8
ppt_12,task_03,B,2,6.8
ppt_12,task_04,B,2,8.6
ppt_12,task_05,B,2,9.1
ppt_12,task_06,A,2,6
ppt_12,task_07,A,2,9.7
ppt_12,task_08,A,2,4.8
ppt_12,task_09,A,2,8.2
ppt_12,task_10,A,2,9.8
ppt_13,task_01,B,1,10.9
ppt_13,task_02,B,1,13.4
ppt_13,task_03,B,1,9
ppt_13,task_04,B,1,14.3
ppt_13,task_05,B,1,13.9
ppt_13,task_06,A,1,8.7
ppt_13,task_07,A,1,12.3
ppt_13,task_08,A,1,11.2
ppt_13,task_09,A,1,8.5
ppt_13,task_10,A,1,8.6
ppt_14,task_01,B,2,8.7
ppt_14,task_02,B,2,11.8
ppt_14,task_03,B,2,6.9
ppt_14,task_04,B,2,11.2
ppt_14,task_05,B,2,10.3
ppt_14,task_06,A,2,7.1
ppt_14,task_07,A,2,11.9
ppt_14,task_08,A,2,10.8
ppt_14,task_09,A,2,10.2
ppt_14,task_10,A,2,7.6
ppt_15,task_01,B,1,5.4
ppt_15,task_02,B,1,10.1
ppt_15,task_03,B,1,5.6
ppt_15,task_04,B,1,8.9
