pid,speed,music
ID1,29.439584099016585,rap
ID1,29.88644401058089,classical
ID1,27.240570726778543,speech
ID2,21.051799917733103,rap
ID2,29.096357846048107,classical
ID2,25.143102660503665,speech
ID3,18.337520524902278,rap
ID3,24.246866255080004,classical
ID3,21.501717438245482,speech
ID4,20.608407815582407,rap
ID4,31.36236489650782,classical
ID4,30.54814832255802,speech
ID5,33.904792862219104,rap
ID5,42.84707375406326,classical
ID5,37.446187378349435,speech
ID6,29.868772363845565,rap
ID6,38.04461932258558,classical
ID6,32.55077215054423,speech
ID7,28.66164278174051,rap
ID7,30.309315330267236,classical
ID7,33.416129685045554,speech
ID8,15.11498703928009,rap
ID8,37.272785933362954,classical
ID8,23.840122098116467,speech
ID9,31.985012237364444,rap
ID9,39.67289923156958,classical
ID9,36.93052791588843,speech
ID10,27.743862913399,rap
ID10,34.146981219518935,classical
ID10,26.36740157103045,speech
ID11,27.458188251629593,rap
ID11,40.523631453954906,classical
ID11,24.178995637455124,speech
ID12,38.969799136003196,rap
ID12,37.6554360862565,classical
ID12,35.952382391007625,speech
ID13,24.193210379146272,rap
ID13,28.406165509589137,classical
ID13,19.450955860342013,speech
ID14,32.64654642323653,rap
ID14,33.32102835056628,classical
ID14,25.871187729442337,speech
ID15,25.438044852488147,rap
ID15,30.002895306186403,classical
ID15,19.13508869297967,speech
ID16,36.03805439216059,rap
ID16,42.9013813313867,classical
ID16,35.83982495443699,speech
ID17,19.28723360320719,rap
ID17,22.39808720658774,classical
ID17,17.7265204663952,speech
ID18,26.292797545970796,rap
ID18,40.16452766246363,classical
ID18,42.7126970196352,speech
ID19,32.04338832776759,rap
ID19,32.70550477094702,classical
ID19,32.23343468903517,speech
ID20,28.71756495770446,rap
ID20,37.34118350438955,classical
ID20,28.165267275916918,speech
ID21,24.005410706876948,rap
ID21,40.47629934454015,classical
ID21,24.997533146070797,speech
ID22,26.331534921702477,rap
ID22,26.688435066436863,classical
ID22,22.428358072720233,speech
ID23,33.03427757382361,rap
ID23,33.709558149602366,classical
ID23,28.820305597823204,speech
ID24,30.07897565152661,rap
ID24,28.468517170439497,classical
ID24,30.278564933593326,speech
ID25,30.210917656290693,rap
ID25,37.179754351178325,classical
ID25,32.81790125260299,speech
ID26,19.9889343510172,rap
ID26,28.674858101958478,classical
ID26,19.310780965743987,speech
ID27,31.18908785066822,rap
ID27,31.527389399414282,classical
ID27,28.866042536133428,speech
ID28,26.539686198527804,rap
ID28,37.5079473916129,classical
ID28,30.72606162748394,speech
ID29,22.397343383564984,rap
ID29,28.64092348655084,classical
ID29,21.980920878008405,speech
ID30,13.095746452367033,rap
ID30,22.42283426420596,classical
ID30,18.829492000542025,speech
ID31,34.03230130155842,rap
ID31,34.95726810752057,classical
ID31,31.073722544495233,speech
ID32,32.49145959373671,rap
ID32,40.36229949419076,classical
ID32,39.480094444311376,speech
ID33,29.97619984132584,rap
ID33,33.81469206519669,classical
ID33,32.447056253027434,speech
ID34,37.00314720278737,rap
ID34,38.78875242077661,classical
ID34,29.768104293812446,speech
ID35,30.767055568419394,rap
ID35,35.31508920530234,classical
ID35,33.89481282040334,speech
ID36,36.74875238900358,rap
ID36,35.46244331480401,classical
ID36,30.502237063592375,speech
ID37,33.903097253766376,rap
ID37,36.92516581074486,classical
ID37,33.73792446104047,speech
ID38,27.31074585807381,rap
ID38,39.66705216608899,classical
ID38,18.806097516517404,speech
ID39,19.425967356970652,rap
ID39,28.595245130801977,classical
ID39,32.992348361668206,speech
ID40,25.76644194352925,rap
ID40,34.866332102905574,classical
ID40,25.361719244645894,speech
ID41,27.312138766547122,rap
ID41,40.25979051769525,classical
ID41,31.784301196755038,speech
ID42,32.30762724437966,rap
ID42,33.28532335772397,classical
ID42,32.39180665906338,speech
ID43,36.71297541365902,rap
ID43,36.52640184208222,classical
ID43,34.56511229171398,speech
ID44,35.37132088226438,rap
ID44,33.001211648393365,classical
ID44,29.32104636570108,speech
ID45,30.804265303129878,rap
ID45,37.65333812425658,classical
ID45,36.152939558491845,speech
ID46,25.40985735751773,rap
ID46,34.271891444881035,classical
ID46,20.66438487078657,speech
ID47,32.722721648147925,rap
ID47,40.20926238026832,classical
ID47,34.867582405460254,speech
ID48,26.269312085378715,rap
ID48,37.37997046494615,classical
ID48,31.57804108272362,speech
ID49,24.101262512469475,rap
ID49,27.359744515450693,classical
ID49,21.101557475048192,speech
ID50,39.64496485331083,rap
ID50,35.976689262563156,classical
ID50,36.244494677163424,speech
