ppt,task,condition,group,score
ppt_01,task_01,A,1,9
ppt_01,task_02,A,1,9.3
ppt_01,task_03,A,1,9.5
ppt_01,task_04,A,1,13.1
ppt_01,task_05,A,1,9.1
ppt_01,task_06,B,1,9.9
ppt_01,task_07,B,1,14.1
ppt_01,task_08,B,1,13.2
ppt_01,task_09,B,1,5.3
ppt_01,task_10,B,1,10.1
ppt_02,task_01,A,2,11.6
ppt_02,task_02,A,2,10.5
ppt_02,task_03,A,2,14.5
ppt_02,task_04,A,2,16.2
ppt_02,task_05,A,2,15.4
ppt_02,task_06,B,2,17.3
ppt_02,task_07,B,2,18.5
ppt_02,task_08,B,2,18.5
ppt_02,task_09,B,2,11.4
ppt_02,task_10,B,2,16.1
ppt_03,task_01,A,1,5.9
ppt_03,task_02,A,1,9.1
ppt_03,task_03,A,1,9.1
ppt_03,task_04,A,1,9.6
ppt_03,task_05,A,1,7.9
ppt_03,task_06,B,1,10.3
ppt_03,task_07,B,1,15
ppt_03,task_08,B,1,12.5
ppt_03,task_09,B,1,7.8
ppt_03,task_10,B,1,13.3
ppt_04,task_01,A,2,12.6
ppt_04,task_02,A,2,12.2
ppt_04,task_03,A,2,13.2
ppt_04,task_04,A,2,14.8
ppt_04,task_05,A,2,12.2
ppt_04,task_06,B,2,15.9
ppt_04,task_07,B,2,16.1
ppt_04,task_08,B,2,17.2
ppt_04,task_09,B,2,10.2
ppt_04,task_10,B,2,13.5
ppt_05,task_01,A,1,4
ppt_05,task_02,A,1,2.6
ppt_05,task_03,A,1,1.5
ppt_05,task_04,A,1,6.7
ppt_05,task_05,A,1,2.1
ppt_05,task_06,B,1,2.9
ppt_05,task_07,B,1,6.5
ppt_05,task_08,B,1,6.9
ppt_05,task_09,B,1,2.1
ppt_05,task_10,B,1,3.2
ppt_06,task_01,A,2,14.6
ppt_06,task_02,A,2,13.5
ppt_06,task_03,A,2,15
ppt_06,task_04,A,2,18.9
ppt_06,task_05,A,2,15.2
ppt_06,task_06,B,2,15.1
ppt_06,task_07,B,2,19
ppt_06,task_08,B,2,16.9
ppt_06,task_09,B,2,12.9
ppt_06,task_10,B,2,15.3
ppt_07,task_01,A,1,11.1
ppt_07,task_02,A,1,9.9
ppt_07,task_03,A,1,13.6
ppt_07,task_04,A,1,13.9
ppt_07,task_05,A,1,10.7
ppt_07,task_06,B,1,13.9
ppt_07,task_07,B,1,15.1
ppt_07,task_08,B,1,15.4
ppt_07,task_09,B,1,10.6
ppt_07,task_10,B,1,14.4
ppt_08,task_01,A,2,12.1
ppt_08,task_02,A,2,10.8
ppt_08,task_03,A,2,11.2
ppt_08,task_04,A,2,14.2
ppt_08,task_05,A,2,12.2
ppt_08,task_06,B,2,14.3
ppt_08,task_07,B,2,16.1
ppt_08,task_08,B,2,17.7
ppt_08,task_09,B,2,8
ppt_08,task_10,B,2,13.3
ppt_09,task_01,A,1,10.4
ppt_09,task_02,A,1,9
ppt_09,task_03,A,1,9.5
ppt_09,task_04,A,1,11.1
ppt_09,task_05,A,1,9.5
ppt_09,task_06,B,1,10.1
ppt_09,task_07,B,1,11.3
ppt_09,task_08,B,1,12.9
ppt_09,task_09,B,1,6.4
ppt_09,task_10,B,1,10.1
ppt_10,task_01,A,2,7.2
ppt_10,task_02,A,2,8
ppt_10,task_03,A,2,6.6
ppt_10,task_04,A,2,12.4
ppt_10,task_05,A,2,7.9
ppt_10,task_06,B,2,9.4
ppt_10,task_07,B,2,12.4
ppt_10,task_08,B,2,11.1
ppt_10,task_09,B,2,4.4
ppt_10,task_10,B,2,8.4
ppt_11,task_01,B,1,9.5
ppt_11,task_02,B,1,9.1
ppt_11,task_03,B,1,8.5
ppt_11,task_04,B,1,12.1
ppt_11,task_05,B,1,9.3
ppt_11,task_06,A,1,9
ppt_11,task_07,A,1,10.7
ppt_11,task_08,A,1,8.9
ppt_11,task_09,A,1,5
ppt_11,task_10,A,1,10
ppt_12,task_01,B,2,12.8
ppt_12,task_02,B,2,12.6
ppt_12,task_03,B,2,8.7
ppt_12,task_04,B,2,14.8
ppt_12,task_05,B,2,11.3
ppt_12,task_06,A,2,7.2
ppt_12,task_07,A,2,7.9
ppt_12,task_08,A,2,8.5
ppt_12,task_09,A,2,5.5
ppt_12,task_10,A,2,7.1
ppt_13,task_01,B,1,14.1
ppt_13,task_02,B,1,11.8
ppt_13,task_03,B,1,11.3
ppt_13,task_04,B,1,16.3
ppt_13,task_05,B,1,14.1
ppt_13,task_06,A,1,8.9
ppt_13,task_07,A,1,8.8
ppt_13,task_08,A,1,7.8
ppt_13,task_09,A,1,4.6
ppt_13,task_10,A,1,8.2
ppt_14,task_01,B,2,10.5
ppt_14,task_02,B,2,12.1
ppt_14,task_03,B,2,8.2
ppt_14,task_04,B,2,14.2
ppt_14,task_05,B,2,8.9
ppt_14,task_06,A,2,11.3
ppt_14,task_07,A,2,13.4
ppt_14,task_08,A,2,13.7
ppt_14,task_09,A,2,9.4
ppt_14,task_10,A,2,12
ppt_15,task_01,B,1,6.1
ppt_15,task_02,B,1,6.9
ppt_15,task_03,B,1,4.9
ppt_15,task_04,B,1,9.3
ppt_15,task_05,B,1,7.8
ppt_15,task_06,A,1,5.4
ppt_15,task_07,A,1,7.3
ppt_15,task_08,A,1,5.8
ppt_15,task_09,A,1,4.6
ppt_15,task_10,A,1,4.8
ppt_16,task_01,B,2,12.4
ppt_16,task_02,B,2,14.6
ppt_16,task_03,B,2,9.5
ppt_16,task_04,B,2,13.5
ppt_16,task_05,B,2,12
ppt_16,task_06,A,2,12.5
ppt_16,task_07,A,2,14.3
ppt_16,task_08,A,2,12.6
ppt_16,task_09,A,2,7.4
ppt_16,task_10,A,2,12.6
ppt_17,task_01,B,1,3.8
ppt_17,task_02,B,1,4.4
ppt_17,task_03,B,1,1.3
ppt_17,task_04,B,1,6.7
ppt_17,task_05,B,1,4
ppt_17,task_06,A,1,4.7
ppt_17,task_07,A,1,8
ppt_17,task_08,A,1,8.6
ppt_17,task_09,A,1,3.4
ppt_17,task_10,A,1,4.6
ppt_18,task_01,B,2,11.6
ppt_18,task_02,B,2,11.6
ppt_18,task_03,B,2,10.2
ppt_18,task_04,B,2,12.4
ppt_18,task_05,B,2,11.6
ppt_18,task_06,A,2,13.7
ppt_18,task_07,A,2,17
ppt_18,task_08,A,2,14.6
ppt_18,task_09,A,2,12.1
ppt_18,task_10,A,2,15
ppt_19,task_01,B,1,15.7
ppt_19,task_02,B,1,16.7
ppt_19,task_03,B,1,12.7
ppt_19,task_04,B,1,18.3
ppt_19,task_05,B,1,16.9
ppt_19,task_06,A,1,12.5
ppt_19,task_07,A,1,16
ppt_19,task_08,A,1,14.5
ppt_19,task_09,A,1,11.6
ppt_19,task_10,A,1,13.8
ppt_20,task_01,B,2,14.2
ppt_20,task_02,B,2,13.4
ppt_20,task_03,B,2,12.1
ppt_20,task_04,B,2,16.1
ppt_20,task_05,B,2,12.6
ppt_20,task_06,A,2,12.4
ppt_20,task_07,A,2,15.2
ppt_20,task_08,A,2,11.6
ppt_20,task_09,A,2,12.2
ppt_20,task_10,A,2,12.9
