ID,unravel,sleep_dep,sleep_qual,cog,sex,age
ID1,11,non-deprived,low,-0.592,F,27
ID2,12,deprived,low,0.293,M,23
ID3,9,non-deprived,med,-0.921,F,26
ID4,10,deprived,med,0.24,F,28
ID5,9,non-deprived,high,0.92,M,30
ID6,11,deprived,high,-0.786,M,25
ID7,14,non-deprived,low,2.81,F,26
ID8,9,deprived,low,-0.977,M,23
ID9,10,non-deprived,med,1.746,M,22
ID10,13,deprived,med,0.152,M,30
ID11,9,non-deprived,high,-0.561,F,23
ID12,11,deprived,high,0.272,M,28
ID13,10,non-deprived,low,0.472,F,27
ID14,11,deprived,low,0.627,F,28
ID15,10,non-deprived,med,0.013,M,26
ID16,9,deprived,med,0.018,F,26
ID17,8,non-deprived,high,0.313,M,28
ID18,9,deprived,high,-1.276,F,27
ID19,9,non-deprived,low,-0.544,M,28
ID20,11,deprived,low,0.81,M,30
ID21,11,non-deprived,med,0.645,M,25
ID22,11,deprived,med,-1.1,F,32
ID23,6,non-deprived,high,0.426,M,24
ID24,11,deprived,high,-0.016,F,23
ID25,12,non-deprived,low,-0.872,F,25
ID26,12,deprived,low,1.29,F,27
ID27,8,non-deprived,med,1.056,F,28
ID28,10,deprived,med,0.325,F,24
ID29,9,non-deprived,high,1.971,F,24
ID30,12,deprived,high,1.355,M,29
ID31,10,non-deprived,low,-0.816,F,25
ID32,12,deprived,low,-1.46,F,23
ID33,10,non-deprived,med,0.049,M,30
ID34,10,deprived,med,-0.624,F,29
ID35,9,non-deprived,high,-0.719,M,27
ID36,11,deprived,high,-0.257,F,26
ID37,10,non-deprived,low,0.475,F,29
ID38,11,deprived,low,-0.214,F,24
ID39,10,non-deprived,med,0.606,F,25
ID40,9,deprived,med,-2.077,F,23
ID41,9,non-deprived,high,-1.553,M,26
ID42,9,deprived,high,-0.164,F,20
ID43,9,non-deprived,low,-0.108,F,24
ID44,11,deprived,low,0.565,F,23
ID45,10,non-deprived,med,0.386,M,23
ID46,12,deprived,med,1.051,M,31
ID47,8,non-deprived,high,-1.549,M,26
ID48,11,deprived,high,-0.638,M,30
ID49,10,non-deprived,low,0.912,F,23
ID50,10,deprived,low,2.196,M,27
ID51,11,non-deprived,med,-0.156,M,31
ID52,10,deprived,med,0.904,F,23
ID53,9,non-deprived,high,-0.102,M,27
ID54,11,deprived,high,0.537,F,23
ID55,10,non-deprived,low,-0.933,M,25
ID56,9,deprived,low,-0.419,M,29
ID57,9,non-deprived,med,0.15,F,25
ID58,10,deprived,med,-0.18,M,26
ID59,9,non-deprived,high,0.421,F,24
ID60,8,deprived,high,-1.119,F,23
ID61,12,non-deprived,low,1.099,M,25
ID62,13,deprived,low,0.295,M,24
ID63,9,non-deprived,med,-1.668,F,23
ID64,10,deprived,med,-0.66,M,30
ID65,9,non-deprived,high,-1.543,F,28
ID66,11,deprived,high,-0.688,F,25
ID67,9,non-deprived,low,1.466,M,27
ID68,9,deprived,low,0.774,M,23
ID69,10,non-deprived,med,-2.17,M,25
ID70,9,deprived,med,-0.695,F,24
ID71,9,non-deprived,high,-0.215,F,25
ID72,11,deprived,high,0.185,M,26
ID73,9,non-deprived,low,-1.048,M,28
ID74,11,deprived,low,0.747,F,26
ID75,10,non-deprived,med,-0.162,M,26
ID76,11,deprived,med,0.24,M,26
ID77,8,non-deprived,high,-0.554,F,25
ID78,8,deprived,high,-0.453,M,23
ID79,12,non-deprived,low,0.693,F,27
ID80,11,deprived,low,0.448,F,18
ID81,10,non-deprived,med,1.724,F,27
ID82,9,deprived,med,-1.353,F,23
ID83,9,non-deprived,high,0.727,M,25
ID84,9,deprived,high,2.2,F,27
ID85,10,non-deprived,low,-1.952,F,25
ID86,11,deprived,low,-0.287,M,25
ID87,9,non-deprived,med,-0.75,F,27
ID88,9,deprived,med,0.378,M,21
ID89,8,non-deprived,high,-0.075,F,27
ID90,10,deprived,high,0.676,M,27
ID91,8,non-deprived,low,-0.569,M,26
ID92,10,deprived,low,0.461,M,25
ID93,9,non-deprived,med,-0.38,F,26
ID94,11,deprived,med,0.744,F,26
ID95,9,non-deprived,high,-1.092,F,24
ID96,9,deprived,high,-0.157,F,26
ID97,10,non-deprived,low,-0.655,M,26
ID98,9,deprived,low,2.408,F,26
ID99,9,non-deprived,med,1.822,M,21
ID100,11,deprived,med,-0.961,F,29
ID101,8,non-deprived,high,0.552,M,25
ID102,10,deprived,high,1.746,M,31
ID103,10,non-deprived,low,-2.984,F,27
ID104,10,deprived,low,0.298,M,28
ID105,9,non-deprived,med,0.449,F,26
ID106,10,deprived,med,-0.296,F,29
ID107,9,non-deprived,high,0.856,F,25
ID108,11,deprived,high,0.374,M,25
ID109,12,non-deprived,low,1.133,F,25
ID110,9,deprived,low,-0.653,F,22
ID111,10,non-deprived,med,0.288,F,30
ID112,9,deprived,med,-1.682,M,24
ID113,10,non-deprived,high,0.223,M,26
ID114,10,deprived,high,0.619,F,21
ID115,9,non-deprived,low,-1.97,F,24
ID116,10,deprived,low,0.498,F,23
ID117,9,non-deprived,med,-0.691,M,25
ID118,9,deprived,med,-0.521,F,28
ID119,10,non-deprived,high,0.603,M,29
ID120,7,deprived,high,-1.316,F,27
ID121,12,non-deprived,low,1.178,F,28
ID122,11,deprived,low,0.447,M,23
ID123,11,non-deprived,med,-0.947,M,26
ID124,10,deprived,med,0.156,F,26
ID125,8,non-deprived,high,0.492,F,27
ID126,11,deprived,high,-0.69,M,27
ID127,10,non-deprived,low,1.014,M,33
ID128,10,deprived,low,-0.581,M,20
ID129,10,non-deprived,med,-0.612,M,21
ID130,11,deprived,med,0.782,M,28
ID131,10,non-deprived,high,0.547,M,24
ID132,11,deprived,high,0.212,M,26
ID133,9,non-deprived,low,-0.302,M,25
ID134,10,deprived,low,-1.539,M,27
ID135,11,non-deprived,med,1.727,M,33
ID136,12,deprived,med,-0.217,F,26
ID137,9,non-deprived,high,1.299,F,27
ID138,10,deprived,high,1.028,F,23
ID139,11,non-deprived,low,-0.394,M,27
ID140,11,deprived,low,-0.164,F,27
ID141,9,non-deprived,med,0.227,M,26
ID142,9,deprived,med,0.289,M,29
ID143,9,non-deprived,high,-0.615,M,24
ID144,9,deprived,high,-0.824,M,25
ID145,10,non-deprived,low,0.345,F,24
ID146,12,deprived,low,1.471,F,29
ID147,9,non-deprived,med,0.539,F,29
ID148,9,deprived,med,-1.62,F,23
ID149,10,non-deprived,high,1.021,M,31
ID150,11,deprived,high,1.223,F,29
ID151,11,non-deprived,low,1.568,F,24
ID152,10,deprived,low,0.378,F,25
ID153,8,non-deprived,med,-1.152,M,26
ID154,11,deprived,med,-0.183,M,28
ID155,9,non-deprived,high,-0.256,F,26
ID156,11,deprived,high,-0.622,M,27
ID157,10,non-deprived,low,-0.425,M,29
ID158,9,deprived,low,-1.329,F,27
ID159,10,non-deprived,med,1.252,M,25
ID160,12,deprived,med,1.097,M,27
ID161,11,non-deprived,high,2.325,M,25
ID162,11,deprived,high,0.799,F,23
