PID,frame,lives,lever
PPT_1,positive,5lives,1
PPT_1,positive,15lives,1
PPT_1,positive,5lives,1
PPT_1,positive,15lives,1
PPT_1,neutral,5lives,1
PPT_1,neutral,15lives,0
PPT_1,neutral,5lives,0
PPT_1,neutral,15lives,0
PPT_1,negative,5lives,0
PPT_1,negative,15lives,0
PPT_1,negative,5lives,0
PPT_1,negative,15lives,1
PPT_2,positive,5lives,0
PPT_2,positive,15lives,1
PPT_2,positive,5lives,1
PPT_2,positive,15lives,0
PPT_2,neutral,5lives,1
PPT_2,neutral,15lives,1
PPT_2,neutral,5lives,1
PPT_2,neutral,15lives,0
PPT_2,negative,5lives,0
PPT_2,negative,15lives,0
PPT_2,negative,5lives,1
PPT_2,negative,15lives,1
PPT_3,positive,5lives,0
PPT_3,positive,15lives,1
PPT_3,positive,5lives,0
PPT_3,positive,15lives,1
PPT_3,neutral,5lives,1
PPT_3,neutral,15lives,1
PPT_3,neutral,5lives,1
PPT_3,neutral,15lives,1
PPT_3,negative,5lives,1
PPT_3,negative,15lives,1
PPT_3,negative,5lives,0
PPT_3,negative,15lives,0
PPT_4,positive,5lives,0
PPT_4,positive,15lives,0
PPT_4,positive,5lives,1
PPT_4,positive,15lives,0
PPT_4,neutral,5lives,1
PPT_4,neutral,15lives,1
PPT_4,neutral,5lives,1
PPT_4,neutral,15lives,1
PPT_4,negative,5lives,1
PPT_4,negative,15lives,0
PPT_4,negative,5lives,0
PPT_4,negative,15lives,0
PPT_5,positive,5lives,1
PPT_5,positive,15lives,0
PPT_5,positive,5lives,1
PPT_5,positive,15lives,1
PPT_5,neutral,5lives,1
PPT_5,neutral,15lives,1
PPT_5,neutral,5lives,0
PPT_5,neutral,15lives,1
PPT_5,negative,5lives,1
PPT_5,negative,15lives,1
PPT_5,negative,5lives,1
PPT_5,negative,15lives,1
PPT_6,positive,5lives,1
PPT_6,positive,15lives,0
PPT_6,positive,5lives,1
PPT_6,positive,15lives,0
PPT_6,neutral,5lives,1
PPT_6,neutral,15lives,1
PPT_6,neutral,5lives,0
PPT_6,neutral,15lives,0
PPT_6,negative,5lives,1
PPT_6,negative,15lives,0
PPT_6,negative,5lives,0
PPT_6,negative,15lives,0
PPT_7,positive,5lives,0
PPT_7,positive,15lives,0
PPT_7,positive,5lives,1
PPT_7,positive,15lives,0
PPT_7,neutral,5lives,0
PPT_7,neutral,15lives,0
PPT_7,neutral,5lives,1
PPT_7,neutral,15lives,1
PPT_7,negative,5lives,1
PPT_7,negative,15lives,0
PPT_7,negative,5lives,1
PPT_7,negative,15lives,0
PPT_8,positive,5lives,0
PPT_8,positive,15lives,1
PPT_8,positive,5lives,0
PPT_8,positive,15lives,1
PPT_8,neutral,5lives,1
PPT_8,neutral,15lives,1
PPT_8,neutral,5lives,0
PPT_8,neutral,15lives,1
PPT_8,negative,5lives,0
PPT_8,negative,15lives,0
PPT_8,negative,5lives,0
PPT_8,negative,15lives,0
PPT_9,positive,5lives,1
PPT_9,positive,15lives,1
PPT_9,positive,5lives,1
PPT_9,positive,15lives,0
PPT_9,neutral,5lives,0
PPT_9,neutral,15lives,0
PPT_9,neutral,5lives,1
PPT_9,neutral,15lives,1
PPT_9,negative,5lives,0
PPT_9,negative,15lives,0
PPT_9,negative,5lives,0
PPT_9,negative,15lives,0
PPT_10,positive,5lives,1
PPT_10,positive,15lives,1
PPT_10,positive,5lives,1
PPT_10,positive,15lives,1
PPT_10,neutral,5lives,1
PPT_10,neutral,15lives,1
PPT_10,neutral,5lives,0
PPT_10,neutral,15lives,1
PPT_10,negative,5lives,0
PPT_10,negative,15lives,1
PPT_10,negative,5lives,0
PPT_10,negative,15lives,1
PPT_11,positive,5lives,0
PPT_11,positive,15lives,0
PPT_11,positive,5lives,1
PPT_11,positive,15lives,1
PPT_11,neutral,5lives,1
PPT_11,neutral,15lives,0
PPT_11,neutral,5lives,0
PPT_11,neutral,15lives,1
PPT_11,negative,5lives,1
PPT_11,negative,15lives,0
PPT_11,negative,5lives,0
PPT_11,negative,15lives,1
PPT_12,positive,5lives,0
PPT_12,positive,15lives,1
PPT_12,positive,5lives,1
PPT_12,positive,15lives,0
PPT_12,neutral,5lives,1
PPT_12,neutral,15lives,1
PPT_12,neutral,5lives,1
PPT_12,neutral,15lives,0
PPT_12,negative,5lives,1
PPT_12,negative,15lives,1
PPT_12,negative,5lives,1
PPT_12,negative,15lives,1
PPT_13,positive,5lives,1
PPT_13,positive,15lives,1
PPT_13,positive,5lives,1
PPT_13,positive,15lives,1
PPT_13,neutral,5lives,1
PPT_13,neutral,15lives,0
PPT_13,neutral,5lives,1
PPT_13,neutral,15lives,1
PPT_13,negative,5lives,0
PPT_13,negative,15lives,1
PPT_13,negative,5lives,0
PPT_13,negative,15lives,1
PPT_14,positive,5lives,1
PPT_14,positive,15lives,0
PPT_14,positive,5lives,1
PPT_14,positive,15lives,0
PPT_14,neutral,5lives,1
PPT_14,neutral,15lives,1
PPT_14,neutral,5lives,1
PPT_14,neutral,15lives,0
PPT_14,negative,5lives,0
PPT_14,negative,15lives,0
PPT_14,negative,5lives,1
PPT_14,negative,15lives,1
PPT_15,positive,5lives,0
PPT_15,positive,15lives,1
PPT_15,positive,5lives,1
PPT_15,positive,15lives,1
PPT_15,neutral,5lives,0
PPT_15,neutral,15lives,1
PPT_15,neutral,5lives,1
PPT_15,neutral,15lives,0
PPT_15,negative,5lives,1
PPT_15,negative,15lives,1
PPT_15,negative,5lives,0
PPT_15,negative,15lives,0
PPT_16,positive,5lives,0
PPT_16,positive,15lives,1
PPT_16,positive,5lives,1
PPT_16,positive,15lives,1
PPT_16,neutral,5lives,1
