job_yrs,job_mths,worktype,cont_hrs,act_hrs,gender,dobm,doby,status,youngdep,elderdep,qualif,exercise,cigs,alcohol,time_rel,when_rel,job1,job2,job3,job4,job5,job6,job7,job8,job9,job10,job11,job12,job13,job14,job15,job16,job17,job18,job19,job20,job21,job22,job23,job24,job25,job26,job27,job28,job29,job30,job31,job32,job33,job34,job35,job36,job37,job38,job39,job40,job41,job42,job43,job44,job45,job46,job47,job48,job49,job50
1,6,1,45,45,1,7,83,1,1,1,5,4,1,1,2,1,5,4,5,4,6,4,7,7,4,7,4,4,1,4,4,6,4,7,7,3,4,3,5,4,4,7,2,3,3,4,5,5,6,4,4,4,4,4,5,4,6,6,6,6,6,3,3,3,6,3
5,8,1,36,36,2,1,58,2,2,1,5,2,2,0,2,2,5,7,4,3,6,2,1,4,5,6,1,5,4,5,7,5,1,7,1,5,1,1,1,4,5,6,4,6,3,3,1,7,4,6,6,1,5,5,7,3,5,4,1,4,6,1,4,7,5,5
2,8,1,40,40,2,2,82,1,1,1,4,6,2,0,1,1,1,4,7,1,1,1,7,7,3,1,7,4,1,7,3,1,1,7,7,7,7,1,2,5,6,7,1,7,5,6,5,3,6,5,3,2,1,5,5,5,3,5,7,6,7,2,5,7,5,1
4,3,1,35,35,1,4,78,1,1,2,5,3,1,2,2,1,6,4,5,5,6,4,5,5,5,6,5,3,4,2,7,2,4,6,7,5,5,2,4,4,5,3,2,5,7,5,3,2,5,7,5,3,3,2,7,3,5,4,3,5,7,3,5,7,6,3
7,1,1,40,41,1,2,73,2,2,1,4,2,1,3,2,1,1,1,5,5,1,2,2,2,5,2,3,3,4,6,2,2,2,3,2,1,1,4,6,2,3,6,6,2,5,1,4,2,4,4,4,2,2,2,2,4,1,5,4,2,6,6,1,6,2,1
3,11,1,32,32,1,8,75,2,2,2,5,6,1,4,5,2,3,4,5,3,4,3,4,3,5,4,3,3,4,1,6,3,5,5,6,3,3,1,3,4,2,5,5,5,6,2,5,1,3,5,1,5,3,1,5,3,1,3,5,3,3,6,3,4,2,7
4,2,1,30,30,2,3,72,2,2,1,4,4,2,0,1,1,5,4,6,7,5,5,4,5,6,5,6,3,4,2,6,3,3,5,7,7,3,2,6,4,3,6,1,6,5,3,4,3,7,6,3,2,3,3,6,3,3,4,1,7,6,3,3,6,5,4
4,0,1,54,54,1,5,85,2,2,1,5,3,2,0,3,2,4,1,7,7,7,1,5,5,7,7,1,1,1,1,7,7,7,3,3,6,1,1,1,4,7,7,1,1,1,6,1,2,4,1,1,1,7,1,7,7,1,1,2,1,7,7,3,7,2,1
1,1,1,37,37,2,12,70,2,2,1,2,1,1,1,1,2,6,2,4,5,4,2,4,6,2,4,5,4,5,1,5,4,3,6,6,3,5,2,5,5,5,6,3,4,3,6,5,6,6,5,5,5,3,3,6,3,5,4,3,5,6,3,3,5,6,5
0,11,1,37,37,2,11,70,2,2,1,2,3,1,4,2,2,6,6,7,6,7,7,6,7,7,7,7,7,7,7,5,5,7,2,2,3,6,6,7,6,4,4,7,7,7,4,5,5,4,5,6,6,6,7,5,6,7,5,7,7,7,5,6,6,7,6
