"Player","Position","Team","TotalMoney","YearlySalary"
"Russell Wilson","QB","Seahawks",140,35
"Ben Roethlisberger","QB","Steelers",68,34
"Aaron Rodgers","QB","Packers",134,33.5
"Jared Goff","QB","Rams",134,33.5
"Carson Wentz","QB","Eagles",128,32
"Matt Ryan","QB","Falcons",150,30
"Kirk Cousins","QB","Vikings",84,28
"Jacoby Brissett","QB","Colts",27.975,27.975
"Jimmy Garoppolo","QB","49ers",137.5,27.5
"Matt Stafford","QB","Lions",135,27
"Derek Carr","QB","Raiders",125.025,25.005
"Drew Brees","QB","Saints",50,25
"Alex Smith","QB","Redskins",94,23.5
"Khalil Mack","34OLB","Bears",141,23.5
"Tom Brady","QB","Patriots",23,23
"Aaron Donald","34DE","Rams",135,22.5
"Joe Flacco","QB","Broncos",66.4,22.133
"Nick Foles","QB","Jaguars",88,22
"Julio Jones","WR","Falcons",66,22
"Eli Manning","QB","Giants",84,21
"Demarcus Lawrence","43DE","Cowboys",105,21
"Philip Rivers","QB","Chargers",83.25,20.813
"Frank Clark","43DE","Chiefs",104,20.8
"Cam Newton","QB","Panthers",103.8,20.76
"Michael Thomas","WR","Saints",96.25,19.25
"Von Miller","34OLB","Broncos",114.5,19.083
"Bobby Wagner","ILB","Seahawks",54,18
"Tyreek Hill","WR","Chiefs",54,18
"Trey Flowers","43DE","Lions",90,18
"Odell Beckham, Jr.","WR","Browns",90,18
"Cameron Jordan","43DE","Saints",52.6,17.533
"Fletcher Cox","43DT","Eagles",102.6,17.1
"Dee Ford","43DE","49ers",85,17
"Grady Jarrett","43DT","Falcons",68,17
"Olivier Vernon","43DE","Browns",85,17
"C.J. Mosley","ILB","Jets",85,17
"J.J. Watt","34DE","Texans",100,16.667
"Za'Darius Smith","34OLB","Packers",66,16.5
"Mike Evans","WR","Buccaneers",82.5,16.5
"Trent Brown","RT","Raiders",66,16.5
"Chandler Jones","34OLB","Cardinals",82.5,16.5
"Geno Atkins","43DT","Bengals",65.2,16.3
"DeAndre Hopkins","WR","Texans",81,16.2
"Brandin Cooks","WR","Rams",81,16.2
"Adam Thielen","WR","Vikings",64.8,16.2
"Kawann Short","43DT","Panthers",80.5,16.1
"Melvin Ingram","43DE","Chargers",64,16
"Taylor Lewan","LT","Titans",80,16
"Andy Dalton","QB","Bengals",96,16
"Sammy Watkins","WR","Chiefs",48,16
"Nate Solder","LT","Giants",62,15.5
"Jarvis Landry","WR","Browns",75.5,15.1
"Jurrell Casey","34DE","Titans",60.4,15.1
"Xavien Howard","CB","Dolphins",75.25,15.05
"Jason Pierre-Paul","43DE","Buccaneers",62,15
"Ezekiel Elliott","RB","Cowboys",90,15
"Calais Campbell","43DE","Jaguars",60,15
"Josh Norman","CB","Redskins",75,15
"A.J. Green","WR","Bengals",60,15
"Jadeveon Clowney","34OLB","Seahawks",15,15
"Everson Griffen","43DE","Vikings",58,14.5
"Trumaine Johnson","CB","Jets",72.5,14.5
"Jake Matthews","LT","Falcons",72.5,14.5
"Davante Adams","WR","Packers",58,14.5
"Danielle Hunter","43DE","Vikings",72,14.4
"Stefon Diggs","WR","Vikings",72,14.4
"Todd Gurley","RB","Rams",57.5,14.375
"Myles Jack","ILB","Jaguars",57,14.25
"Deion Jones","ILB","Falcons",57,14.25
"Kevin Byard","S","Titans",70.5,14.1
"Marcell Dareus","43DT","Jaguars",28.085,14.043
"Xavier Rhodes","CB","Vikings",70.1,14.02
"Patrick Peterson","CB","Cardinals",70.05,14.01
"Zack Martin","RG","Cowboys",84,14
"Tyrann Mathieu","S","Chiefs",42,14
"Kyle Fuller","CB","Bears",56,14
"Allen Robinson","WR","Bears",42,14
"Landon Collins","S","Redskins",84,14
"Joe Staley","LT","49ers",28,14
"Earl Thomas","S","Ravens",55,13.75
"Donovan Smith","LT","Buccaneers",41.25,13.75
"Desmond Trufant","CB","Falcons",68.75,13.75
"Anthony Barr","43OLB","Vikings",67.5,13.5
"A.J. Bouye","CB","Jaguars",67.5,13.5
"Carlos Dunlap","43DE","Bengals",40.5,13.5
"Kwon Alexander","43OLB","49ers",54,13.5
"Brandon Graham","43DE","Eagles",40,13.333
"Andrew Norwell","LG","Jaguars",66.5,13.3
"Russell Okung","LT","Chargers",53,13.25
