pseudonym,birthmonth,ampm,height,phone_unlock,caffeine_n,caffeine_type,eyecolour,dogcat,sleeprating,procrast,multitask,threewords
vincent noone,January,Morning person,176,90,4,coffee,Blue,Dog,40,35,60,blah blah blah
Linda,April,Morning person,168,26,2,coffee,Brown,Cat,85,80,70,outgoing confident brave
Shelley,March,Morning person,164,133,2,coffee,Brown,Dog,80,60,70,"Reliable, optimistic, and determined"
Hannah,August,Evening person,165,NA,1,coffee,Hazel,Cat,75,90,75,"curious, compassionate, witty"
Squash,October,Evening person,172,212,2.5,coffee,Blue,Dog,82,87,36,"Organised, creative, hydrated"
Cap'n,March,Evening person,160,NA,0.5,tea,Blue,Cat,20,10,75,"AuDHD, introverted, creative"
Alainn,August,Evening person,162,130,2,energy drinks,Brown,Dog,35,40,70,"Organised, Helpful, Thoughful"
atp,April,Evening person,174,25,0.1,soft drinks (e.g. cola),Other,Dog,55,70,70,"curious, conscientious, miraculous"
D,October,Evening person,175,NA,2,coffee,Hazel,Cat,25,NA,60,NA
GSG70,July,Evening person,160,NA,1,coffee,Blue,Dog,90,50,40,Short Shy Funny
NA,November,Morning person,150,NA,0,tea,Amber,Cat,85,90,90,"Spontaneous, Loving, Introspective"
0605,May,Evening person,160,NA,2,tea,Blue,Cat,25,30,70,outgoing imaginative empathetic
NA,June,Morning person,152.4,145,0,i don't drink caffeine,Green,Dog,90,90,70,"funny, outgoing, bubbly"
dddd,September,Morning person,173,50,0,i don't drink caffeine,Brown,NA,90,30,60,"creative, emotional, humorous"
bp,September,Morning person,162,50,3,coffee,Brown,Cat,80,60,60,kind anxious responsible
NA,January,Morning person,182,33,3,coffee,Brown,Cat,43,47,39,NA
gcmapr,June,Morning person,168,69,1,coffee,Green,Cat,70,20,70,"reliable, relaxed, cheerful"
NA,July,Morning person,162,84,1.5,coffee,Brown,Dog,85,78,0,autistic introverted passionate
NA,January,Evening person,162,NA,4,tea,Hazel,Cat,40,90,97,"Ambitious, Creative, Analytical"
NA,October,Evening person,160,100,0,i don't drink caffeine,Brown,Cat,80,20,20,kind curious flexible
Yoyo,April,Evening person,163,0,1,coffee,Brown,Dog,70,5,20,"Casual, friendly, helpful"
Cielle,February,Evening person,158,43,2,coffee,Brown,Dog,70,70,80,"Loyal, caring and chill"
goldfish,December,Evening person,165,60,1,soft drinks (e.g. cola),Brown,Dog,50,70,70,dog person / shy/ kind
Ray,January,Morning person,177,34,2,coffee,Brown,Cat,59,12,21,funny outgoing peaceful
NA,August,Morning person,170,NA,1,tea,Other,Cat,70,60,60,NA
NA,July,Evening person,167,50,1,coffee,Brown,Dog,90,10,35,"procrastination, Virgo, social phobia"
Nora,January,Evening person,172,40,1,coffee,Blue,Dog,65,30,70,"Friendly, Positive, Adventurous"
NA,April,Morning person,172,NA,1,energy drinks,Brown,Cat,80,75,85,"Funny, Kind Sarcastic"
NA,January,Morning person,167,NA,0,i don't drink caffeine,Blue,Cat,90,95,80,"Hardworking, passionate, brave"
NA,May,Evening person,160,NA,1,coffee,Brown,Cat,60,20,85,ambitious practical eager
NA,November,Evening person,162,123,2,tea,Green,Dog,65,60,55,1) Resilient 2) Creative 3) Curious
Silouane,September,Evening person,162,24,1,soft drinks (e.g. cola),Other,Cat,80,95,20,"easy-going, kind-hearted, lovely"
Winston,March,Morning person,160,89,1,coffee,Brown,Dog,7,90,65,"Kind, Loyal, Introverted"
MCS,September,Evening person,167.6,NA,2,coffee,Blue,Dog,50,75,50,"Ambitious, friendly, enthusiastic"
oook,October,Evening person,168,128,0,i don't drink caffeine,Brown,Dog,85,60,65,"introverted, disengaged, curious"
NA,June,Evening person,162,30,0.5,coffee,Brown,NA,80,80,60,"Easy-going, good-tempered, introvert"
...,July,Evening person,172,181,3,coffee,Green,Dog,55,10,50,NA
Pearl,March,Morning person,158,74,2,coffee,Blue,Cat,65,70,40,"Cheerful, emotional, inquisitive."
Coco Chanel,September,Morning person,164,NA,1,coffee,Brown,Dog,80,75,80,Ambitious Stubborn Kind
B,January,Evening person,180.34,NA,2,coffee,Blue,Dog,20,50,55,NA
the piglet,July,Morning person,172,108,2,coffee,Blue,Cat,0,40,53,NA
Lethe,December,Evening person,158,32,2,soft drinks (e.g. cola),Blue,Cat,45,85,50,reserved empathetic meticulous
H,December,Evening person,168,40,1,soft drinks (e.g. cola),Brown,Cat,70,20,50,NA
acr0598,May,Evening person,163,NA,1,coffee,Blue,Cat,43,50,89,"Outdoorsy, Ambitious, Sociable"
NA,February,Evening person,175,35,3,soft drinks (e.g. cola),Other,Cat,50,50,50,yes and no
Superman,December,Morning person,168,NA,2,coffee,Blue,Dog,80,15,70,"happy, neurotic and adventurous"
Alez,April,Evening person,183,56,0.3,soft drinks (e.g. cola),Brown,Dog,80,40,60,"I, Don't, Know"
Ed,March,Evening person,170,58,2,coffee,Brown,Cat,70,55,60,"Fun, Kind, Introvert"
PaperNuo,April,Morning person,171,106,1,coffee,Brown,Dog,90,37,57,Tough but weak
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
