"age","hrs_wk","method","R_AGE"
10.114918936044,4.97056443306055,"phonics",14.2721559558714
9.93980000307783,4.67678098133142,"phonics",13.6917163015343
6.0603714263998,4.61860160049009,"phonics",10.353244706476
9.26903824647889,4.89352414693339,"phonics",12.7436005567735
10.9909972897731,5.03452152047194,"phonics",15.3526505411534
8.93209811905399,4.91447610487089,"phonics",13.2079336427968
10.0327523141168,5.27074127386844,"phonics",14.2070726989983
5.14597209263593,5.76686625547339,"phonics",10.2623777377712
9.40928246080875,4.4258796293773,"phonics",13.0714320593807
7.75646363990381,6.77745001232584,"phonics",13.7044172199943
8.72216715430841,4.15270425539026,"phonics",12.9460795371517
5.95405838126317,5.13256542605906,"phonics",11.3079547767915
10.8928488399833,6.23179863839808,"phonics",15.7366181073703
8.0697801457718,5.41887161765154,"phonics",12.4428624787159
6.1018680036068,4.3492254223899,"phonics",9.72176114091315
9.9318604869768,6.46483561784215,"phonics",15.9748199004877
8.542338185478,5.38927471169166,"phonics",13.1875190694504
6.93508819583803,4.65146941035903,"phonics",11.0976477035583
6.51149501325563,3.55628481196768,"phonics",9.78187653783487
8.07234787475318,7.03105272573643,"phonics",14.3270347074485
8.59593582525849,5.15211813346921,"phonics",12.6790317496703
5.12953697843477,3.35322649897779,"phonics",8.56426002505551
9.32554624089971,6.01507295792468,"phonics",14.3847304419444
5.37753634015098,3.66857428712219,"phonics",8.52096830382969
6.32846126146615,5.03320307436545,"phonics",10.5745583309737
9.35167144145817,3.98277194451662,"word",8.67244947616353
7.29941650899127,5.77510092082576,"word",5.97989680447873
7.26977311354131,4.94691075293449,"word",6.84942629032513
9.99390611564741,4.33659287970999,"word",10.0216585113477
5.30099974060431,4.58410515179089,"word",3.86734978771516
8.79284961754456,4.38777207650697,"word",8.28291105012281
10.0975655228831,4.70461637830993,"word",10.1009734969595
9.35865649906918,6.5066493379983,"word",8.2390871730194
9.76123651722446,4.49406281533548,"word",9.0077409668516
10.6259578880854,5.16547686417195,"word",9.77320644510429
10.346058760304,4.53644819909988,"word",8.7482921664654
6.74477689014748,6.69913653500924,"word",6.9832158279752
10.0997877037153,4.12612175362169,"word",8.97955584573593
8.11455865157768,4.87525680626919,"word",6.66419810448758
6.22214859211817,4.5039552873801,"word",5.91772559698714
10.7662836820818,3.63048788368138,"word",8.08492975374014
5.14705336652696,4.74522973591306,"word",4.91048424907067
5.11944827530533,4.59964524099345,"word",4.39774383748622
5.84821061976254,4.02869593657781,"word",5.29134570382859
7.23328111646697,5.05994042721493,"word",6.85738389888826
6.53489512717351,5.27237928558834,"word",5.79772765674309
8.1503871511668,6.87073687428155,"word",8.69134832249796
7.94061381649226,4.05306137987496,"word",6.98843983766728
8.2329771835357,5.47365342396682,"word",8.71296854435393
6.21852934360504,4.03789209407803,"word",5.90775973167627
