"age","dog","lifesat"
37.5527947628871,0,4.9
24.9782062671147,0,5.4
38.2109463063534,0,4.3
26.2543772708159,0,5.2
47.2251842531841,0,5
31.4502516598441,0,5.2
27.9652977723163,1,5.1
13.2036632241216,0,5.2
44.4948920211755,0,5.3
50.9602438053116,0,4.8
33.7390554917511,1,5.4
12.4878858914599,0,5.5
11.8131078430451,0,5.4
19.4447937060613,1,5.2
59.8835094587412,0,4.9
21.8540835171007,0,5.1
51.2424770009238,0,4.9
26.2102005502675,0,5.1
50.8312061638571,1,5.1
42.9684938141145,0,4.9
49.0570366021711,1,5.2
38.7928098102566,0,5.3
14.4934275140986,0,5
12.2521789139137,1,5.7
36.683240843704,0,5.1
38.3741449320223,0,4.8
8.64712416543625,1,5.5
46.262293048203,0,4.7
48.2530440913979,0,5.1
40.3761270991527,1,5.4
59.5131701126229,0,4.6
10.3446567070205,0,5.6
6.43253204645589,0,5.3
17.1741160016973,1,5.5
51.6200470516924,0,5.2
5.17887684400193,0,5.8
10.3831948281731,0,4.9
49.2024424707051,0,4.5
45.0201690581162,0,4.8
21.9820752029773,0,5
34.8708748549689,0,4.5
25.310869468376,0,5.3
11.1224879324436,1,5
35.8392342797015,0,5
25.2063709648792,0,5.1
27.5026966514997,0,4.7
17.8792681114282,0,5.2
23.6352574941702,0,5.3
15.9053717192728,0,5.4
35.5571318045259,0,5.1
37.4509406206198,0,5.1
47.1029955532867,0,5
29.9966914870311,1,5.1
49.66846880503,0,5.1
15.7726369483862,1,5.6
11.0983487544581,0,4.9
38.2598449185025,1,5.4
30.385387360584,0,5.1
31.228306760313,0,5.8
25.177666649688,0,4.7
17.6782259065658,1,5.4
17.815659531625,0,5
18.9068131858949,0,5.4
58.6186795285903,1,5.4
9.50677986606024,0,5.4
48.314035522053,0,5.4
57.7536539686844,0,5.1
15.6175841856748,0,5.1
55.9664607816376,0,4.8
27.853058539331,0,5.3
55.6138697953429,1,5
45.2076107799076,0,5.7
20.1371888816357,0,5
48.4553466830403,0,4.8
41.6839148150757,0,5
56.786719202064,0,5.2
36.2636837805621,0,5.4
27.0960287156049,0,4.9
31.8603994254954,0,5
45.3752754267771,1,5.3
44.0656931092963,0,4.7
10.0674112234265,1,5.5
30.1526594592724,0,4.6
48.40801549959,0,5
36.6867240285501,0,5.2
31.6763488925062,0,4.8
55.9788385906722,0,5.1
34.2880443937611,0,5.1
50.2889117028099,0,4.4
58.1547415326349,0,5.2
50.8272882644087,0,5
25.7553617621306,1,5.3
17.2341329965275,1,5.5
5.51798708038405,0,5.6
29.9503715173341,0,5.1
9.83539889100939,0,5.1
14.400759965647,0,4.8
21.6284478525631,0,5.2
29.3976799538359,0,5.3
19.5517665497027,0,5.4
8.64661508821882,0,5.8
28.3466292882804,0,5.1
23.9848587883171,0,5.2
29.3039751832839,0,5.5
34.2627138644457,0,5.1
20.9854490717407,0,5.4
36.9762821786571,0,5.6
20.8368734887335,0,5.2
36.8740698485635,0,4.8
28.205988825066,0,4.8
49.5706954121124,0,4.8
56.7311895114835,1,5.3
24.3642269494012,0,5.3
