Year,Hand,Exercise,TV,Pulse,Pierces
4,l,15,5,57,0
2,l,20,14,70,0
3,r,2,3,70,2
1,l,10,5,66,3
1,r,8,2,62,0
1,r,14,14,62,0
1,l,2,0,74,0
2,r,14,2,70,2
1,r,10,5,60,2
1,l,12,4,74,3
3,r,3,4,61,0
2,r,10,6,72,2
3,r,3,3,66,0
1,l,2,3,98,0
2,r,0,1,61,6
2,r,10,10,42,5
2,r,12,10,77,4
1,r,5,5,76,3
2,r,10,10,78,0
2,r,3,5,78,5
2,r,30,10,69,0
1,r,23,4,67,4
1,r,19,5,72,0
4,r,2,6,62,5
2,l,3,9,71,4
2,r,10,5,81,2
2,r,10,15,77,6
2,r,1,1,86,7
1,r,20,12,75,0
1,r,8,2,52,0
1,r,2,4,59,3
1,r,20,6,58,6
4,l,15,2,54,8
4,r,2,2,59,0
4,l,3,1,72,0
1,r,24,2,76,0
2,r,27,2,72,0
1,r,14,7,61,0
1,r,1,1,80,3
1,r,10,10,73,4
3,r,10,0,72,0
1,r,3,3,79,2
1,r,34,4,71,2
3,r,8,0,50,6
2,r,7,2,75,2
2,r,10,2,76,0
2,r,6,4,69,2
2,r,14,4,62,0
1,r,17,2,62,2
1,r,12,6,56,2
