"ppt","status","playing_platform","n_game1","n_game2","n_total","bpaq"
"P001","non-habitual","PC",2.11,2.72,4.83,55
"P002","non-habitual","PC",2.14,4.8,6.94,56
"P003","non-habitual","PC",4.05,5.11,9.16,74
"P004","non-habitual","PC",2.7,5.1,7.8,73
"P005","non-habitual","VR",3.9,1.94,5.84,82
"P006","habitual","VR",3.72,6.67,10.39,93
"P007","non-habitual","VR",3.16,4.82,7.98,129
"P008","non-habitual","VR",1.47,3.57,5.04,54
"P009","non-habitual","PC",2.43,4.44,6.87,70
"P010","non-habitual","VR",4.12,2.43,6.55,94
"P011","habitual","PC",5.04,2.51,7.55,113
"P012","non-habitual","VR",3.31,3.66,6.97,90
"P013","habitual","PC",4.29,2.38,6.67,102
"P014","non-habitual","VR",5.25,3.83,9.08,61
"P015","habitual","PC",6.19,5.67,11.86,121
"P016","non-habitual","PC",2.58,2.36,4.94,58
"P017","non-habitual","VR",3.76,2.71,6.47,80
"P018","habitual","VR",5.88,4.02,9.9,74
"P019","non-habitual","VR",3.34,2.38,5.72,87
"P020","non-habitual","VR",3.84,3.14,6.98,124
"P021","non-habitual","PC",3.8,4.65,8.45,130
"P022","non-habitual","PC",2.83,4.76,7.59,58
"P023","non-habitual","PC",3.37,4.06,7.43,89
"P024","habitual","PC",4.25,1.52,5.77,102
"P025","habitual","PC",3.74,3.89,7.63,76
"P026","non-habitual","VR",5.24,4.88,10.12,93
"P027","non-habitual","PC",3.32,4.58,7.9,75
"P028","habitual","PC",3.72,3.71,7.43,91
"P029","non-habitual","PC",4.74,0.36,5.1,100
"P030","non-habitual","PC",2.63,3.67,6.3,90
"P031","non-habitual","VR",3.85,4.29,8.14,97
"P032","habitual","VR",2.24,4.02,6.26,80
"P033","non-habitual","VR",5.3,3.79,9.09,104
"P034","habitual","VR",3.93,4.53,8.46,81
"P035","habitual","PC",3.67,3.44,7.11,72
"P036","non-habitual","VR",2.41,5.17,7.58,112
"P037","non-habitual","PC",3.89,4.16,8.05,90
"P038","habitual","VR",3.23,2.32,5.55,89
"P039","habitual","VR",3.59,5.78,9.37,90
"P040","non-habitual","VR",5.45,5.05,10.5,117
"P041","habitual","PC",4.06,5.05,9.11,111
"P042","non-habitual","PC",2.61,1.6,4.21,53
"P043","non-habitual","VR",4.1,2.92,7.02,89
"P044","habitual","VR",3.81,4.8,8.61,94
"P045","habitual","VR",5.07,4.02,9.09,82
"P046","habitual","VR",6.18,4.42,10.6,78
"P047","habitual","VR",2.98,7.21,10.19,97
"P048","habitual","VR",4.89,2.88,7.77,103
"P049","habitual","VR",4.4,1.17,5.57,114
"P050","non-habitual","PC",4.97,3.93,8.9,46
"P051","non-habitual","VR",3.62,2.77,6.39,72
"P052","non-habitual","PC",4.9,4.14,9.04,78
"P053","habitual","VR",1.99,2.89,4.88,49
"P054","habitual","VR",6.52,6.88,13.4,92
"P055","habitual","VR",5.43,3.8,9.23,78
"P056","habitual","VR",4.09,3.33,7.42,75
"P057","habitual","PC",2.38,3.74,6.12,31
"P058","habitual","VR",5.14,5.1,10.24,101
"P059","habitual","PC",4.93,4.09,9.02,71
"P060","habitual","PC",4.28,1.81,6.09,105
"P061","habitual","PC",4.49,3.95,8.44,98
"P062","non-habitual","VR",3.2,4.51,7.71,61
"P063","habitual","VR",4.78,4.01,8.79,95
"P064","habitual","VR",4.68,4.93,9.61,84
"P065","non-habitual","VR",3.56,3.42,6.98,106
"P066","non-habitual","VR",2.3,3.53,5.83,86
"P067","non-habitual","VR",4.74,4.18,8.92,83
"P068","habitual","PC",5.02,5.27,10.29,97
"P069","habitual","VR",3.19,2.31,5.5,87
"P070","non-habitual","PC",1.99,3.56,5.55,71
"P071","habitual","VR",4.56,3.87,8.43,132
"P072","habitual","PC",3.83,2.96,6.79,66
"P073","habitual","VR",4.62,2.59,7.21,80
"P074","habitual","VR",2.58,3.13,5.71,53
"P075","habitual","VR",3.02,4.73,7.75,89
"P076","habitual","VR",5.72,3.41,9.13,112
"P077","non-habitual","PC",4.38,2.66,7.04,37
"P078","non-habitual","PC",4.6,3.8,8.4,77
"P079","habitual","PC",6.69,2.33,9.02,60
"P080","habitual","PC",4.46,5.34,9.8,115
"P081","non-habitual","VR",1.5,3.02,4.52,108
"P082","non-habitual","PC",4.3,3.83,8.13,88
"P083","non-habitual","VR",5.31,3.66,8.97,123
"P084","non-habitual","PC",6.37,3.6,9.97,70
"P085","non-habitual","PC",2.25,5.77,8.02,100
"P086","habitual","VR",2.77,2.87,5.64,72
"P087","non-habitual","VR",3.05,4.97,8.02,97
"P088","non-habitual","PC",2.64,3.64,6.28,70
"P089","non-habitual","PC",3.13,2.6,5.73,68
"P090","non-habitual","PC",3.68,3.52,7.2,90
"P091","non-habitual","PC",2.46,4.5,6.96,52
"P092","non-habitual","VR",6.34,3.09,9.43,90
"P093","non-habitual","PC",4.03,2.67,6.7,80
"P094","habitual","VR",4.18,4.16,8.34,84
"P095","habitual","VR",4.94,5.26,10.2,99
"P096","non-habitual","VR",3.94,3.51,7.45,83
"P097","non-habitual","PC",3.74,1.94,5.68,106
"P098","habitual","VR",6.24,2.24,8.48,106
"P099","habitual","VR",4,2.95,6.95,145
"P100","non-habitual","VR",2.36,2.97,5.33,67
"P101","habitual","VR",4.8,3.93,8.73,109
"P102","habitual","VR",3.83,4.85,8.68,135
"P103","non-habitual","PC",3.27,3.08,6.35,82
"P104","non-habitual","VR",2.62,2.26,4.88,60
"P105","non-habitual","PC",4.41,4.33,8.74,63
"P106","non-habitual","VR",3.69,3.93,7.62,89
"P107","habitual","VR",4.97,5.49,10.46,124
"P108","non-habitual","PC",3.62,1.58,5.2,88
"P109","habitual","VR",3.42,4.08,7.5,46
"P110","non-habitual","PC",5.4,5.22,10.62,75
"P111","habitual","VR",3.93,4.92,8.85,93
"P112","non-habitual","PC",5.04,2.6,7.64,51
"P113","habitual","VR",2.7,4.93,7.63,104
"P114","non-habitual","PC",3.34,2.55,5.89,29
"P115","non-habitual","VR",3.58,3.06,6.64,90
"P116","non-habitual","VR",3.43,5.03,8.46,84
"P117","non-habitual","PC",5.52,3.25,8.77,73
"P118","habitual","PC",4.26,5.05,9.31,79
"P119","non-habitual","PC",4.19,3.25,7.44,85
"P120","habitual","VR",3.05,1.88,4.93,90
