stakes,condition,sub,throw,trial_no
13,money,1,1,trial_1
17,money,1,1,trial_2
7,money,1,1,trial_3
1,money,1,1,trial_4
2,money,1,1,trial_5
8,money,1,1,trial_6
20,money,1,1,trial_7
5,money,1,1,trial_8
14,money,1,1,trial_9
4,money,1,1,trial_10
16,money,1,0,trial_11
3,money,1,0,trial_12
18,money,1,1,trial_13
12,money,1,0,trial_14
11,money,1,1,trial_15
10,money,1,1,trial_16
15,money,1,1,trial_17
6,money,1,1,trial_18
19,money,1,0,trial_19
9,money,1,1,trial_20
15,money,2,1,trial_1
20,money,2,1,trial_2
2,money,2,0,trial_3
7,money,2,1,trial_4
12,money,2,1,trial_5
13,money,2,1,trial_6
10,money,2,1,trial_7
4,money,2,1,trial_8
1,money,2,0,trial_9
18,money,2,1,trial_10
6,money,2,1,trial_11
16,money,2,0,trial_12
5,money,2,1,trial_13
3,money,2,1,trial_14
14,money,2,1,trial_15
8,money,2,1,trial_16
11,money,2,1,trial_17
9,money,2,1,trial_18
17,money,2,1,trial_19
19,money,2,1,trial_20
2,money,3,1,trial_1
11,money,3,1,trial_2
5,money,3,1,trial_3
8,money,3,1,trial_4
9,money,3,1,trial_5
19,money,3,1,trial_6
1,money,3,1,trial_7
14,money,3,1,trial_8
6,money,3,1,trial_9
18,money,3,1,trial_10
7,money,3,1,trial_11
16,money,3,1,trial_12
4,money,3,1,trial_13
20,money,3,0,trial_14
12,money,3,1,trial_15
13,money,3,1,trial_16
10,money,3,1,trial_17
3,money,3,1,trial_18
17,money,3,1,trial_19
15,money,3,1,trial_20
20,money,4,1,trial_1
1,money,4,1,trial_2
14,money,4,0,trial_3
2,money,4,1,trial_4
10,money,4,1,trial_5
8,money,4,1,trial_6
9,money,4,0,trial_7
13,money,4,1,trial_8
18,money,4,0,trial_9
19,money,4,1,trial_10
3,money,4,1,trial_11
4,money,4,0,trial_12
16,money,4,0,trial_13
5,money,4,1,trial_14
12,money,4,1,trial_15
11,money,4,1,trial_16
6,money,4,0,trial_17
7,money,4,1,trial_18
15,money,4,1,trial_19
17,money,4,0,trial_20
2,money,5,0,trial_1
9,money,5,0,trial_2
8,money,5,1,trial_3
6,money,5,0,trial_4
17,money,5,1,trial_5
7,money,5,1,trial_6
15,money,5,1,trial_7
16,money,5,1,trial_8
5,money,5,1,trial_9
20,money,5,1,trial_10
4,money,5,1,trial_11
13,money,5,1,trial_12
12,money,5,0,trial_13
10,money,5,1,trial_14
19,money,5,1,trial_15
11,money,5,1,trial_16
3,money,5,1,trial_17
18,money,5,0,trial_18
14,money,5,1,trial_19
1,money,5,1,trial_20
19,money,6,1,trial_1
9,money,6,1,trial_2
6,money,6,0,trial_3
20,money,6,0,trial_4
16,money,6,1,trial_5
5,money,6,1,trial_6
8,money,6,0,trial_7
17,money,6,1,trial_8
18,money,6,1,trial_9
11,money,6,1,trial_10
4,money,6,0,trial_11
2,money,6,1,trial_12
12,money,6,1,trial_13
1,money,6,0,trial_14
10,money,6,1,trial_15
3,money,6,1,trial_16
7,money,6,1,trial_17
13,money,6,1,trial_18
15,money,6,1,trial_19
14,money,6,1,trial_20
5,money,7,1,trial_1
