commun,probl_solv,logical,learn,physical,appearance,arrest_rate
12,52,20,44,48,16,0.6129032258064516
12,57,25,45,50,16,0.41935483870967744
12,54,21,45,50,16,0
13,52,21,46,51,17,0.6451612903225806
14,54,24,46,51,17,0.06451612903225806
14,48,20,47,51,18,0.6451612903225806
15,53,27,47,52,18,0.41935483870967744
15,56,28,47,52,18,0.6451612903225806
15,54,23,48,52,18,0.7419354838709677
15,55,23,48,52,18,0.22580645161290322
15,54,23,48,52,18,0.03225806451612903
15,54,28,48,52,19,0.3548387096774194
16,54,22,48,52,19,0.0967741935483871
16,51,26,48,53,19,0.25806451612903225
16,55,22,49,53,19,0.3548387096774194
17,54,23,49,53,19,0.41935483870967744
17,52,24,49,53,20,0.45161290322580644
17,54,22,49,53,20,0.6129032258064516
17,53,24,49,53,20,0.45161290322580644
17,57,20,49,54,20,0.1935483870967742
17,56,26,50,54,20,0.6774193548387096
18,53,22,50,54,20,0.6774193548387096
18,59,20,50,54,20,0.4838709677419355
18,53,26,50,54,21,0.2903225806451613
18,51,24,50,54,21,0.45161290322580644
18,58,27,50,54,21,0.8709677419354839
18,57,24,51,54,21,0.4838709677419355
18,53,26,51,54,21,0.25806451612903225
18,58,27,51,54,22,0.6451612903225806
18,54,21,51,54,22,0.4838709677419355
19,56,28,51,55,22,0.7096774193548387
19,51,23,52,55,22,0.6451612903225806
19,52,25,52,55,22,0.6774193548387096
19,56,25,52,56,22,0.1935483870967742
19,50,23,52,56,22,0.7741935483870968
19,52,22,52,56,23,0.6451612903225806
19,56,26,52,56,23,0.6451612903225806
20,54,27,52,56,23,0.22580645161290322
20,56,24,52,56,23,0.6451612903225806
20,54,23,53,56,23,0.7741935483870968
20,52,25,53,56,23,0.9354838709677419
20,56,22,53,56,24,0.7096774193548387
20,56,25,53,57,24,0.6774193548387096
20,59,31,54,57,24,0.5161290322580645
21,53,23,54,57,24,0.5161290322580645
21,50,20,54,57,26,0.4838709677419355
22,52,25,54,58,26,0.8709677419354839
22,56,26,55,58,27,0.6451612903225806
22,57,25,55,59,28,0.6129032258064516
24,55,24,56,59,28,0.7096774193548387
