type,region,gradrate,gradratem,gradratew
1,5,32,26,38
1,5,48,47,49
1,5,47,43,52
1,5,26,19,32
1,5,67,64,69
1,5,30,25,34
1,5,68,66,70
4,5,66,64,66
4,5,9,9,10
2,5,15,18,14
4,5,33,30,35
2,5,44,39,47
4,5,47,41,55
1,5,29,22,34
1,5,34,28,40
4,5,15,11,20
4,5,43,44,42
1,5,47,38,51
1,5,32,23,40
4,5,38,30,44
4,5,71,66,75
4,5,45,46,44
1,5,37,34,39
4,5,62,61,62
3,5,33,43,25
4,5,25,18,32
4,5,25,28,24
1,5,34,28,39
3,5,46,40,50
1,8,26,22,28
1,8,31,32,30
1,8,11,13,9
4,8,52,43,58
2,8,34,22,40
2,6,36,25,38
2,6,38,37,41
4,6,42,67,33
2,6,65,54,67
2,6,47,43,47
2,6,57,48,58
1,6,57,54,59
1,6,61,58,64
2,6,83,83,83
2,6,43,53,35
2,6,34,33,39
3,6,55,54,61
2,6,31,35,29
2,6,46,53,44
2,6,18,19,13
2,6,33,38,15
1,6,5,7,4
2,4,41,NA,NA
1,6,49,43,53
2,6,15,14,16
2,6,71,68,72
3,6,45,50,38
4,6,51,46,56
2,6,4,6,3
1,5,20,21,20
4,5,48,48,49
1,5,60,57,64
1,5,28,23,33
1,5,40,35,43
1,5,41,37,45
1,5,27,22,31
1,5,41,36,44
4,5,30,25,36
4,5,42,36,50
4,5,61,55,66
1,5,36,30,41
4,5,72,67,75
3,5,68,63,73
4,5,59,52,65
4,5,48,46,49
4,5,31,29,32
4,5,43,32,51
1,5,33,28,38
1,5,23,20,25
2,8,32,30,34
2,8,33,32,38
3,8,70,54,79
4,8,63,62,64
4,8,81,83,80
4,8,62,56,66
2,8,45,46,44
4,8,59,57,60
3,8,45,33,50
3,8,92,89,98
4,8,60,58,62
1,8,72,66,80
1,8,39,32,42
1,8,49,44,51
1,8,44,39,46
1,8,51,46,58
1,8,57,53,61
1,8,28,25,29
1,8,48,43,52
1,8,51,45,55
1,8,41,39,43
1,8,57,53,59
1,8,37,34,38
1,8,48,43,52
1,8,41,35,45
1,8,91,89,92
1,8,81,78,84
1,8,86,83,88
1,8,92,89,93
1,8,66,63,69
1,8,86,86,87
1,8,80,78,82
1,8,74,73,76
2,8,60,63,58
