ID,z_test,z_age,type,int_enviro,int_prep
ID1,0.5147893612408689,0.21,private,control,control
ID2,-3.2316457894355364,-0.35,private,classroom,control
ID3,0.4595092659679487,0.21,state,control,2weekprep
ID4,2.355723320088396,0.03,state,classroom,2weekprep
ID5,2.354222554327464,-0.44,private,control,4weekprep
ID6,3.6358443666419626,-0.15,state,classroom,4weekprep
ID7,-0.606307443246797,0.11,state,control,control
ID8,-0.2268285668024687,-0.43,state,classroom,control
ID9,2.561563179693529,0.43,state,control,2weekprep
ID10,0.8227614952979385,-0.01,state,classroom,2weekprep
ID11,3.305732922303723,0.43,state,control,4weekprep
ID12,1.8909962307281898,1.17,state,classroom,4weekprep
ID13,2.208775159840868,-0.75,state,control,control
ID14,0.21228387383976166,-0.45,state,classroom,control
ID15,6.089733385390504,0.65,state,control,2weekprep
ID16,3.413812221407662,0.58,private,classroom,2weekprep
ID17,1.0087468929142933,-0.39,state,control,4weekprep
ID18,3.1908544238463876,1.21,state,classroom,4weekprep
ID19,3.5051572402237783,0.4,state,control,control
ID20,-3.0569627731441296,-0.95,private,classroom,control
ID21,1.5537887544923823,0.99,state,control,2weekprep
ID22,1.312897845664743,1.21,private,classroom,2weekprep
ID23,3.646438900040316,1.06,state,control,4weekprep
ID24,3.0569254549956235,1.72,state,classroom,4weekprep
ID25,2.8221762560149175,-0.25,state,control,control
ID26,-0.06358689967210546,0.52,state,classroom,control
ID27,1.9949109492656951,-1.42,state,control,2weekprep
ID28,-1.1745919117243784,-0.58,private,classroom,2weekprep
ID29,0.6976657036283729,-0.4,state,control,4weekprep
ID30,-1.983980955808064,-1.75,state,classroom,4weekprep
ID31,2.364047898211608,-0.78,state,control,control
ID32,1.9516382064618347,0.64,state,classroom,control
ID33,1.0956649932607692,-0.86,state,control,2weekprep
ID34,0.09202109871891018,-0.34,state,classroom,2weekprep
ID35,0.14477293498170607,0.15,state,control,4weekprep
ID36,1.8226504347264225,0.45,private,classroom,4weekprep
ID37,1.7424907342919493,-1.52,state,control,control
ID38,-2.6753662740767843,-0.05,state,classroom,control
ID39,-0.26025880318083416,0.44,state,control,2weekprep
ID40,0.6840493449799282,0.23,state,classroom,2weekprep
ID41,1.844838598671024,0.36,state,control,4weekprep
ID42,-0.08217004709539491,-1.36,state,classroom,4weekprep
ID43,3.5236175887572863,-0.52,state,control,control
ID44,0.6258726853342802,0.77,state,classroom,control
ID45,2.3437280278133086,-0.27,state,control,2weekprep
ID46,0.5230071395902283,-1.7,state,classroom,2weekprep
ID47,4.571493509665283,1.14,private,control,4weekprep
ID48,2.1023836907633293,0.38,private,classroom,4weekprep
ID49,1.6209758647131396,1.79,state,control,control
ID50,1.7218000402213767,0.26,state,classroom,control
ID51,3.822458722384444,0.75,state,control,2weekprep
ID52,-1.1637068751598463,1.78,state,classroom,2weekprep
ID53,-0.6860116430916876,1.31,state,control,4weekprep
ID54,-0.570783061759593,0.7,state,classroom,4weekprep
ID55,-0.19735763664061526,0.14,private,control,control
ID56,-2.3677809081697596,0.33,state,classroom,control
ID57,4.026869900262385,1.09,state,control,2weekprep
ID58,0.12280071571112106,0.71,state,classroom,2weekprep
ID59,-2.267416315205096,-0.45,private,control,4weekprep
ID60,1.137772835467195,0.01,state,classroom,4weekprep
ID61,-1.4960948533773708,0.5,state,control,control
ID62,4.069440888721176,0.18,state,classroom,control
ID63,0.23257381249564313,-0.71,state,control,2weekprep
ID64,0.44251514333361697,0.62,state,classroom,2weekprep
ID65,3.8518999498997575,2.03,state,control,4weekprep
ID66,0.7037553346597043,-1.07,private,classroom,4weekprep
ID67,2.258414963810009,0.73,private,control,control
ID68,-1.0993665559237165,-0.98,state,classroom,control
ID69,-1.9198285419027674,-0.51,private,control,2weekprep
ID70,4.92125132233472,1.25,state,classroom,2weekprep
ID71,0.7085991835337344,0.22,private,control,4weekprep
ID72,0.5834900663650937,-0.99,private,classroom,4weekprep
ID73,-2.377526436452836,-0.28,private,control,control
ID74,-0.3442843876233649,-0.57,state,classroom,control
ID75,-1.4403499026779243,-0.14,state,control,2weekprep
ID76,2.8089002511701153,0.9,state,classroom,2weekprep
ID77,-1.050968341402673,-0.28,private,control,4weekprep
ID78,2.956451089899576,0.66,private,classroom,4weekprep
ID79,-1.7840954999728846,-0.51,state,control,control
ID80,3.304339511521146,0.8,state,classroom,control
ID81,0.2855210906336987,-0.37,private,control,2weekprep
ID82,0.7796583870763112,0.33,private,classroom,2weekprep
ID83,1.2161545648678547,-0.35,state,control,4weekprep
ID84,-0.24673985998848724,-1.08,state,classroom,4weekprep
ID85,3.528816040396518,0.97,state,control,control
ID86,-2.7499740402685635,-1.12,state,classroom,control
ID87,1.0432780367160999,-0.51,state,control,2weekprep
ID88,-1.286327968095942,1.75,state,classroom,2weekprep
ID89,2.043604004021932,-0.07,state,control,4weekprep
ID90,2.9481327307279312,0.23,state,classroom,4weekprep
ID91,0.7379654682454044,0.99,state,control,control
ID92,0.157355108498608,0.64,private,classroom,control
ID93,0.0833544190933587,-1.82,state,control,2weekprep
ID94,2.541205166885689,-0.46,state,classroom,2weekprep
ID95,-1.2139587190439765,-0.31,private,control,4weekprep
ID96,2.5409968651368433,1.36,state,classroom,4weekprep
ID97,-2.359726309527185,0.65,state,control,control
ID98,-0.20493492582214454,0.2,state,classroom,control
ID99,2.945761174745976,-0.62,state,control,2weekprep
ID100,0.2759828022147134,0.01,state,classroom,2weekprep
ID101,-0.6213590857790863,-1.16,state,control,4weekprep
ID102,-0.17595831680096646,-1,state,classroom,4weekprep
ID103,-2.9715949499153225,0.21,state,control,control
ID104,-1.280365242024518,-1.56,state,classroom,control
ID105,3.2327506673740682,-0.21,private,control,2weekprep
ID106,-4.2239454053600385,-1,private,classroom,2weekprep
ID107,1.303894107899458,1.34,state,control,4weekprep
ID108,1.1456905135697733,1.27,private,classroom,4weekprep
ID109,2.4378917421300894,0.83,state,control,control
ID110,-3.603214925854762,-0.9,state,classroom,control
ID111,3.6540380597037947,0.07,private,control,2weekprep
ID112,-1.5777386955612438,-2.12,state,classroom,2weekprep
ID113,3.593123279871035,0.18,private,control,4weekprep
ID114,6.088351743334428,0.53,private,classroom,4weekprep
ID115,-2.5512045902470484,-0.03,private,control,control
ID116,-0.4929170792913484,-0.03,state,classroom,control
ID117,2.5019644824806604,-0.97,private,control,2weekprep
ID118,-0.09763430302073584,1.04,state,classroom,2weekprep
ID119,-1.9377160413478776,0.62,state,control,4weekprep
ID120,-0.48513987200170217,-1.07,private,classroom,4weekprep
ID121,3.869184901265624,1.42,state,control,control
ID122,-1.6096955705060272,-0.56,state,classroom,control
ID123,0.04736518729310246,0.74,state,control,2weekprep
ID124,2.4762334564172193,-0.88,state,classroom,2weekprep
ID125,-1.595994275409217,0.24,private,control,4weekprep
ID126,0.519846643517177,-1.49,state,classroom,4weekprep
ID127,-1.649095615783212,0.09,state,control,control
ID128,2.589916757066117,-0.13,state,classroom,control
ID129,5.823813153367393,0.67,state,control,2weekprep
ID130,0.017996441614093972,-0.08,state,classroom,2weekprep
ID131,3.2397660854513513,0.91,state,control,4weekprep
ID132,1.4552386599077398,-1.38,state,classroom,4weekprep
ID133,0.5472448868059188,1.87,state,control,control
ID134,-2.3923446513152355,0.54,state,classroom,control
ID135,2.016739708752545,-0.78,state,control,2weekprep
ID136,-1.1563836160760788,-1.26,private,classroom,2weekprep
ID137,1.1550798221833611,-0.17,private,control,4weekprep
ID138,-3.128417661274094,0.2,state,classroom,4weekprep
ID139,-3.034085446332215,-0.74,state,control,control
ID140,-0.15415728906652348,0.8,state,classroom,control
ID141,1.843048945150747,-0.73,state,control,2weekprep
ID142,0.5297222396097455,-0.64,state,classroom,2weekprep
ID143,4.659717033257404,-0.3,state,control,4weekprep
ID144,1.1354922596542374,-0.16,state,classroom,4weekprep
ID145,-0.16943701400483746,-0.57,private,control,control
ID146,-0.4546120103228859,-0.34,state,classroom,control
ID147,2.5383703266718105,-0.56,state,control,2weekprep
ID148,2.188710074370868,0.1,private,classroom,2weekprep
ID149,-1.9698065498961994,-0.51,private,control,4weekprep
ID150,-1.0370285394847913,-0.41,private,classroom,4weekprep
ID151,-4.1183341805479525,-1.03,state,control,control
ID152,-0.41797965471877546,-0.71,state,classroom,control
ID153,0.9713437509232652,0.26,private,control,2weekprep
ID154,2.850683835756516,2.01,state,classroom,2weekprep
ID155,0.8651528599622582,1.36,private,control,4weekprep
ID156,4.351644319358195,0.25,state,classroom,4weekprep
ID157,-1.8170593762051932,-0.51,state,control,control
ID158,-0.23085465873258754,-0.32,state,classroom,control
ID159,-3.1717652609742153,-0.91,state,control,2weekprep
ID160,2.278714941983954,0.03,state,classroom,2weekprep
ID161,1.5106880545429473,0.89,state,control,4weekprep
ID162,-1.8630209443715726,-2.04,state,classroom,4weekprep
ID163,0.7454137272780172,-0.49,private,control,control
ID164,-4.169983747528721,-0,state,classroom,control
ID165,-1.3678420161427893,-0.01,state,control,2weekprep
ID166,-3.3624398135635114,-1.98,private,classroom,2weekprep
ID167,0.18774995689595964,0.05,state,control,4weekprep
ID168,2.6016762945125915,-0.06,state,classroom,4weekprep
ID169,3.2344137256363368,-0.34,state,control,control
ID170,-4.418162974047236,-1.65,state,classroom,control
ID171,3.3629094051611994,0.12,state,control,2weekprep
ID172,0.858064124083224,-0.66,state,classroom,2weekprep
ID173,2.355066352949086,0.24,state,control,4weekprep
ID174,3.191849577772355,0.45,state,classroom,4weekprep
ID175,-0.2630197160990312,0.83,state,control,control
ID176,1.3203548299550316,0.1,state,classroom,control
ID177,1.542982244698158,-0.71,state,control,2weekprep
ID178,-2.193521837084239,-0.46,state,classroom,2weekprep
ID179,1.1505753292269323,-0.66,state,control,4weekprep
ID180,1.8542208825562683,0.03,state,classroom,4weekprep
ID181,-2.0177487297862324,-0.85,private,control,control
ID182,-3.705880035242885,-1.77,state,classroom,control
ID183,0.695304581623238,-0.14,private,control,2weekprep
ID184,4.075164098875927,0.56,state,classroom,2weekprep
ID185,2.533908677600031,-0.31,private,control,4weekprep
ID186,2.9227390077424644,-0.05,private,classroom,4weekprep
ID187,-0.6444961734021746,-1.54,private,control,control
ID188,0.2185398686594725,0.64,state,classroom,control
ID189,6.911209527848191,1.32,state,control,2weekprep
ID190,1.5189417710038768,-1.05,state,classroom,2weekprep
ID191,-0.7164801686608783,-0.15,private,control,4weekprep
ID192,-5.726930513177473,-2.37,private,classroom,4weekprep
ID193,-1.2824740028126271,-0.67,state,control,control
ID194,-1.8741903115180336,-1.71,private,classroom,control
ID195,-1.5965569342016943,0.96,private,control,2weekprep
ID196,-0.38262437733098253,0.21,state,classroom,2weekprep
ID197,-0.8627073244310492,-1.45,state,control,4weekprep
ID198,0.21483598752301958,-0.98,state,classroom,4weekprep
ID199,-4.699109423031723,-0.71,private,control,control
ID200,3.5205100283570747,0.24,state,classroom,control
ID201,1.6734003955365,0.09,private,control,2weekprep
ID202,1.472550186454479,0.22,private,classroom,2weekprep
ID203,0.8269613477903589,0.02,private,control,4weekprep
ID204,3.1388313326930826,-0.12,state,classroom,4weekprep
ID205,-0.875940517536909,0.3,private,control,control
ID206,1.1167485099671641,0.21,state,classroom,control
ID207,2.022342319318538,-0.19,state,control,2weekprep
