age,taken
5.916666666666667,0
7.833333333333333,0
4,1
9.25,0
3.8333333333333335,1
9.916666666666666,0
7.416666666666667,0
5.333333333333333,1
3.5,0
5,1
5.333333333333333,1
5.583333333333333,1
9.75,0
7.083333333333333,0
7.833333333333333,0
4,1
6.75,1
8.083333333333334,0
6.333333333333333,0
8.083333333333334,0
3.25,1
6.166666666666667,0
3.6666666666666665,1
4.083333333333333,1
5.083333333333333,1
5.083333333333333,0
3.5,1
7.166666666666667,1
6.75,1
4.666666666666667,1
8.75,0
5.416666666666667,0
4.666666666666667,1
3.75,0
8.833333333333334,1
5.833333333333333,1
9.583333333333334,0
5.583333333333333,0
4.083333333333333,1
3.8333333333333335,1
8,1
4.75,0
7,0
8.25,0
6.916666666666667,0
5,1
9.916666666666666,0
7.916666666666667,0
3.4166666666666665,0
8,0
3.9166666666666665,1
8.083333333333334,0
8.75,0
6.416666666666667,0
6.666666666666667,0
3.8333333333333335,1
3.9166666666666665,1
6.833333333333333,0
4.25,1
3.9166666666666665,0
3.8333333333333335,0
4.666666666666667,1
5.166666666666667,1
7.75,0
7.333333333333333,0
8.916666666666666,0
6.333333333333333,0
9.25,0
7.5,0
4.75,0
9.083333333333334,0
4,1
3.5,1
8.416666666666666,1
4.583333333333333,1
6.25,1
4,1
8.916666666666666,1
4.25,1
4.25,1
7.166666666666667,1
5.416666666666667,1
6.666666666666667,1
3.4166666666666665,1
8.666666666666666,0
8.333333333333334,0
5.166666666666667,1
5.75,0
8.5,0
6.916666666666667,0
6.333333333333333,1
4.5,1
7.25,1
7.333333333333333,1
3.0833333333333335,1
5.75,0
7.5,0
9.333333333333334,0
4.583333333333333,1
4.166666666666667,0
