session,perc_anx_red
dog,38.591445192137016
dog,60.843593434785845
dog,34.44508137372333
dog,47.70142766427327
dog,64.11440872702373
dog,40.97092018545333
dog,42.278336148330546
dog,40.64628687475717
dog,44.14226365133847
dog,48.38108224803923
dog,59.276303438534605
dog,38.982205453471764
dog,36.196073999726096
dog,45.42465643893118
dog,36.28239960122084
dog,45.61013859450154
dog,41.026869052870744
dog,25.160332399084147
dog,49.40817255936695
dog,44.4064459326575
dog,56.00511945333251
dog,56.41869393867744
dog,61.679619034197025
dog,54.06761089557912
dog,55.190089302621516
dog,44.065181512975485
dog,61.185890724859476
dog,61.98773827406486
dog,40.429179055143365
dog,38.47204559998
dog,50.15915038361467
dog,58.09694167658856
dog,69.1546057167805
dog,59.1710363895734
dog,61.79221786638274
colouring,47.515738324178585
colouring,27.904673540374347
colouring,17.995272613620465
colouring,20.378141275479415
colouring,36.5739187404494
colouring,53.5006036948313
colouring,29.97576818285228
colouring,37.254210801173286
colouring,56.95667954722463
colouring,33.43431059079569
colouring,43.622233626430194
colouring,29.12991488488573
colouring,33.397554238048215
colouring,30.75671513932529
colouring,37.30788844165889
colouring,52.63248562948678
colouring,39.87726097433136
colouring,48.22022861330839
colouring,32.08165167048962
colouring,36.87799344963863
colouring,28.750469141343167
colouring,45.53304798295517
colouring,36.87390929796951
colouring,37.35909071780203
colouring,40.33275293545762
colouring,26.634171968515076
colouring,46.54830423128456
colouring,32.21629581038145
colouring,42.96361539030153
colouring,30.399420693882117
colouring,34.5861372960057
colouring,16.976708795221988
colouring,34.98297718631105
colouring,25.276165578187964
colouring,35.203338901907706
