birthmonth,height,eyecolour,catdog,threewords,year,course,ampm,sleeprating,phone_unlocks,caffeine,caffeine_type,procrastination,multitasking
dec,155,hazel,dog,NA,2025,usmr,Morning person,90,46,1,energy drinks,80,80
jun,172,other,dog,Curious helpful witty,2025,usmr,Morning person,85,35,0,soft drinks (e.g. cola),50,70
feb,154,blue,cat,"friendly, creative, funny",2025,usmr,Morning person,90,NA,0,i don't drink caffeine,20,50
feb,162.56,brown,dog,"Dynamic, accepting, energised",2025,usmr,Morning person,82,88,0.4,energy drinks,73,68
apr,152,hazel,cat,"Loyal, Curious, methodical",2025,usmr,Evening person,78,NA,4,coffee,24,75
mar,160.02,green,dog,"Adventurous, curious, empathetic",2025,usmr,Evening person,65,NA,2,soft drinks (e.g. cola),85,85
dec,171,hazel,dog,"independent, calm, quiet",2025,usmr,Evening person,70,157,0,i don't drink caffeine,70,90
sep,170,hazel,dog,"Resilient, Visionary, Transformative",2025,usmr,Morning person,85,10,0,i don't drink caffeine,70,80
oct,158,blue,cat,NA,2025,usmr,Morning person,90,NA,1,tea,80,50
sep,164,brown,dog,"adaptive, supportive, calm",2025,usmr,Evening person,80,NA,1,tea,80,70
oct,169,green,dog,calm kind creative,2025,usmr,Evening person,90,51,1,tea,70,60
mar,160,blue,dog,"friendly, organised, fun",2025,usmr,Morning person,75,NA,1,coffee,60,60
sep,175,brown,cat,"Unique, bright, troubled",2025,usmr,Morning person,75,NA,2,coffee,40,65
oct,167,blue,cat,"blunt, caring, patient",2025,usmr,Morning person,75,NA,2,tea,85,75
sep,165,hazel,cat,"active, caring & open minded",2025,usmr,Morning person,80,NA,0,other,50,50
jun,191,blue,dog,"funny, focused, deep",2025,usmr,Morning person,90,84,1,coffee,90,60
may,170,grey,dog,Self-deprecating Shy Kind,2025,usmr,Morning person,63,NA,7,coffee,70,74
dec,165,brown,cat,"introspective, alive, curious",2025,usmr,Morning person,70,108,2,tea,27,10
may,164,blue,dog,"Kind, adventurous and ambitious",2025,usmr,Morning person,70,70,3,tea,70,85
sep,167,brown,cat,NA,2025,usmr,Evening person,16,23,2,coffee,50,60
apr,171,grey,cat,kind motivated happy,2025,usmr,Evening person,80,NA,3,coffee,70,15
may,NA,green,cat,NA,2025,usmr,Evening person,65,NA,0,tea,65,65
mar,183,brown,dog,"Determined, inquisitive, and goofy",2025,usmr,Morning person,70,97,1,coffee,20,70
apr,180,green,cat,Quiet Rational Organised,2025,usmr,Morning person,86,45,1,coffee,67,71
jun,155,brown,cat,Quiet - Reflective - Resourceful,2025,usmr,Morning person,45,10,3,coffee,63,39
aug,168,NA,cat,NA,2025,usmr,Evening person,80,NA,2,tea,0,80
nov,158,brown,dog,NA,2025,usmr,Evening person,80,NA,0,coffee,90,80
apr,165,brown,cat,"responsible, easy-going, resilient",2025,usmr,Evening person,80,148,0,i don't drink caffeine,60,40
may,164,grey,cat,"outgoing, spontaneous, ambitious",2025,usmr,Morning person,70,24,1,coffee,20,0
dec,163,brown,dog,enthusiastic idealistic curious,2025,usmr,Morning person,80,56,0,i don't drink caffeine,60,60
oct,176,brown,cat,introverted,2025,usmr,Evening person,30,120,0,soft drinks (e.g. cola),50,20
oct,160,brown,cat,"driven, reserved, realistic",2025,usmr,Morning person,65,166,0,i don't drink caffeine,75,90
dec,165,blue,dog,"Creative, Sarcastic, Bookish",2025,usmr,Evening person,40,160,1,soft drinks (e.g. cola),10,30
apr,180,blue,dog,"artistic, sociable, driven",2025,usmr,Morning person,70,145,2,coffee,80,90
jul,158,brown,cat,NA,2025,usmr,Evening person,75,109,NA,tea,40,65
jul,160,blue,cat,"kind, anxious, brave",2025,usmr,Evening person,80,104,0.3,coffee,75,95
jan,183,amber,cat,"shy, determined, strategic",2025,usmr,Evening person,70,103,1,coffee,10,70
mar,159,brown,cat,"curious, inclusive, soft",2025,usmr,Evening person,90,44,0,i don't drink caffeine,40,40
dec,170,other,dog,"easygoing, energetic, confident",2025,usmr,Morning person,95,NA,1,coffee,90,85
dec,165,green,dog,"stressed, kind, quiet",2025,usmr,Evening person,68,10,2,coffee,80,75
may,165,blue,cat,NA,2025,usmr,Evening person,60,NA,2,coffee,40,60
jul,170,blue,cat,"hard working, creative, friendly",2025,usmr,Evening person,75,NA,2,coffee,50,68
oct,163,brown,cat,NA,2025,usmr,Evening person,85,21,1.5,coffee,10,40
jan,180,green,cat,"silly, witty, tall",2025,usmr,Evening person,78,NA,1,energy drinks,10,20
jan,163,brown,dog,dilligent fun and adaptable,2025,usmr,Evening person,87,NA,2,coffee,98,88
apr,176.1,grey,cat,"Curious, creative, kind",2025,usmr,Evening person,70,49,0.2,tea,46,74
apr,165,brown,dog,"fancy,insightful,emotional",2025,usmr,Evening person,80,39,1,soft drinks (e.g. cola),40,70
oct,170,blue,cat,"collaborative, thoughtful, kind",2025,usmr,Evening person,75,NA,4,tea,15,90
sep,164,brown,cat,playful curious humorous,2025,usmr,Evening person,60,NA,2,coffee,70,40
sep,163,brown,dog,"Enduring, Bubbly, Genle",2025,usmr,Evening person,75,21,3,tea,75,75
may,166,brown,cat,curious-strategic-determined,2025,usmr,Evening person,90,50,1,coffee,20,80
jul,160,brown,cat,an introverted adventurer,2025,usmr,Evening person,90,NA,1,coffee,15,50
jan,166.37,blue,dog,"Thoughtful, chill & spontaneous",2025,usmr,Morning person,75,85,2,coffee,60,45
feb,175.26,brown,dog,"overachiever, dreamer, independent",2025,usmr,Morning person,78,66,1,coffee,45,86
aug,180,grey,cat,Tired Reader Hopeful,2025,usmr,Evening person,50,63,6,coffee,60,55
jan,177,blue,dog,"Crafty, Curious, Restless",2025,usmr,Morning person,62,NA,0,i don't drink caffeine,38,88
may,NA,blue,cat,NA,2025,usmr,Evening person,65,NA,0,coffee,10,55
sep,183,blue,dog,Awkward Scottish Nerd,2025,usmr,Evening person,65,NA,1,soft drinks (e.g. cola),30,55
sep,166,brown,dog,"Driven, talkative, leading",2025,usmr,Evening person,70,50,0,soft drinks (e.g. cola),0,70
jul,155,brown,cat,"Funny, kind, smart",2025,usmr,Evening person,90,NA,1,coffee,60,70
sep,193,green,dog,open creative fun,2025,usmr,Evening person,50,94,2,coffee,0,0
apr,154,brown,cat,"Intelligent , creative, messy",2025,usmr,Morning person,92,15,0,energy drinks,87,96
mar,160,brown,cat,"Introvert, foodie, honest",2025,usmr,Evening person,75,48,1,other,56,43
feb,158,brown,cat,"creative, friendly, adaptable",2025,usmr,Morning person,80,50,1,coffee,84,90
mar,165,brown,cat,"Introverted, anxious, creative",2025,usmr,Evening person,40,81,3,coffee,50,60
sep,168,brown,cat,"curious, reflective, compassionate",2025,usmr,Evening person,10,140,2,coffee,40,80
dec,172,brown,dog,I don't know,2025,usmr,Evening person,0,9999,0,other,0,0
jul,172,blue,cat,"considerate, intelligent, ambitious",2025,usmr,Evening person,20,169,0,i don't drink caffeine,10,25
feb,180,other,cat,NA,2025,usmr,Evening person,80,NA,0,i don't drink caffeine,50,60
mar,170,other,dog,Introvert calm  laid back,2025,usmr,Evening person,70,25,1,coffee,20,40
