schoolid,location,outdoordays,mood
Lochgoilhead Primary School,Rural,0,13
Lochgoilhead Primary School,Rural,1,32
Lochgoilhead Primary School,Rural,2,35
Lochgoilhead Primary School,Rural,3,42
Lochgoilhead Primary School,Rural,4,72
Lochgoilhead Primary School,Rural,5,55
Lochgoilhead Primary School,Rural,0,34
Lochgoilhead Primary School,Rural,1,43
Lochgoilhead Primary School,Rural,2,40
Lochgoilhead Primary School,Rural,3,50
Lochgoilhead Primary School,Rural,4,60
Lochgoilhead Primary School,Rural,5,75
St Clare's Primary School,Urban,0,56
St Clare's Primary School,Urban,1,51
St Clare's Primary School,Urban,2,30
St Clare's Primary School,Urban,3,38
St Clare's Primary School,Urban,4,34
St Clare's Primary School,Urban,5,53
St Clare's Primary School,Urban,0,34
St Clare's Primary School,Urban,1,57
St Clare's Primary School,Urban,2,48
St Clare's Primary School,Urban,3,47
St Clare's Primary School,Urban,4,53
St Clare's Primary School,Urban,5,56
Kirkmichael Primary School,Rural,0,56
Kirkmichael Primary School,Rural,1,46
Kirkmichael Primary School,Rural,2,61
Kirkmichael Primary School,Rural,3,72
Kirkmichael Primary School,Rural,4,84
Kirkmichael Primary School,Rural,5,82
Kirkmichael Primary School,Rural,0,40
Kirkmichael Primary School,Rural,1,51
Kirkmichael Primary School,Rural,2,61
Kirkmichael Primary School,Rural,3,66
Kirkmichael Primary School,Rural,4,81
Kirkmichael Primary School,Rural,5,72
Wigtown Primary School,Rural,0,34
Wigtown Primary School,Rural,1,30
Wigtown Primary School,Rural,2,31
Wigtown Primary School,Rural,3,41
Wigtown Primary School,Rural,4,43
Wigtown Primary School,Rural,5,59
Wigtown Primary School,Rural,0,41
Wigtown Primary School,Rural,1,47
Wigtown Primary School,Rural,2,48
Wigtown Primary School,Rural,3,67
Wigtown Primary School,Rural,4,61
Wigtown Primary School,Rural,5,54
Kinlochleven Primary School,Rural,0,56
Kinlochleven Primary School,Rural,1,37
Kinlochleven Primary School,Rural,2,66
Kinlochleven Primary School,Rural,3,33
Kinlochleven Primary School,Rural,4,73
Kinlochleven Primary School,Rural,5,72
Kinlochleven Primary School,Rural,0,38
Kinlochleven Primary School,Rural,1,35
Kinlochleven Primary School,Rural,2,55
Kinlochleven Primary School,Rural,3,76
Kinlochleven Primary School,Rural,4,77
Kinlochleven Primary School,Rural,5,77
Channelkirk Primary School,Rural,0,34
Channelkirk Primary School,Rural,1,32
Channelkirk Primary School,Rural,2,72
Channelkirk Primary School,Rural,3,37
Channelkirk Primary School,Rural,4,64
Channelkirk Primary School,Rural,5,85
Channelkirk Primary School,Rural,0,35
Channelkirk Primary School,Rural,1,41
Channelkirk Primary School,Rural,2,45
Channelkirk Primary School,Rural,3,59
Channelkirk Primary School,Rural,4,75
Channelkirk Primary School,Rural,5,87
St Brendan's Primary School,Urban,0,44
St Brendan's Primary School,Urban,1,24
St Brendan's Primary School,Urban,2,48
St Brendan's Primary School,Urban,3,39
St Brendan's Primary School,Urban,4,51
St Brendan's Primary School,Urban,5,46
St Brendan's Primary School,Urban,0,36
St Brendan's Primary School,Urban,1,33
St Brendan's Primary School,Urban,2,38
St Brendan's Primary School,Urban,3,54
St Brendan's Primary School,Urban,4,61
St Brendan's Primary School,Urban,5,61
St Michael's Primary School,Urban,0,41
St Michael's Primary School,Urban,1,52
St Michael's Primary School,Urban,2,47
St Michael's Primary School,Urban,3,48
St Michael's Primary School,Urban,4,44
St Michael's Primary School,Urban,5,66
St Michael's Primary School,Urban,0,53
St Michael's Primary School,Urban,1,41
St Michael's Primary School,Urban,2,38
St Michael's Primary School,Urban,3,54
St Michael's Primary School,Urban,4,50
St Michael's Primary School,Urban,5,54
Chirnsyde Primary School,Urban,0,43
Chirnsyde Primary School,Urban,1,45
Chirnsyde Primary School,Urban,2,31
Chirnsyde Primary School,Urban,3,56
Chirnsyde Primary School,Urban,4,59
Chirnsyde Primary School,Urban,5,68
Chirnsyde Primary School,Urban,0,31
Chirnsyde Primary School,Urban,1,47
Chirnsyde Primary School,Urban,2,51
Chirnsyde Primary School,Urban,3,36
Chirnsyde Primary School,Urban,4,56
Chirnsyde Primary School,Urban,5,60
St Albert's Primary School,Urban,0,40
St Albert's Primary School,Urban,1,38
St Albert's Primary School,Urban,2,51
St Albert's Primary School,Urban,3,63
St Albert's Primary School,Urban,4,55
St Albert's Primary School,Urban,5,49
St Albert's Primary School,Urban,0,41
St Albert's Primary School,Urban,1,40
St Albert's Primary School,Urban,2,34
St Albert's Primary School,Urban,3,40
St Albert's Primary School,Urban,4,65
St Albert's Primary School,Urban,5,54
Lumphanan School,Rural,0,32
Lumphanan School,Rural,1,39
Lumphanan School,Rural,2,38
Lumphanan School,Rural,3,45
Lumphanan School,Rural,4,70
Lumphanan School,Rural,5,56
Lumphanan School,Rural,0,29
Lumphanan School,Rural,1,51
Lumphanan School,Rural,2,62
Lumphanan School,Rural,3,55
Lumphanan School,Rural,4,71
Lumphanan School,Rural,5,86
Morebattle Primary School,Rural,0,40
Morebattle Primary School,Rural,1,45
Morebattle Primary School,Rural,2,69
Morebattle Primary School,Rural,3,30
Morebattle Primary School,Rural,4,71
Morebattle Primary School,Rural,5,74
Morebattle Primary School,Rural,0,46
Morebattle Primary School,Rural,1,50
Morebattle Primary School,Rural,2,59
Morebattle Primary School,Rural,3,61
Morebattle Primary School,Rural,4,70
Morebattle Primary School,Rural,5,66
Sandwood Primary School,Urban,0,46
Sandwood Primary School,Urban,1,53
Sandwood Primary School,Urban,2,55
Sandwood Primary School,Urban,3,51
Sandwood Primary School,Urban,4,70
Sandwood Primary School,Urban,5,73
Sandwood Primary School,Urban,0,54
Sandwood Primary School,Urban,1,48
Sandwood Primary School,Urban,2,58
Sandwood Primary School,Urban,3,64
Sandwood Primary School,Urban,4,71
Sandwood Primary School,Urban,5,53
Glenlivet Primary School,Rural,0,44
Glenlivet Primary School,Rural,1,47
Glenlivet Primary School,Rural,2,38
Glenlivet Primary School,Rural,3,66
Glenlivet Primary School,Rural,4,57
Glenlivet Primary School,Rural,5,47
Glenlivet Primary School,Rural,0,46
Glenlivet Primary School,Rural,1,49
Glenlivet Primary School,Rural,2,68
Glenlivet Primary School,Rural,3,51
Glenlivet Primary School,Rural,4,62
Glenlivet Primary School,Rural,5,48
Glendale Primary School,Urban,0,31
Glendale Primary School,Urban,1,41
Glendale Primary School,Urban,2,51
Glendale Primary School,Urban,3,38
Glendale Primary School,Urban,4,44
Glendale Primary School,Urban,5,49
Glendale Primary School,Urban,0,20
Glendale Primary School,Urban,1,47
Glendale Primary School,Urban,2,42
Glendale Primary School,Urban,3,46
Glendale Primary School,Urban,4,42
Glendale Primary School,Urban,5,36
Bankhead Primary School,Urban,0,52
Bankhead Primary School,Urban,1,50
Bankhead Primary School,Urban,2,54
Bankhead Primary School,Urban,3,40
Bankhead Primary School,Urban,4,43
Bankhead Primary School,Urban,5,58
Bankhead Primary School,Urban,0,51
Bankhead Primary School,Urban,1,55
Bankhead Primary School,Urban,2,43
Bankhead Primary School,Urban,3,63
Bankhead Primary School,Urban,4,52
Bankhead Primary School,Urban,5,40
St Mirin's Primary School,Urban,0,29
St Mirin's Primary School,Urban,1,46
St Mirin's Primary School,Urban,2,54
St Mirin's Primary School,Urban,3,42
St Mirin's Primary School,Urban,4,53
St Mirin's Primary School,Urban,5,45
St Mirin's Primary School,Urban,0,31
St Mirin's Primary School,Urban,1,23
St Mirin's Primary School,Urban,2,45
St Mirin's Primary School,Urban,3,59
St Mirin's Primary School,Urban,4,46
St Mirin's Primary School,Urban,5,56
Dalry Primary School,Urban,0,29
Dalry Primary School,Urban,1,36
Dalry Primary School,Urban,2,42
Dalry Primary School,Urban,3,39
Dalry Primary School,Urban,4,50
Dalry Primary School,Urban,5,60
Dalry Primary School,Urban,0,32
Dalry Primary School,Urban,1,49
Dalry Primary School,Urban,2,51
Dalry Primary School,Urban,3,49
Dalry Primary School,Urban,4,56
Dalry Primary School,Urban,5,59
Portknockie Primary School,Rural,0,47
Portknockie Primary School,Rural,1,41
Portknockie Primary School,Rural,2,36
Portknockie Primary School,Rural,3,42
Portknockie Primary School,Rural,4,61
Portknockie Primary School,Rural,5,57
Portknockie Primary School,Rural,0,38
Portknockie Primary School,Rural,1,47
Portknockie Primary School,Rural,2,28
Portknockie Primary School,Rural,3,56
Portknockie Primary School,Rural,4,56
Portknockie Primary School,Rural,5,45
Creetown School,Rural,0,59
Creetown School,Rural,1,31
Creetown School,Rural,2,60
Creetown School,Rural,3,73
Creetown School,Rural,4,47
Creetown School,Rural,5,71
Creetown School,Rural,0,43
Creetown School,Rural,1,49
Creetown School,Rural,2,67
Creetown School,Rural,3,53
Creetown School,Rural,4,52
Creetown School,Rural,5,50
