stakes,condition,sub,throw,trial_no,hrv
13,money,1,1,trial_1,5.46789419892734
17,money,1,1,trial_2,6.68847553522064
7,money,1,1,trial_3,2.71693599782552
1,money,1,1,trial_4,4.95458846582197
2,money,1,1,trial_5,5.9561606466137
8,money,1,1,trial_6,4.93122901464778
20,money,1,1,trial_7,4.62363006948239
5,money,1,1,trial_8,4.70312388889984
14,money,1,1,trial_9,5.78315540209734
4,money,1,1,trial_10,3.06596377650625
16,money,1,0,trial_11,5.45452596483167
3,money,1,0,trial_12,3.62178520556739
18,money,1,1,trial_13,5.32113301786811
12,money,1,0,trial_14,4.15644262233817
11,money,1,1,trial_15,5.8208382066059
10,money,1,1,trial_16,4.28117434225999
15,money,1,1,trial_17,5.42015374325816
6,money,1,1,trial_18,5.03029345279062
19,money,1,0,trial_19,4.95671132378512
9,money,1,1,trial_20,5.91951466232984
15,money,2,1,trial_1,4.60385195498707
20,money,2,1,trial_2,6.46486903279166
2,money,2,0,trial_3,3.76977438798604
7,money,2,1,trial_4,4.79620262078
12,money,2,1,trial_5,6.33131437370664
13,money,2,1,trial_6,5.15330480123069
10,money,2,1,trial_7,5.04432331774566
4,money,2,1,trial_8,5.70478455749268
1,money,2,0,trial_9,4.65543893378357
18,money,2,1,trial_10,6.47619811314015
6,money,2,1,trial_11,4.58606780862225
16,money,2,0,trial_12,6.21499514716554
5,money,2,1,trial_13,7.4282032898534
3,money,2,1,trial_14,5.38937065599749
14,money,2,1,trial_15,5.52777257321725
8,money,2,1,trial_16,5.01922241482554
11,money,2,1,trial_17,4.24538669296132
9,money,2,1,trial_18,5.29959738419213
17,money,2,1,trial_19,5.37062403252353
19,money,2,1,trial_20,5.13027698511828
2,money,5,0,trial_1,7.46041979929544
9,money,5,0,trial_2,5.83410193540978
8,money,5,1,trial_3,4.83015299444894
6,money,5,0,trial_4,6.26497722242329
17,money,5,1,trial_5,3.52201264952344
7,money,5,1,trial_6,5.91776253596953
15,money,5,1,trial_7,4.23948014822422
16,money,5,1,trial_8,4.38924760510837
5,money,5,1,trial_9,5.7478423130979
20,money,5,1,trial_10,1.77695717157668
4,money,5,1,trial_11,8.90151429667446
13,money,5,1,trial_12,2.57545349393796
12,money,5,0,trial_13,4.00417284261002
10,money,5,1,trial_14,6.367665902806
19,money,5,1,trial_15,1.33055271225273
11,money,5,1,trial_16,4.146957828945
3,money,5,1,trial_17,6.61603021429803
18,money,5,0,trial_18,1.65904480965019
14,money,5,1,trial_19,4.75535506722656
1,money,5,1,trial_20,8.31113952363819
19,money,6,1,trial_1,NA
9,money,6,1,trial_2,2.88736371865104
6,money,6,0,trial_3,2.07287826703915
20,money,6,0,trial_4,2.19960436626216
16,money,6,1,trial_5,3.92358896198971
5,money,6,1,trial_6,4.45209931601809
8,money,6,0,trial_7,3.19396403180815
17,money,6,1,trial_8,5.20445024442653
18,money,6,1,trial_9,3.81041060424585
11,money,6,1,trial_10,2.66320105322963
4,money,6,0,trial_11,2.71820975304483
2,money,6,1,trial_12,3.40180130487538
12,money,6,1,trial_13,3.14894792294342
1,money,6,0,trial_14,3.41561642395145
10,money,6,1,trial_15,3.71286781381405
3,money,6,1,trial_16,2.09265811586188
7,money,6,1,trial_17,2.14109173007201
13,money,6,1,trial_18,3.9213973898363
15,money,6,1,trial_19,NA
14,money,6,1,trial_20,2.5619177849701
7,money,10,1,trial_1,3.48818335089988
11,money,10,1,trial_2,3.49236329068755
10,money,10,1,trial_3,5.88913161260382
6,money,10,1,trial_4,3.93635851000356
13,money,10,0,trial_5,NA
2,money,10,1,trial_6,4.56403643231994
20,money,10,1,trial_7,3.88014743968299
12,money,10,1,trial_8,3.90665549961114
19,money,10,0,trial_9,4.31069418070733
3,money,10,1,trial_10,5.55947048620881
4,money,10,1,trial_11,2.53096201126383
18,money,10,1,trial_12,3.9000034150418
17,money,10,1,trial_13,3.51522421270608
16,money,10,1,trial_14,5.21569890798469
14,money,10,1,trial_15,3.30311325095216
9,money,10,1,trial_16,4.08017727908562
8,money,10,1,trial_17,3.4612251698623
15,money,10,1,trial_18,3.91163023828648
1,money,10,1,trial_19,4.03529249554625
5,money,10,1,trial_20,3.5669599060715
8,money,12,1,trial_1,3.98321113259627
13,money,12,1,trial_2,4.06119949876454
2,money,12,1,trial_3,4.45857363420211
12,money,12,0,trial_4,0.915099778412301
17,money,12,1,trial_5,2.00781537060398
15,money,12,1,trial_6,1.9164176731701
11,money,12,1,trial_7,2.43414343053754
14,money,12,1,trial_8,NA
20,money,12,1,trial_9,1.69162849948724
4,money,12,1,trial_10,3.82246567307825
18,money,12,1,trial_11,0.27923325802183
19,money,12,1,trial_12,1.22442803451054
9,money,12,0,trial_13,-0.866092457154414
16,money,12,1,trial_14,2.82968400517346
3,money,12,1,trial_15,3.54611522665863
7,money,12,1,trial_16,2.95663407447708
1,money,12,0,trial_17,2.33477011837513
5,money,12,1,trial_18,2.14117102670268
6,money,12,1,trial_19,1.96080773982713
10,money,12,1,trial_20,2.26831773327822
19,money,14,0,trial_1,6.46250292978954
10,money,14,1,trial_2,5.58606299400147
6,money,14,1,trial_3,4.05922478754058
3,money,14,1,trial_4,2.99731161974783
1,money,14,1,trial_5,4.48503441452652
16,money,14,0,trial_6,6.64751673129646
5,money,14,1,trial_7,4.60994415310152
7,money,14,1,trial_8,3.81111448173397
11,money,14,1,trial_9,4.03516578004429
2,money,14,0,trial_10,4.4362889605259
18,money,14,0,trial_11,4.29729497320002
14,money,14,1,trial_12,5.75978387057663
4,money,14,1,trial_13,4.73950527190587
20,money,14,1,trial_14,7.42374866535407
15,money,14,1,trial_15,6.55062549831933
17,money,14,1,trial_16,4.84730077392171
12,money,14,1,trial_17,5.05070749839702
9,money,14,1,trial_18,4.01473473079218
13,money,14,1,trial_19,4.5999536486541
8,money,14,1,trial_20,7.33337573699482
16,kudos,20,1,trial_1,6.06283406960052
15,kudos,20,0,trial_2,5.50104179274607
1,kudos,20,1,trial_3,5.81830859334115
4,kudos,20,1,trial_4,6.80851168438162
9,kudos,20,0,trial_5,4.79736005544599
19,kudos,20,1,trial_6,4.04910922561438
7,kudos,20,1,trial_7,7.12228063255631
12,kudos,20,1,trial_8,5.67383367422942
14,kudos,20,1,trial_9,7.28531116562728
13,kudos,20,0,trial_10,5.32917512601487
10,kudos,20,1,trial_11,6.54018771721614
6,kudos,20,1,trial_12,6.61153489432841
17,kudos,20,0,trial_13,4.48941768798514
20,kudos,20,1,trial_14,4.88179939519233
8,kudos,20,0,trial_15,6.71980208936031
5,kudos,20,1,trial_16,8.25432936739988
18,kudos,20,0,trial_17,5.00023030905901
2,kudos,20,1,trial_18,7.15938047262923
3,kudos,20,1,trial_19,NA
11,kudos,20,1,trial_20,4.97798393259853
11,kudos,21,0,trial_1,5.33827404016168
18,kudos,21,1,trial_2,5.56083742518741
3,kudos,21,1,trial_3,NA
17,kudos,21,1,trial_4,4.94297408827765
4,kudos,21,1,trial_5,5.85404917399866
10,kudos,21,0,trial_6,4.35804447894203
