age,syndens
0.1,0.6146013896825693
0.2,0.907805722375171
0.6,0.1
0.7,1.8099728998908695
0.9,1.443467484025116
1,0.6146013896825693
1.6,0.6146013896825693
1.7,0.31011996727102087
2,1.2122871447867194
2.1,2.1933939503350413
2.1,2.9433204166449656
2.3,4.539028611875857
2.5,3.924427222193287
2.5,4.307848272637459
2.7,3.4789821782949115
2.7,5.0577747389473835
2.8,6.044520089355179
3,7.251168689282425
3.1,1.5167685671982678
3.1,6.343362966907254
3.2,3.8567646838796104
3.5,6.6534829341782755
3.6,4.984473655774233
3.6,6.19112225570148
3.6,8.091311873343919
3.8,7.781191906072898
4.1,8.232275494830747
4.2,6.343362966907254
4.2,9.670104433996391
4.3,10.200127650786865
4.7,6.574543306145651
5.1,9.59680335082324
5.5,11.784558756298809
5.6,8.012372245311296
6,10.651211239544715
6,10.273428733960015
6.4,10.200127650786865
6.7,8.457817289209672
6.9,10.126826567613714
7.2,7.628951194867124
7.4,11.784558756298809
7.6,6.6534829341782755
7.6,4.460088983843233
7.7,11.48007733388726
7.8,9.517863722790617
7.8,9.365623011584844
8.1,5.441195789391555
8.1,8.841238339653843
9,10.200127650786865
9,8.158974411657596
9.6,7.860131534105522
9.7,7.482349028520823
10,6.343362966907254
10.2,6.805723645384049
10.8,9.292321928411692
10.8,6.952325811730351
11.2,9.21338230037907
11.4,7.555650111693973
11.4,6.952325811730351
11.5,8.38451620603652
12,7.482349028520823
12.2,7.555650111693973
12.5,8.158974411657596
13.3,8.158974411657596
13.9,6.044520089355179
13.9,6.7267840173514255
14.4,6.805723645384049
15.3,7.555650111693973
16,8.158974411657596
16.6,6.7267840173514255
17.5,7.403409400488199
17.5,8.158974411657596
17.7,7.403409400488199
18.8,8.158974411657596
