perc_recall,group,age
47.42890617329238,0,52
61.44326636564392,1,37
50.08973578080672,0,46
56.44092146673233,1,72
57.047855000729015,1,46
46.114924293383304,0,69
55.334218692770904,1,70
54.25336373092866,1,53
59.1324818855353,1,41
57.480110350473005,0,26
55.85587112139959,1,71
54.789883506967215,0,35
57.21485534308301,1,21
57.35147490103307,1,72
49.74342409473191,0,59
62.55349035008332,1,26
50.45518350328933,0,49
43.60124185554057,0,72
47.17637673633873,0,51
57.232475882822094,1,41
59.4092462423542,1,55
57.89689639175967,1,36
59.32972401314853,1,36
60.48431547501886,1,31
66.01610813396003,1,39
55.37510578111112,1,74
62.29510191363585,1,27
62.14682682928479,1,23
51.89669134889529,0,26
48.31999478439716,0,57
63.53686681547458,1,53
59.161660338265364,1,69
59.05121342088669,1,56
57.331300707422926,1,60
44.29931106149262,0,48
52.2718533139408,0,56
53.7822177766781,1,65
49.656232843251026,0,63
50.95734084965612,0,74
47.0588010039004,0,43
54.95194790247791,0,36
50.94539307201497,0,41
51.56424244768409,0,19
49.76011246496229,0,28
41.98827724396447,0,66
52.172036118092095,0,31
49.28899375058054,0,32
57.58947103412429,0,22
59.89907689201294,0,32
54.76305496752745,1,60
49.102250460275414,0,66
53.035315878229305,0,46
61.386634413754294,1,40
50.565351641875814,0,32
61.451717333620905,1,24
51.112877432694305,0,40
51.56890602021403,0,51
60.15002385848282,1,30
63.02926030967416,1,43
52.79116380325266,0,30
62.96133763721035,1,47
49.21795686091348,0,38
45.20970345522349,0,55
61.85138069945918,0,39
59.30599243207474,1,38
51.210640196431584,0,48
60.49179375327711,1,60
59.79440005184095,1,31
61.8131985444487,1,42
54.47806535207413,0,33
58.502096712791634,1,54
61.63283894284246,1,28
57.84730394711864,1,67
54.27448044990906,0,61
46.55754670428384,0,56
46.066607443599196,0,53
52.26985131092927,0,39
60.593385179894405,1,48
47.73819172805318,0,68
48.39295286437425,0,51
43.63666907950185,0,66
64.56669644226065,1,36
47.276539162853105,0,58
58.42392006681516,1,33
48.915648881125975,0,52
50.321768591376085,0,45
64.35014295673948,1,33
59.73786294618754,1,50
59.95750577141708,1,70
44.620755908189764,0,69
53.91783644363767,0,34
59.756735725154805,1,36
45.447444502622204,0,74
56.513344244798446,1,53
41.78221478365108,0,71
57.0731673477399,0,45
62.095075267591746,1,41
45.13096021916681,0,56
52.829750817940386,0,27
55.88475173755216,1,51
